0,ativo;classificador;RetornoBruto;RetornoLiquido;CustoOperacional;BuyAndHoldP;comprarSempreP;IndInversoP;IndAleatorioP;indAlvo05P;indAlvo1P;indAlvo2P;perdaP;ganhoP;retornoMedioP;perdaMediaP;ganhoMedioP ;qtdePerda;qtdeGanho ;qtdeTotal ;qtdeClasse0 ;qtdeClasse1 ;precisao;acuracia;f1score;recall;specificity;sharpe;sortino;media;desvioPadrao;desvioAbsoluto;mediana;quantil;minimo;maximo;amplitude;variancia; DataInicial; DataFinal; QtdeDias; PrecoInicial; PrecoFinal; Classe0; Classe1; QtdeClasse0;QtdeClasse1;volatilidade;volatilidadeDowsid;qtdeD3_caiu;qtdeD3_estavel;qtdeD3_subiu;qtdeRompimento;qtdeCorrecao;qtdeContraTendencia;ShapiroWilk;KolmogorovSmirnov;Tstudent;Anova;kruskalWallis
1,BRKM5;1;-1.06;-0.83;-0.23;8.57;4.28;5.34;-9.78;-6.53;-5.18;-5.11;-17.55;16.49;-0.05;-1.46;1.50;12;11;23;6;23;47.83;41.38;56.41;68.75;7.69;-0.33;-0.64;-0.05;1.82;1.48;-0.23;-0.23;-2.56;4.40;6.96;3.32;03/07/2017;11/08/2017;30;34.20;37.73;43.33;56.67;13;17;10.65;5.39;11;0;18;4;3;4;0.09;0.07;0.71;0.54;0.81
2,BRKM5;2;3.99;3.12;0.88;8.57;4.28;0.28;1.14;-1.56;-0.27;2.18;-12.58;16.58;0.20;-1.40;1.51;9;11;20;9;20;55.00;51.72;61.11;68.75;30.77;0.15;0.29;0.20;1.88;1.44;0.34;0.34;-2.56;4.40;6.96;3.52;03/07/2017;11/08/2017;30;34.20;37.73;43.33;56.67;13;17;10.65;5.39;11;0;18;4;3;4;0.31;0.41;0.92;1.00;0.93
3,BRKM5;3;4.28;3.34;0.94;8.57;4.28;-0.00;3.11;-3.28;-1.80;0.23;-10.43;14.71;0.29;-1.74;1.63;6;9;15;14;15;60.00;55.17;58.06;56.25;53.85;0.18;0.35;0.29;2.06;1.62;0.63;0.63;-2.56;4.40;6.96;4.23;03/07/2017;11/08/2017;30;34.20;37.73;43.33;56.67;13;17;10.65;5.39;11;0;18;4;3;4;0.23;0.12;0.82;0.97;0.87
4,BRKM5;4;3.67;2.86;0.81;8.57;4.28;0.61;6.68;-4.94;-1.08;2.56;-12.08;15.75;0.19;-1.51;1.43;8;11;19;10;19;57.89;55.17;62.86;68.75;38.46;0.12;0.23;0.19;1.83;1.43;0.40;0.40;-2.56;4.40;6.96;3.36;03/07/2017;11/08/2017;30;34.20;37.73;43.33;56.67;13;17;10.65;5.39;11;0;18;4;3;4;0.16;0.19;0.93;0.84;0.69
5,BRKM5;5;0.76;0.59;0.17;8.57;4.28;3.52;2.60;-8.47;-5.11;-3.29;-15.11;15.86;0.04;-1.68;1.59;9;10;19;10;19;52.63;48.28;57.14;62.50;30.77;-0.15;-0.31;0.04;1.97;1.63;0.40;0.40;-2.56;4.40;6.96;3.86;03/07/2017;11/08/2017;30;34.20;37.73;43.33;56.67;13;17;10.65;5.39;11;0;18;4;3;4;0.08;0.05;0.85;0.84;0.86
6,BRKM5;6;-3.19;-2.49;-0.70;8.57;4.28;7.47;12.20;-5.32;-2.82;-3.19;-7.82;4.62;-0.32;-1.56;0.92;5;5;10;19;10;50.00;44.83;38.46;31.25;61.54;-0.53;-1.04;-0.32;1.42;1.24;-0.02;-0.02;-2.56;1.13;3.69;2.01;03/07/2017;11/08/2017;30;34.20;37.73;43.33;56.67;13;17;10.65;5.39;11;0;18;4;3;4;0.07;0.17;0.47;0.34;0.50
7,BRKM5;7;7.60;5.93;1.67;8.57;4.28;-3.32;6.38;-0.75;2.61;5.26;-7.39;14.99;0.51;-1.48;1.50;5;10;15;14;15;66.67;62.07;64.52;62.50;61.54;0.49;0.96;0.51;1.88;1.37;0.62;0.62;-2.56;4.40;6.96;3.52;03/07/2017;11/08/2017;30;34.20;37.73;43.33;56.67;13;17;10.65;5.39;11;0;18;4;3;4;0.43;0.12;0.54;0.79;0.29
8,BRKM5;8;4.15;3.24;0.91;8.57;4.28;0.13;3.77;-4.34;-1.48;1.81;-10.48;14.63;0.26;-1.50;1.63;7;9;16;13;16;56.25;51.72;56.25;56.25;46.15;0.16;0.32;0.26;1.95;1.54;0.45;0.45;-2.56;4.40;6.96;3.80;03/07/2017;11/08/2017;30;34.20;37.73;43.33;56.67;13;17;10.65;5.39;11;0;18;4;3;4;0.29;0.17;0.85;0.95;0.81
9,BRKM5;9;5.74;4.48;1.26;8.57;4.28;-1.46;8.03;-2.82;0.04;1.69;-8.96;14.70;0.38;-1.49;1.63;6;9;15;14;15;60.00;55.17;58.06;56.25;53.85;0.31;0.62;0.38;1.95;1.50;0.62;0.62;-2.56;4.40;6.96;3.80;03/07/2017;11/08/2017;30;34.20;37.73;43.33;56.67;13;17;10.65;5.39;11;0;18;4;3;4;0.33;0.12;0.69;0.81;0.58
