0,ativo;classificador;RetornoBruto;RetornoLiquido;CustoOperacional;BuyAndHoldP;comprarSempreP;IndInversoP;IndAleatorioP;indAlvo05P;indAlvo1P;indAlvo2P;perdaP;ganhoP;retornoMedioP;perdaMediaP;ganhoMedioP ;qtdePerda;qtdeGanho ;qtdeTotal ;qtdeClasse0 ;qtdeClasse1 ;precisao;acuracia;f1score;recall;specificity;sharpe;sortino;media;desvioPadrao;desvioAbsoluto;mediana;quantil;minimo;maximo;amplitude;variancia; DataInicial; DataFinal; QtdeDias; PrecoInicial; PrecoFinal; Classe0; Classe1; QtdeClasse0;QtdeClasse1;volatilidade;volatilidadeDowsid;qtdeD3_caiu;qtdeD3_estavel;qtdeD3_subiu;qtdeRompimento;qtdeCorrecao;qtdeContraTendencia;ShapiroWilk;KolmogorovSmirnov;Tstudent;Anova;kruskalWallis
1,CCRO3;1;-6.81;-5.31;-1.50;-2.17;-7.86;-1.05;-1.53;-0.95;-4.89;-6.81;-10.86;4.05;-0.34;-0.91;0.51;12;8;20;9;20;40.00;44.83;50.00;66.67;29.41;-3.12;-4.56;-0.34;0.96;0.75;-0.14;-0.14;-2.60;1.22;3.82;0.93;03/07/2017;11/08/2017;30;16.84;16.40;56.67;43.33;17;13;2.96;2.02;2;0;12;3;0;5;0.57;0.46;0.82;0.90;0.74
2,CCRO3;2;-2.71;-2.11;-0.60;-2.17;-7.86;-5.15;-8.16;-1.22;-2.40;-2.32;-10.16;7.45;-0.13;-0.85;0.83;12;9;21;8;21;42.86;48.28;54.55;75.00;29.41;-1.73;-2.53;-0.13;1.13;0.83;-0.11;-0.11;-2.60;2.48;5.08;1.28;03/07/2017;11/08/2017;30;16.84;16.40;56.67;43.33;17;13;2.96;2.02;2;0;12;3;0;5;0.98;0.97;0.66;0.90;0.65
3,CCRO3;3;-6.83;-5.32;-1.50;-2.17;-7.86;-1.04;-6.29;-1.60;-5.04;-5.96;-11.89;5.07;-0.34;-0.99;0.63;12;8;20;9;20;40.00;44.83;50.00;66.67;29.41;-3.12;-4.57;-0.34;1.04;0.85;-0.14;-0.14;-2.60;1.22;3.82;1.09;03/07/2017;11/08/2017;30;16.84;16.40;56.67;43.33;17;13;2.96;2.02;2;0;12;3;0;5;0.67;0.53;0.82;0.93;0.81
4,CCRO3;4;-0.64;-0.50;-0.14;-2.17;-7.86;-7.22;-2.94;3.97;1.14;0.22;-5.83;5.19;-0.04;-0.73;0.58;8;9;17;12;17;52.94;62.07;62.07;75.00;52.94;-1.03;-1.51;-0.04;0.85;0.65;0.11;0.11;-1.95;1.22;3.17;0.73;03/07/2017;11/08/2017;30;16.84;16.40;56.67;43.33;17;13;2.96;2.02;2;0;12;3;0;5;0.67;0.94;0.45;0.54;0.12
5,CCRO3;5;-4.62;-3.61;-1.02;-2.17;-7.86;-3.24;-4.54;-0.22;-3.66;-5.10;-10.92;6.29;-0.24;-0.91;0.90;12;7;19;10;19;36.84;41.38;45.16;58.33;29.41;-2.38;-3.48;-0.24;1.18;0.89;-0.18;-0.18;-2.60;2.48;5.08;1.39;03/07/2017;11/08/2017;30;16.84;16.40;56.67;43.33;17;13;2.96;2.02;2;0;12;3;0;5;0.99;0.85;0.93;0.97;0.65
6,CCRO3;6;1.39;1.08;0.31;-2.17;-7.86;-9.25;2.14;4.27;0.81;1.77;-6.52;7.90;0.08;-0.72;0.88;9;9;18;11;18;50.00;58.62;60.00;75.00;47.06;-0.34;-0.50;0.08;1.05;0.80;0.14;0.14;-1.95;2.48;4.43;1.10;03/07/2017;11/08/2017;30;16.84;16.40;56.67;43.33;17;13;2.96;2.02;2;0;12;3;0;5;0.98;0.98;0.29;0.29;0.08
7,CCRO3;7;-3.69;-2.88;-0.81;-2.17;-7.86;-4.18;-6.74;1.17;-2.79;-2.82;-9.11;5.43;-0.20;-0.91;0.68;10;8;18;11;18;44.44;51.72;53.33;66.67;41.18;-2.06;-3.01;-0.21;1.05;0.82;-0.06;-0.06;-2.60;1.22;3.82;1.10;03/07/2017;11/08/2017;30;16.84;16.40;56.67;43.33;17;13;2.96;2.02;2;0;12;3;0;5;0.37;0.96;0.84;0.82;0.34
8,CCRO3;8;-11.86;-9.25;-2.61;-2.17;-7.86;4.00;-3.94;-3.57;-11.68;-11.86;-14.02;2.16;-0.62;-1.00;0.43;14;5;19;10;19;26.32;27.59;32.26;41.67;17.65;-4.82;-7.06;-0.62;0.94;0.78;-0.35;-0.35;-2.60;0.82;3.42;0.88;03/07/2017;11/08/2017;30;16.84;16.40;56.67;43.33;17;13;2.96;2.02;2;0;12;3;0;5;0.66;0.11;0.25;0.05;0.05
9,CCRO3;9;-5.30;-4.13;-1.17;-2.17;-7.86;-2.57;-1.08;0.17;-4.26;-5.30;-9.11;3.82;-0.33;-0.91;0.64;10;6;16;13;16;37.50;44.83;42.86;50.00;41.18;-2.60;-3.81;-0.33;1.04;0.81;-0.14;-0.14;-2.60;1.22;3.82;1.08;03/07/2017;11/08/2017;30;16.84;16.40;56.67;43.33;17;13;2.96;2.02;2;0;12;3;0;5;0.67;0.81;0.86;0.92;0.68
