0,ativo;classificador;RetornoBruto;RetornoLiquido;CustoOperacional;BuyAndHoldP;comprarSempreP;IndInversoP;IndAleatorioP;indAlvo05P;indAlvo1P;indAlvo2P;perdaP;ganhoP;retornoMedioP;perdaMediaP;ganhoMedioP ;qtdePerda;qtdeGanho ;qtdeTotal ;qtdeClasse0 ;qtdeClasse1 ;precisao;acuracia;f1score;recall;specificity;sharpe;sortino;media;desvioPadrao;desvioAbsoluto;mediana;quantil;minimo;maximo;amplitude;variancia; DataInicial; DataFinal; QtdeDias; PrecoInicial; PrecoFinal; Classe0; Classe1; QtdeClasse0;QtdeClasse1;volatilidade;volatilidadeDowsid;qtdeD3_caiu;qtdeD3_estavel;qtdeD3_subiu;qtdeRompimento;qtdeCorrecao;qtdeContraTendencia;ShapiroWilk;KolmogorovSmirnov;Tstudent;Anova;kruskalWallis
1,CESP6;1;1.36;1.06;0.30;3.70;-2.04;-3.40;-5.24;-1.80;-0.85;-0.38;-5.66;7.02;0.14;-1.13;1.40;5;5;10;19;10;50.00;55.17;43.48;38.46;68.75;-0.30;-0.58;0.14;1.76;1.27;0.16;0.16;-2.74;3.74;6.48;3.09;03/07/2017;11/08/2017;30;15.46;16.15;56.67;43.33;17;13;3.45;1.82;16;0;7;8;1;4;0.78;0.84;0.71;0.98;0.95
2,CESP6;2;2.05;1.60;0.45;3.70;-2.04;-4.10;2.25;-1.09;-0.14;0.32;-4.08;6.13;0.23;-1.02;1.23;4;5;9;20;9;55.56;58.62;45.45;38.46;75.00;-0.10;-0.19;0.23;1.60;1.13;0.13;0.13;-1.39;3.74;5.13;2.55;03/07/2017;11/08/2017;30;15.46;16.15;56.67;43.33;17;13;3.45;1.82;16;0;7;8;1;4;0.16;0.94;0.59;0.96;0.95
3,CESP6;3;3.07;2.39;0.67;3.70;-2.04;-5.11;2.95;-1.20;-0.25;1.88;-4.06;7.13;0.38;-1.02;1.78;4;4;8;21;8;50.00;55.17;38.10;30.77;75.00;0.19;0.36;0.38;1.65;1.40;0.23;0.23;-1.32;2.74;4.06;2.71;03/07/2017;11/08/2017;30;15.46;16.15;56.67;43.33;17;13;3.45;1.82;16;0;7;8;1;4;0.19;0.43;0.44;0.89;0.97
4,CESP6;4;7.29;5.69;1.60;3.70;-2.04;-9.33;-1.19;3.24;6.18;7.66;-2.60;9.89;0.66;-0.65;1.41;4;7;11;18;11;63.64;65.52;58.33;53.85;75.00;1.41;2.68;0.66;1.50;1.11;0.32;0.32;-1.39;3.74;5.13;2.25;03/07/2017;11/08/2017;30;15.46;16.15;56.67;43.33;17;13;3.45;1.82;16;0;7;8;1;4;0.48;0.45;0.15;0.05;0.00
5,CESP6;5;6.51;5.08;1.43;3.70;-2.04;-8.56;-4.48;1.25;2.20;4.33;-1.61;8.12;1.09;-0.81;2.03;2;4;6;23;6;66.67;62.07;42.11;30.77;87.50;1.19;2.26;1.08;1.82;1.35;0.97;0.97;-1.25;3.74;4.99;3.30;03/07/2017;11/08/2017;30;15.46;16.15;56.67;43.33;17;13;3.45;1.82;16;0;7;8;1;4;0.95;0.11;0.09;0.11;0.14
6,CESP6;6;4.18;3.26;0.92;3.70;-2.04;-6.23;-7.13;1.24;2.18;2.44;-1.76;5.94;0.60;-0.88;1.19;2;5;7;22;7;71.43;65.52;50.00;38.46;87.50;0.51;0.97;0.60;1.61;1.11;0.13;0.13;-1.39;3.74;5.13;2.58;03/07/2017;11/08/2017;30;15.46;16.15;56.67;43.33;17;13;3.45;1.82;16;0;7;8;1;4;0.36;0.63;0.28;0.29;0.14
7,CESP6;7;9.20;7.17;2.02;3.70;-2.04;-11.24;-5.73;2.73;5.68;6.27;-3.14;12.33;0.71;-0.63;1.54;5;8;13;16;13;61.54;65.52;61.54;61.54;68.75;1.97;3.73;0.71;1.53;1.18;0.32;0.32;-1.46;3.74;5.20;2.34;03/07/2017;11/08/2017;30;15.46;16.15;56.67;43.33;17;13;3.45;1.82;16;0;7;8;1;4;0.55;0.25;0.11;0.04;0.00
8,CESP6;8;-1.68;-1.31;-0.37;3.70;-2.04;-0.36;-4.70;-0.02;0.93;-1.68;-4.01;2.32;-0.15;-0.67;0.46;6;5;11;18;11;45.45;51.72;41.67;38.46;62.50;-1.19;-2.25;-0.15;0.80;0.62;0.00;0.00;-1.39;1.13;2.52;0.64;03/07/2017;11/08/2017;30;15.46;16.15;56.67;43.33;17;13;3.45;1.82;16;0;7;8;1;4;0.39;0.35;0.86;0.98;0.74
9,CESP6;9;5.32;4.15;1.17;3.70;-2.04;-7.36;-1.61;2.00;2.45;3.58;-0.36;5.68;1.33;-0.36;1.89;1;3;4;25;4;75.00;62.07;35.29;23.08;93.75;0.84;1.60;1.33;1.73;1.21;0.97;0.97;-0.36;3.74;4.10;2.99;03/07/2017;11/08/2017;30;15.46;16.15;56.67;43.33;17;13;3.45;1.82;16;0;7;8;1;4;0.53;0.13;0.08;0.15;0.04
10,CESP6;10;13.95;10.88;3.07;3.70;-2.04;-16.00;-2.46;5.75;10.57;11.03;0.00;13.95;1.07;0.00;1.07;0;13;13;16;13;100.00;100.00;100.00;100.00;100.00;3.35;6.35;1.07;1.17;0.89;0.73;0.73;0.13;3.74;3.61;1.37;03/07/2017;11/08/2017;30;15.46;16.15;56.67;43.33;17;13;3.45;1.82;16;0;7;8;1;4;0.01;0.00;0.01;0.00;0.00
