0,ativo;classificador;RetornoBruto;RetornoLiquido;CustoOperacional;BuyAndHoldP;comprarSempreP;IndInversoP;IndAleatorioP;indAlvo05P;indAlvo1P;indAlvo2P;perdaP;ganhoP;retornoMedioP;perdaMediaP;ganhoMedioP ;qtdePerda;qtdeGanho ;qtdeTotal ;qtdeClasse0 ;qtdeClasse1 ;precisao;acuracia;f1score;recall;specificity;sharpe;sortino;media;desvioPadrao;desvioAbsoluto;mediana;quantil;minimo;maximo;amplitude;variancia; DataInicial; DataFinal; QtdeDias; PrecoInicial; PrecoFinal; Classe0; Classe1; QtdeClasse0;QtdeClasse1;volatilidade;volatilidadeDowsid;qtdeD3_caiu;qtdeD3_estavel;qtdeD3_subiu;qtdeRompimento;qtdeCorrecao;qtdeContraTendencia;ShapiroWilk;KolmogorovSmirnov;Tstudent;Anova;kruskalWallis
1,ENBR3;1;-0.82;-0.64;-0.18;-0.06;-4.92;-4.10;-7.21;-0.80;0.16;-0.35;-8.59;7.77;-0.04;-0.78;0.86;11;9;20;9;20;45.00;48.28;54.55;69.23;31.25;-1.28;-1.91;-0.04;1.08;0.82;-0.04;-0.04;-2.95;1.83;4.78;1.17;03/07/2017;11/08/2017;30;14.16;14.15;53.33;46.67;16;14;2.52;1.69;11;0;16;5;2;5;0.41;0.98;0.69;0.86;0.77
2,ENBR3;2;-1.05;-0.82;-0.23;-0.06;-4.92;-3.87;-3.16;-3.26;-1.76;-1.05;-4.76;3.71;-0.18;-1.59;1.24;3;3;6;23;6;50.00;55.17;31.58;23.08;81.25;-1.37;-2.05;-0.18;1.75;1.41;-0.08;-0.08;-2.95;1.83;4.78;3.07;03/07/2017;11/08/2017;30;14.16;14.15;53.33;46.67;16;14;2.52;1.69;11;0;16;5;2;5;0.64;0.49;0.99;1.00;1.00
3,ENBR3;3;-0.46;-0.35;-0.10;-0.06;-4.92;-4.46;-0.53;1.50;0.66;0.02;-8.19;7.74;-0.02;-0.82;0.77;10;10;20;9;20;50.00;55.17;60.61;76.92;37.50;-1.14;-1.70;-0.02;1.07;0.80;0.07;0.07;-2.95;1.83;4.78;1.14;03/07/2017;11/08/2017;30;14.16;14.15;53.33;46.67;16;14;2.52;1.69;11;0;16;5;2;5;0.31;0.98;0.65;0.96;0.73
4,ENBR3;4;-1.81;-1.41;-0.40;-0.06;-4.92;-3.11;-8.67;-0.49;0.13;-1.34;-6.28;4.47;-0.14;-1.05;0.64;6;7;13;16;13;53.85;58.62;53.85;53.85;62.50;-1.68;-2.50;-0.14;1.13;0.85;0.14;0.14;-2.95;1.53;4.48;1.29;03/07/2017;11/08/2017;30;14.16;14.15;53.33;46.67;16;14;2.52;1.69;11;0;16;5;2;5;0.23;0.99;0.93;0.82;0.53
5,ENBR3;5;-0.17;-0.13;-0.04;-0.06;-4.92;-4.75;-6.26;-1.32;0.94;0.30;-7.22;7.05;-0.01;-0.90;0.78;8;9;17;12;17;52.94;58.62;60.00;69.23;50.00;-1.02;-1.53;-0.01;1.13;0.84;0.14;0.14;-2.95;1.83;4.78;1.28;03/07/2017;11/08/2017;30;14.16;14.15;53.33;46.67;16;14;2.52;1.69;11;0;16;5;2;5;0.37;0.97;0.64;0.89;0.65
6,ENBR3;6;4.52;3.52;0.99;-0.06;-4.92;-9.44;-3.49;3.18;5.63;4.99;-2.88;7.40;0.32;-0.58;0.82;5;9;14;15;14;64.29;68.97;66.67;69.23;68.75;0.84;1.25;0.32;0.88;0.67;0.38;0.38;-1.36;1.83;3.19;0.77;03/07/2017;11/08/2017;30;14.16;14.15;53.33;46.67;16;14;2.52;1.69;11;0;16;5;2;5;0.98;0.26;0.15;0.06;0.02
7,ENBR3;7;-1.78;-1.39;-0.39;-0.06;-4.92;-3.14;-4.70;-3.38;-0.67;-1.31;-8.28;6.50;-0.12;-1.03;0.93;8;7;15;14;15;46.67;51.72;50.00;53.85;50.00;-1.66;-2.48;-0.12;1.29;1.00;0.00;0.00;-2.95;1.83;4.78;1.65;03/07/2017;11/08/2017;30;14.16;14.15;53.33;46.67;16;14;2.52;1.69;11;0;16;5;2;5;0.80;0.97;0.89;1.00;0.94
8,ENBR3;8;-4.35;-3.39;-0.96;-0.06;-4.92;-0.57;-0.90;-4.53;-2.40;-3.88;-9.43;5.09;-0.27;-1.05;0.73;9;7;16;13;16;43.75;48.28;48.28;53.85;43.75;-2.68;-4.01;-0.27;1.15;0.93;-0.04;-0.04;-2.95;1.53;4.48;1.33;03/07/2017;11/08/2017;30;14.16;14.15;53.33;46.67;16;14;2.52;1.69;11;0;16;5;2;5;0.67;0.55;0.77;0.99;1.00
9,ENBR3;9;1.11;0.87;0.24;-0.06;-4.92;-6.03;-4.34;-0.49;2.23;1.58;-5.39;6.50;0.09;-0.90;0.93;6;7;13;16;13;53.85;58.62;53.85;53.85;62.50;-0.51;-0.77;0.08;1.24;0.91;0.34;0.34;-2.95;1.83;4.78;1.54;03/07/2017;11/08/2017;30;14.16;14.15;53.33;46.67;16;14;2.52;1.69;11;0;16;5;2;5;0.35;0.84;0.51;0.75;0.32
10,ENBR3;10;10.38;8.10;2.28;-0.06;-4.92;-15.30;-6.75;6.34;10.29;11.41;0.00;10.38;0.80;0.00;0.80;0;13;13;16;13;100.00;100.00;100.00;100.00;100.00;3.17;4.73;0.80;0.55;0.45;0.74;0.74;0.07;1.83;1.76;0.31;03/07/2017;11/08/2017;30;14.16;14.15;53.33;46.67;16;14;2.52;1.69;11;0;16;5;2;5;0.53;0.00;0.00;0.00;0.00
0,data;openPrice;maxPrice;minPrice;avgPrice;closePrice;bestPrice;bestBidPrice;numTrader;amountTrader;volumeFinanc;classe
0,20170703;14.16;14.34;14.07;14.16;14.21;14.2;14.21;5196;1464500;2073881600;0
1,20170704;14.26;14.33;14.13;14.2;14.13;14.12;14.13;3716;775300;1100967300;1
2,20170705;14.12;14.32;13.98;14.17;14.28;14.27;14.28;6119;1769200;2508535400;0
3,20170706;14.23;14.43;14.07;14.18;14.15;14.14;14.15;292;2016500;2860030600;1
4,20170707;14.2;14.46;14.13;14.32;14.46;14.39;14.46;8199;1932600;2768126500;0
5,20170710;14.45;14.56;14.34;14.46;14.45;14.45;14.47;8962;2203400;3187472100;0
6,20170711;14.49;14.52;14.21;14.38;14.36;14.36;14.42;7641;1767000;2542545400;1
7,20170712;14.38;14.68;14.29;14.5;14.6;14.56;14.6;9260;1787700;2593166300;1
8,20170713;14.65;14.76;14.5;14.63;14.76;14.74;14.76;4902;3938500;5765791000;1
9,20170714;14.73;14.78;14.63;14.69;14.78;14.73;14.78;5653;981900;1442795100;0
10,20170717;14.75;14.77;14.52;14.61;14.74;14.71;14.74;7713;1497800;2189002800;0
11,20170718;14.74;14.77;14.55;14.63;14.59;14.59;14.68;6224;1351600;1978429700;0
12,20170719;14.66;14.67;14.47;14.55;14.54;14.54;14.6;6196;1266600;1843112100;0
13,20170720;14.6;14.69;14.37;14.48;14.51;14.48;14.51;8191;1302900;1887007000;1
14,20170721;14.57;14.71;14.51;14.61;14.71;14.6;14.71;3408;829400;1212570000;0
15,20170724;14.75;14.76;14.59;14.68;14.68;14.68;14.7;3188;778500;1143450200;0
16,20170725;14.75;14.75;14.46;14.51;14.46;14.46;14.54;7445;1370900;1990386500;0
17,20170726;14.49;14.57;14.42;14.47;14.45;14.45;14.5;4003;929700;1345393700;1
18,20170727;14.6;14.7;14.54;14.64;14.7;14.65;14.7;4156;760400;1113234800;0
19,20170728;14.63;14.69;14.42;14.5;14.51;14.51;14.54;5970;997200;1446117800;0
20,20170731;14.5;14.59;14.37;14.42;14.37;14.37;14.38;4749;1103100;1591021800;1
21,20170801;14.39;14.53;14.39;14.47;14.45;14.45;14.53;5585;1078900;1562160600;1
22,20170802;14.48;14.56;14.41;14.47;14.5;14.5;14.51;7457;1507800;2182680200;1
