0,ativo;classificador;RetornoBruto;RetornoLiquido;CustoOperacional;BuyAndHoldP;comprarSempreP;IndInversoP;IndAleatorioP;indAlvo05P;indAlvo1P;indAlvo2P;perdaP;ganhoP;retornoMedioP;perdaMediaP;ganhoMedioP ;qtdePerda;qtdeGanho ;qtdeTotal ;qtdeClasse0 ;qtdeClasse1 ;precisao;acuracia;f1score;recall;specificity;sharpe;sortino;media;desvioPadrao;desvioAbsoluto;mediana;quantil;minimo;maximo;amplitude;variancia; DataInicial; DataFinal; QtdeDias; PrecoInicial; PrecoFinal; Classe0; Classe1; QtdeClasse0;QtdeClasse1;volatilidade;volatilidadeDowsid;qtdeD3_caiu;qtdeD3_estavel;qtdeD3_subiu;qtdeRompimento;qtdeCorrecao;qtdeContraTendencia;ShapiroWilk;KolmogorovSmirnov;Tstudent;Anova;kruskalWallis
1,GGBR4;1;1.64;1.28;0.36;7.98;3.86;2.22;5.34;-2.86;-2.07;-0.31;-9.10;10.74;0.12;-1.14;1.79;8;6;14;15;14;42.86;48.28;44.44;46.15;50.00;-0.25;-0.41;0.12;1.71;1.43;-0.51;-0.51;-2.26;3.23;5.49;2.94;03/07/2017;11/08/2017;30;10.30;11.29;56.67;43.33;17;13;3.04;1.87;18;0;12;5;2;5;0.25;0.29;0.98;0.96;0.98
2,GGBR4;2;9.53;7.43;2.10;7.98;3.86;-5.67;-5.92;-0.37;3.42;7.30;-9.61;19.14;0.45;-0.96;1.74;10;11;21;8;21;52.38;58.62;64.71;84.62;37.50;2.34;3.82;0.45;1.61;1.37;0.27;0.27;-2.26;3.23;5.49;2.59;03/07/2017;11/08/2017;30;10.30;11.29;56.67;43.33;17;13;3.04;1.87;18;0;12;5;2;5;0.26;0.01;0.52;0.51;0.72
3,GGBR4;3;7.94;6.19;1.75;7.98;3.86;-4.08;0.05;1.78;3.50;6.33;-5.52;13.46;0.53;-0.79;1.68;7;8;15;14;15;53.33;58.62;57.14;61.54;56.25;1.82;2.96;0.53;1.48;1.25;0.38;0.38;-1.48;3.23;4.71;2.19;03/07/2017;11/08/2017;30;10.30;11.29;56.67;43.33;17;13;3.04;1.87;18;0;12;5;2;5;0.38;0.14;0.46;0.74;0.91
4,GGBR4;4;9.23;7.20;2.03;7.98;3.86;-5.37;15.95;3.76;5.62;7.28;-4.41;13.64;0.62;-0.63;1.70;7;8;15;14;15;53.33;58.62;57.14;61.54;56.25;2.24;3.65;0.62;1.41;1.20;0.38;0.38;-1.12;3.23;4.35;2.00;03/07/2017;11/08/2017;30;10.30;11.29;56.67;43.33;17;13;3.04;1.87;18;0;12;5;2;5;0.19;0.11;0.37;0.09;0.20
5,GGBR4;5;-6.85;-5.34;-1.51;7.98;3.86;10.71;7.84;-9.21;-8.75;-7.99;-16.40;9.55;-0.38;-1.26;1.91;13;5;18;11;18;27.78;27.59;32.26;38.46;18.75;-3.04;-4.96;-0.38;1.89;1.34;-0.55;-0.55;-5.21;2.42;7.63;3.56;03/07/2017;11/08/2017;30;10.30;11.29;56.67;43.33;17;13;3.04;1.87;18;0;12;5;2;5;0.11;0.17;0.35;0.23;0.26
6,GGBR4;6;3.87;3.02;0.85;7.98;3.86;-0.01;0.82;-0.22;0.46;2.64;-5.19;9.06;0.35;-0.74;2.26;7;4;11;18;11;36.36;44.83;33.33;30.77;56.25;0.48;0.78;0.35;1.60;1.39;-0.36;-0.36;-1.48;3.23;4.71;2.57;03/07/2017;11/08/2017;30;10.30;11.29;56.67;43.33;17;13;3.04;1.87;18;0;12;5;2;5;0.10;0.18;0.72;0.98;1.00
7,GGBR4;7;-1.88;-1.47;-0.41;7.98;3.86;5.74;-2.74;-3.88;-4.84;-3.02;-12.86;10.98;-0.12;-1.43;1.57;9;7;16;13;16;43.75;48.28;48.28;53.85;43.75;-1.41;-2.30;-0.12;1.98;1.48;-0.41;-0.41;-5.21;2.42;7.63;3.93;03/07/2017;11/08/2017;30;10.30;11.29;56.67;43.33;17;13;3.04;1.87;18;0;12;5;2;5;0.14;0.39;0.67;0.95;0.96
8,GGBR4;8;8.08;6.30;1.78;7.98;3.86;-4.22;0.40;2.27;2.89;5.71;-5.75;13.83;0.58;-0.82;1.98;7;7;14;15;14;50.00;55.17;51.85;53.85;56.25;1.86;3.04;0.58;1.62;1.40;0.20;0.20;-1.57;3.23;4.80;2.61;03/07/2017;11/08/2017;30;10.30;11.29;56.67;43.33;17;13;3.04;1.87;18;0;12;5;2;5;0.19;0.08;0.44;0.77;0.93
9,GGBR4;9;6.02;4.70;1.33;7.98;3.86;-2.17;7.49;1.40;2.31;4.08;-4.33;10.36;0.55;-0.72;2.07;6;5;11;18;11;45.45;51.72;41.67;38.46;62.50;1.19;1.94;0.55;1.62;1.39;-0.18;-0.18;-1.48;3.23;4.71;2.62;03/07/2017;11/08/2017;30;10.30;11.29;56.67;43.33;17;13;3.04;1.87;18;0;12;5;2;5;0.19;0.14;0.51;0.74;0.97
10,GGBR4;10;21.83;17.03;4.80;7.98;3.86;-17.97;14.62;6.50;12.38;19.60;0.00;21.83;1.68;0.00;1.68;0;13;13;16;13;100.00;100.00;100.00;100.00;100.00;6.38;10.40;1.68;0.89;0.69;1.83;1.83;0.27;3.23;2.96;0.79;03/07/2017;11/08/2017;30;10.30;11.29;56.67;43.33;17;13;3.04;1.87;18;0;12;5;2;5;0.50;0.00;0.01;0.00;0.00
0,data;openPrice;maxPrice;minPrice;avgPrice;closePrice;bestPrice;bestBidPrice;numTrader;amountTrader;volumeFinanc;classe
0,20170703;10.3;10.47;10.3;10.38;10.4;10.39;10.4;7318;4467200;4636930100;1
1,20170704;10.3;10.44;10.25;10.36;10.36;10.35;10.36;4432;1877100;1945981000;1
2,20170705;10.4;10.59;10.32;10.47;10.59;10.58;10.59;9752;12543000;13136660900;1
3,20170706;10.48;10.88;10.44;10.66;10.73;10.72;10.74;3769;11416500;12173994200;0
4,20170707;10.83;10.94;10.5;10.69;10.76;10.75;10.76;9908;9047700;9679459500;1
5,20170710;10.76;11.05;10.7;10.91;11.02;11.0;11.02;1012;8450800;9222899900;0
6,20170711;11.0;11.1;10.9;10.98;10.95;10.94;10.95;7683;7846400;8622061300;0
7,20170712;11.06;11.12;10.82;10.99;11.02;11.01;11.02;7330;8440200;9283764000;0
8,20170713;11.0;11.06;10.71;10.86;10.92;10.91;10.92;7065;10974000;11928697600;0
9,20170714;10.94;11.05;10.9;10.97;10.94;10.93;10.94;8926;3994600;4381984800;1
10,20170717;10.99;11.1;10.93;11.01;11.02;11.0;11.02;7858;3896800;4291582400;0
11,20170718;11.08;11.09;10.72;10.82;10.83;10.83;10.84;2446;6271700;6789951500;1
12,20170719;10.86;11.06;10.85;10.98;11.06;11.05;11.06;4730;7323700;8048142000;0
13,20170720;11.03;11.08;10.72;10.86;10.87;10.85;10.87;9069;6400100;6954535900;0
14,20170721;10.86;10.9;10.59;10.72;10.69;10.68;10.69;7604;5146400;5520362400;1
15,20170724;10.71;11.0;10.7;10.89;10.96;10.96;10.98;7772;6008000;6544210500;1
16,20170725;10.9;11.2;10.85;11.08;11.14;11.14;11.15;1368;7725200;8566510000;0
17,20170726;11.13;11.13;10.52;10.71;10.55;10.54;10.55;8635;13405100;14363047500;0
18,20170727;10.67;10.7;10.46;10.59;10.57;10.57;10.58;1632;6934300;7343435100;1
19,20170728;10.55;10.64;10.41;10.53;10.59;10.59;10.6;2481;6521500;6870777100;0
20,20170731;10.82;10.86;10.62;10.71;10.66;10.66;10.68;333;7921700;8484961200;0
21,20170801;10.68;10.73;10.5;10.58;10.56;10.55;10.56;3185;4899100;5185193300;1
22,20170802;10.53;10.91;10.48;10.76;10.87;10.86;10.87;4552;8220500;8850370400;0
23,20170803;10.93;10.98;10.76;10.87;10.91;10.9;10.92;1224;6372100;6932337400;1
24,20170804;11.0;11.21;10.9;11.08;11.18;11.17;11.18;6068;9155700;10151821700;1
25,20170807;11.4;11.7;11.33;11.57;11.59;11.59;11.6;8071;9974900;11546829300;0
26,20170808;11.5;11.7;11.37;11.52;11.47;11.46;11.47;794;5813500;6698643000;0
27,20170809;11.43;11.55;11.23;11.36;11.37;11.35;11.37;4123;8011600;9103864900;1
28,20170810;11.34;11.49;11.16;11.31;11.46;11.46;11.47;367;5958700;6745305500;0
29,20170811;11.38;11.47;11.23;11.31;11.29;11.28;11.3;5700;5860800;6629094900;0
0,classificador;data;sinalcompra;acertou;openprice;closeprice;vlrcompra;vlrvenda;lucrobrutoR;impostorendaR;custotransacaoR;lucroliquidoR;lucrobrutoP;lucroliquidoP;custotransacaoP;custotransacaoAcumuladoP;lucrobrutoAcumuladoP;lucroliquidoAcumuladoP;evolucaoCapitalR;impostoRendaAcumuladoR
1,7;20170703;1;S;10.30;10.36;10300.00;10360.00;60.00;10.18;19.26;40.74;0.58;0.45;0.13;0.13;0.58;0.45;40.74;10.18
2,7;20170704;1;S;10.40;10.59;10400.00;10590.00;190.00;36.17;45.33;144.67;1.83;1.42;0.40;0.53;2.41;1.88;185.40;46.35
3,7;20170705;1;S;10.48;10.73;10480.00;10730.00;250.00;48.16;57.37;192.63;2.39;1.86;0.52;1.05;4.79;3.74;378.03;94.51
4,7;20170706;1;N;10.83;10.76;10830.00;10760.00;-70.00;0.00;0.00;-79.23;-0.65;-0.50;-0.14;0.91;4.15;3.24;298.80;94.51
5,7;20170707;1;S;10.76;11.02;10760.00;11020.00;260.00;50.13;59.46;200.54;2.42;1.88;0.53;1.44;6.56;5.12;499.34;144.64
6,7;20170710;1;N;11.00;10.95;11000.00;10950.00;-50.00;0.00;0.00;-59.30;-0.45;-0.35;-0.10;1.34;6.11;4.77;440.04;144.64
7,7;20170711;1;N;11.06;11.02;11060.00;11020.00;-40.00;0.00;0.00;-49.33;-0.36;-0.28;-0.08;1.26;5.75;4.48;390.71;144.64
8,7;20170712;1;N;11.00;10.92;11000.00;10920.00;-80.00;0.00;0.00;-89.29;-0.73;-0.57;-0.16;1.10;5.02;3.92;301.42;144.64
9,7;20170717;1;N;11.08;10.83;11080.00;10830.00;-250.00;0.00;0.00;-259.26;-2.26;-1.76;-0.50;0.61;2.77;2.16;42.17;144.64
10,7;20170721;1;S;10.71;10.96;10710.00;10960.00;250.00;48.14;57.44;192.56;2.33;1.82;0.51;1.12;5.10;3.98;234.73;192.78
11,7;20170725;1;N;11.13;10.55;11130.00;10550.00;-580.00;0.00;0.00;-589.15;-5.21;-4.06;-1.15;-0.02;-0.11;-0.09;-354.43;192.78
12,7;20170726;1;N;10.67;10.57;10670.00;10570.00;-100.00;0.00;0.00;-109.16;-0.94;-0.73;-0.21;-0.23;-1.05;-0.82;-463.58;192.78
13,7;20170727;1;S;10.55;10.59;10550.00;10590.00;40.00;0.00;9.17;30.83;0.38;0.30;0.08;-0.15;-0.67;-0.52;-432.75;192.78
14,7;20170728;1;N;10.82;10.66;10820.00;10660.00;-160.00;0.00;0.00;-169.19;-1.48;-1.15;-0.33;-0.47;-2.15;-1.68;-601.94;192.78
