0,ativo;classificador;RetornoBruto;RetornoLiquido;CustoOperacional;BuyAndHoldP;comprarSempreP;IndInversoP;IndAleatorioP;indAlvo05P;indAlvo1P;indAlvo2P;perdaP;ganhoP;retornoMedioP;perdaMediaP;ganhoMedioP ;qtdePerda;qtdeGanho ;qtdeTotal ;qtdeClasse0 ;qtdeClasse1 ;precisao;acuracia;f1score;recall;specificity;sharpe;sortino;media;desvioPadrao;desvioAbsoluto;mediana;quantil;minimo;maximo;amplitude;variancia; DataInicial; DataFinal; QtdeDias; PrecoInicial; PrecoFinal; Classe0; Classe1; QtdeClasse0;QtdeClasse1;volatilidade;volatilidadeDowsid;qtdeD3_caiu;qtdeD3_estavel;qtdeD3_subiu;qtdeRompimento;qtdeCorrecao;qtdeContraTendencia;ShapiroWilk;KolmogorovSmirnov;Tstudent;Anova;kruskalWallis
1,ITSA4;1;0.33;0.25;0.07;6.70;3.51;3.18;4.16;0.15;-1.13;0.56;-4.24;4.56;0.03;-0.61;1.14;7;4;11;18;11;36.36;48.28;34.78;33.33;58.82;-1.71;-3.69;0.03;1.05;0.81;-0.21;-0.21;-1.43;1.76;3.19;1.09;03/07/2017;11/08/2017;30;9.04;9.77;56.67;43.33;17;13;1.22;0.56;16;0;12;6;2;4;0.31;0.85;0.77;0.82;0.77
2,ITSA4;2;0.82;0.64;0.18;6.70;3.51;2.68;-0.69;-0.22;-0.20;1.06;-2.92;3.75;0.08;-0.49;0.94;6;4;10;19;10;40.00;51.72;36.36;33.33;64.71;-1.30;-2.81;0.08;0.92;0.68;-0.16;-0.16;-1.43;1.76;3.19;0.85;03/07/2017;11/08/2017;30;9.04;9.77;56.67;43.33;17;13;1.22;0.56;16;0;12;6;2;4;0.65;0.86;0.90;0.99;1.00
3,ITSA4;3;0.56;0.44;0.12;6.70;3.51;2.94;5.41;-0.90;-0.29;0.80;-2.40;2.96;0.08;-0.60;0.99;4;3;7;22;7;42.86;55.17;31.58;25.00;76.47;-1.51;-3.27;0.08;1.06;0.78;-0.22;-0.22;-1.43;1.76;3.19;1.11;03/07/2017;11/08/2017;30;9.04;9.77;56.67;43.33;17;13;1.22;0.56;16;0;12;6;2;4;0.78;0.99;0.91;0.90;0.95
4,ITSA4;4;-0.07;-0.05;-0.02;6.70;3.51;3.58;1.74;0.03;-0.63;-0.07;-5.36;5.29;-0.00;-0.49;0.88;11;6;17;12;17;35.29;41.38;41.38;50.00;35.29;-2.03;-4.39;-0.00;0.79;0.63;-0.21;-0.21;-1.19;1.44;2.63;0.62;03/07/2017;11/08/2017;30;9.04;9.77;56.67;43.33;17;13;1.22;0.56;16;0;12;6;2;4;0.23;0.64;0.62;0.99;0.85
5,ITSA4;5;-0.99;-0.77;-0.22;6.70;3.51;4.50;3.51;-0.29;-1.69;-0.99;-3.69;2.69;-0.12;-0.61;1.35;6;2;8;21;8;25.00;44.83;20.00;16.67;64.71;-2.79;-6.02;-0.12;1.03;0.74;-0.21;-0.21;-1.43;1.44;2.87;1.06;03/07/2017;11/08/2017;30;9.04;9.77;56.67;43.33;17;13;1.22;0.56;16;0;12;6;2;4;0.32;0.42;0.49;0.82;0.60
6,ITSA4;6;2.33;1.82;0.51;6.70;3.51;1.17;2.50;1.06;0.28;2.54;-3.34;5.67;0.29;-0.83;1.42;4;4;8;21;8;50.00;58.62;40.00;33.33;76.47;-0.06;-0.14;0.29;1.33;1.13;0.21;0.21;-1.43;2.03;3.46;1.76;03/07/2017;11/08/2017;30;9.04;9.77;56.67;43.33;17;13;1.22;0.56;16;0;12;6;2;4;0.54;0.52;0.66;0.96;0.99
7,ITSA4;7;-1.73;-1.35;-0.38;6.70;3.51;5.24;2.01;-1.31;-2.49;-1.49;-3.49;1.76;-0.29;-0.70;1.76;5;1;6;23;6;16.67;44.83;11.11;8.33;70.59;-3.40;-7.33;-0.29;1.13;0.77;-0.39;-0.39;-1.43;1.76;3.19;1.28;03/07/2017;11/08/2017;30;9.04;9.77;56.67;43.33;17;13;1.22;0.56;16;0;12;6;2;4;0.29;0.28;0.31;0.49;0.15
8,ITSA4;8;-1.98;-1.54;-0.44;6.70;3.51;5.48;1.43;-1.60;-3.00;-1.74;-5.00;3.02;-0.16;-0.50;1.51;10;2;12;17;12;16.67;31.03;16.67;16.67;41.18;-3.60;-7.77;-0.17;0.90;0.60;-0.22;-0.22;-1.43;1.76;3.19;0.80;03/07/2017;11/08/2017;30;9.04;9.77;56.67;43.33;17;13;1.22;0.56;16;0;12;6;2;4;0.08;0.11;0.33;0.54;0.05
9,ITSA4;9;-0.02;-0.01;-0.00;6.70;3.51;3.52;1.18;0.36;-1.04;0.22;-3.04;3.02;-0.00;-0.76;1.51;4;2;6;23;6;33.33;51.72;22.22;16.67;76.47;-1.99;-4.30;-0.00;1.28;1.01;-0.21;-0.21;-1.43;1.76;3.19;1.65;03/07/2017;11/08/2017;30;9.04;9.77;56.67;43.33;17;13;1.22;0.56;16;0;12;6;2;4;0.44;0.85;0.76;1.00;0.96
