0,ativo;classificador;RetornoBruto;RetornoLiquido;CustoOperacional;BuyAndHoldP;comprarSempreP;IndInversoP;IndAleatorioP;indAlvo05P;indAlvo1P;indAlvo2P;perdaP;ganhoP;retornoMedioP;perdaMediaP;ganhoMedioP ;qtdePerda;qtdeGanho ;qtdeTotal ;qtdeClasse0 ;qtdeClasse1 ;precisao;acuracia;f1score;recall;specificity;sharpe;sortino;media;desvioPadrao;desvioAbsoluto;mediana;quantil;minimo;maximo;amplitude;variancia; DataInicial; DataFinal; QtdeDias; PrecoInicial; PrecoFinal; Classe0; Classe1; QtdeClasse0;QtdeClasse1;volatilidade;volatilidadeDowsid;qtdeD3_caiu;qtdeD3_estavel;qtdeD3_subiu;qtdeRompimento;qtdeCorrecao;qtdeContraTendencia;ShapiroWilk;KolmogorovSmirnov;Tstudent;Anova;kruskalWallis
1,JBSS3;1;5.57;4.34;1.22;23.12;1.33;-4.24;4.25;-2.71;-1.21;1.33;-4.21;9.77;1.11;-2.10;3.26;2;3;5;24;5;60.00;62.07;35.29;25.00;88.24;0.93;2.06;1.11;3.80;2.57;1.23;1.23;-3.16;7.01;10.17;14.47;03/07/2017;11/08/2017;30;6.57;8.40;60.00;40.00;18;12;3.42;1.53;22;0;10;7;2;6;0.67;0.12;0.47;0.94;0.97
2,JBSS3;2;10.68;8.33;2.35;23.12;1.33;-9.35;2.53;-2.88;0.62;1.23;-9.24;19.92;1.07;-2.31;3.32;4;6;10;19;10;60.00;65.52;54.55;50.00;76.47;2.42;5.39;1.07;3.49;2.73;1.08;1.08;-3.16;7.01;10.17;12.19;03/07/2017;11/08/2017;30;6.57;8.40;60.00;40.00;18;12;3.42;1.53;22;0;10;7;2;6;0.53;0.04;0.36;0.80;0.68
3,JBSS3;3;6.55;5.11;1.44;23.12;1.33;-5.22;11.53;-1.72;-0.22;2.31;-3.22;9.77;1.31;-1.61;3.26;2;3;5;24;5;60.00;62.07;35.29;25.00;88.24;1.21;2.70;1.31;3.54;2.37;1.23;1.23;-2.17;7.01;9.18;12.56;03/07/2017;11/08/2017;30;6.57;8.40;60.00;40.00;18;12;3.42;1.53;22;0;10;7;2;6;0.41;0.12;0.39;0.80;0.81
4,JBSS3;4;-1.07;-0.83;-0.24;23.12;1.33;2.40;12.85;-5.95;-2.95;0.09;-12.36;11.29;-0.10;-2.06;2.26;6;5;11;18;11;45.45;55.17;43.48;41.67;64.71;-1.02;-2.27;-0.10;3.00;2.14;-0.14;-0.14;-3.40;7.01;10.41;8.99;03/07/2017;11/08/2017;30;6.57;8.40;60.00;40.00;18;12;3.42;1.53;22;0;10;7;2;6;0.09;0.11;0.89;0.87;0.93
5,JBSS3;5;7.01;5.47;1.54;23.12;1.33;-5.67;-1.74;-3.99;-2.49;0.04;-5.49;12.50;1.40;-2.75;4.17;2;3;5;24;5;60.00;62.07;35.29;25.00;88.24;1.35;3.00;1.40;4.27;3.32;1.53;1.53;-3.16;7.01;10.17;18.21;03/07/2017;11/08/2017;30;6.57;8.40;60.00;40.00;18;12;3.42;1.53;22;0;10;7;2;6;0.68;0.07;0.37;0.86;0.98
6,JBSS3;6;11.76;9.17;2.59;23.12;1.33;-10.43;-2.45;-4.36;0.64;4.25;-14.00;25.77;0.78;-2.00;3.22;7;8;15;14;15;53.33;62.07;59.26;66.67;58.82;2.74;6.10;0.78;3.26;2.62;0.63;0.63;-3.16;7.01;10.17;10.61;03/07/2017;11/08/2017;30;6.57;8.40;60.00;40.00;18;12;3.42;1.53;22;0;10;7;2;6;0.17;0.12;0.44;0.79;0.51
7,JBSS3;7;14.77;11.52;3.25;23.12;1.33;-13.44;7.99;3.45;7.95;9.14;-5.69;20.46;1.48;-1.90;2.92;3;7;10;19;10;70.00;72.41;63.64;58.33;82.35;3.62;8.06;1.48;3.12;2.36;1.08;1.08;-2.86;7.01;9.87;9.74;03/07/2017;11/08/2017;30;6.57;8.40;60.00;40.00;18;12;3.42;1.53;22;0;10;7;2;6;0.76;0.04;0.19;0.22;0.01
8,JBSS3;8;8.47;6.61;1.86;23.12;1.33;-7.14;-8.13;-7.28;-2.78;-0.53;-16.42;24.89;0.61;-2.35;3.56;7;7;14;15;14;50.00;58.62;53.85;58.33;58.82;1.78;3.95;0.60;3.53;2.95;-0.24;-0.24;-3.16;7.01;10.17;12.45;03/07/2017;11/08/2017;30;6.57;8.40;60.00;40.00;18;12;3.42;1.53;22;0;10;7;2;6;0.07;0.02;0.58;0.85;0.72
9,JBSS3;9;5.57;4.34;1.22;23.12;1.33;-4.24;0.02;-2.71;-1.21;1.33;-4.21;9.77;1.11;-2.10;3.26;2;3;5;24;5;60.00;62.07;35.29;25.00;88.24;0.93;2.06;1.11;3.80;2.57;1.23;1.23;-3.16;7.01;10.17;14.47;03/07/2017;11/08/2017;30;6.57;8.40;60.00;40.00;18;12;3.42;1.53;22;0;10;7;2;6;0.67;0.12;0.47;0.95;0.97
10,JBSS3;10;32.22;25.13;7.09;23.12;1.33;-30.89;-7.11;6.00;12.00;17.59;0.00;32.22;2.69;0.00;2.69;0;12;12;17;12;100.00;100.00;100.00;100.00;100.00;8.73;19.43;2.68;2.47;2.22;1.38;1.38;0.13;7.01;6.88;6.10;03/07/2017;11/08/2017;30;6.57;8.40;60.00;40.00;18;12;3.42;1.53;22;0;10;7;2;6;0.03;0.00;0.01;0.00;0.00
0,data;openPrice;maxPrice;minPrice;avgPrice;closePrice;bestPrice;bestBidPrice;numTrader;amountTrader;volumeFinanc;classe
0,20170703;6.57;6.93;6.45;6.72;6.73;6.73;6.74;8136;18998400;12771096500;0
1,20170704;6.73;6.9;6.61;6.72;6.61;6.61;6.63;3070;8639600;5810453900;0
2,20170705;6.65;6.76;6.41;6.52;6.46;6.45;6.46;6460;11699600;7632679500;0
3,20170706;6.44;6.47;6.25;6.35;6.3;6.29;6.3;6894;10848500;6895397100;1
4,20170707;6.3;6.44;6.27;6.34;6.34;6.34;6.35;1638;8342800;5296889500;1
5,20170710;6.4;6.5;6.36;6.44;6.46;6.46;6.47;7635;11519700;7425800600;1
6,20170711;6.49;6.63;6.47;6.55;6.57;6.57;6.58;4789;9573200;6276631300;0
7,20170712;6.67;6.69;6.47;6.6;6.6;6.59;6.6;1906;10554300;6975092400;1
8,20170713;6.86;7.24;6.8;7.13;7.22;7.21;7.22;8614;29237300;20848033500;0
9,20170714;7.35;7.38;7.04;7.19;7.15;7.15;7.16;8558;27232000;19601137800;1
10,20170717;7.18;7.29;7.11;7.21;7.21;7.21;7.22;2905;10932200;7883409900;0
11,20170718;7.27;7.28;7.1;7.17;7.1;7.1;7.11;532;7736200;5547470000;0
12,20170719;7.13;7.14;6.89;7.01;7.1;7.07;7.1;2582;9453300;6637026500;0
13,20170720;7.13;7.2;7.04;7.12;7.06;7.06;7.07;6934;5442000;3876347300;0
14,20170721;7.1;7.12;6.91;6.99;6.95;6.94;6.95;8039;5062100;3541118600;0
15,20170724;6.94;6.95;6.87;6.91;6.93;6.92;6.93;1721;7552400;5221934900;1
16,20170725;6.96;7.05;6.93;7.0;7.0;7.0;7.01;9848;6695000;4688407300;1
17,20170726;7.1;7.53;7.09;7.39;7.47;7.47;7.48;6118;23251800;17203611700;1
18,20170727;7.5;7.97;7.49;7.85;7.9;7.9;7.91;1171;20443000;16055794800;0
19,20170728;7.92;7.92;7.53;7.67;7.67;7.67;7.68;8634;19253300;14768434600;0
20,20170731;7.75;7.77;7.61;7.68;7.7;7.67;7.7;3965;10535400;8092072800;0
21,20170801;7.95;7.99;7.68;7.82;7.7;7.7;7.72;4394;13086300;10234830800;0
22,20170802;7.76;7.82;7.6;7.7;7.71;7.7;7.71;5385;8302500;6402935600;1
23,20170803;7.76;7.86;7.67;7.76;7.77;7.77;7.78;5779;7360800;5713647000;0
24,20170804;7.85;7.9;7.78;7.82;7.83;7.82;7.83;8119;6367600;4979839900;1
25,20170807;7.83;7.98;7.8;7.91;7.95;7.94;7.95;4400;11892800;9414435600;1
26,20170808;7.99;8.56;7.96;8.37;8.55;8.55;8.56;5813;20273800;16983371900;0
27,20170809;8.5;8.52;8.24;8.33;8.24;8.23;8.26;9820;9763400;8136996600;0
28,20170810;8.23;8.4;7.94;8.12;7.95;7.95;7.98;2114;7306800;5934323900;1
29,20170811;8.08;8.47;8.04;8.33;8.4;8.4;8.41;9049;7837500;6532554300;0
0,classificador;data;sinalcompra;acertou;openprice;closeprice;vlrcompra;vlrvenda;lucrobrutoR;impostorendaR;custotransacaoR;lucroliquidoR;lucrobrutoP;lucroliquidoP;custotransacaoP;custotransacaoAcumuladoP;lucrobrutoAcumuladoP;lucroliquidoAcumuladoP;evolucaoCapitalR;impostoRendaAcumuladoR
1,7;20170703;1;N;6.73;6.61;6730.00;6610.00;-120.00;0.00;0.00;-127.68;-1.78;-1.39;-0.39;-0.39;-1.78;-1.39;-127.68;0.00
2,7;20170704;1;N;6.65;6.46;6650.00;6460.00;-190.00;0.00;0.00;-197.63;-2.86;-2.23;-0.63;-1.02;-4.64;-3.62;-325.31;0.00
3,7;20170707;1;S;6.40;6.46;6400.00;6460.00;60.00;0.00;7.63;52.37;0.94;0.73;0.21;-0.81;-3.70;-2.89;-272.94;0.00
4,7;20170710;1;S;6.49;6.57;6490.00;6570.00;80.00;0.00;7.67;72.33;1.23;0.96;0.27;-0.54;-2.47;-1.93;-200.61;0.00
5,7;20170711;1;N;6.67;6.60;6670.00;6600.00;-70.00;0.00;0.00;-77.68;-1.05;-0.82;-0.23;-0.77;-3.52;-2.75;-278.28;0.00
6,7;20170724;1;S;6.96;7.00;6960.00;7000.00;40.00;0.00;7.83;32.17;0.57;0.45;0.13;-0.65;-2.94;-2.30;-246.11;0.00
7,7;20170725;1;S;7.10;7.47;7100.00;7470.00;370.00;32.40;40.40;329.60;5.21;4.06;1.15;0.50;2.27;1.77;83.48;32.40
8,7;20170804;1;S;7.83;7.95;7830.00;7950.00;120.00;22.36;30.55;89.45;1.53;1.20;0.34;0.84;3.80;2.96;172.94;54.76
9,7;20170807;1;S;7.99;8.55;7990.00;8550.00;560.00;110.32;118.72;441.28;7.01;5.47;1.54;2.38;10.81;8.43;614.21;165.08
10,7;20170810;1;S;8.08;8.40;8080.00;8400.00;320.00;62.33;70.68;249.32;3.96;3.09;0.87;3.25;14.77;11.52;863.53;227.41
0,Serie; media; desvioPadrao; desvioAbsoluto; mediana; quantil; minimo; maximo; amplitude; variancia
1,PrecoAbertura;7.28;0.61;0.52;7.15;7.15;6.30;8.50;2.20;0.38
2,PrecoFechamento;7.29;0.63;0.54;7.18;7.18;6.30;8.55;2.25;0.40
