0,ativo;classificador;RetornoBruto;RetornoLiquido;CustoOperacional;BuyAndHoldP;comprarSempreP;IndInversoP;IndAleatorioP;indAlvo05P;indAlvo1P;indAlvo2P;perdaP;ganhoP;retornoMedioP;perdaMediaP;ganhoMedioP ;qtdePerda;qtdeGanho ;qtdeTotal ;qtdeClasse0 ;qtdeClasse1 ;precisao;acuracia;f1score;recall;specificity;sharpe;sortino;media;desvioPadrao;desvioAbsoluto;mediana;quantil;minimo;maximo;amplitude;variancia; DataInicial; DataFinal; QtdeDias; PrecoInicial; PrecoFinal; Classe0; Classe1; QtdeClasse0;QtdeClasse1;volatilidade;volatilidadeDowsid;qtdeD3_caiu;qtdeD3_estavel;qtdeD3_subiu;qtdeRompimento;qtdeCorrecao;qtdeContraTendencia;ShapiroWilk;KolmogorovSmirnov;Tstudent;Anova;kruskalWallis
1,MRFG3;1;-0.86;-0.67;-0.19;0.85;-0.73;0.13;-0.63;-0.86;-0.86;-0.86;-0.86;0.00;-0.86;-0.86;0.00;1;0;1;28;1;0.00;65.52;0.00;0.00;95.00;-2.04;-4.33;-0.86;nan;0.00;-0.86;-0.86;-0.86;-0.86;0.00;nan;03/07/2017;11/08/2017;30;6.81;6.88;66.67;33.33;20;10;1.61;0.76;8;0;10;5;1;4;0.00;0.00;0.00;0.00;0.00
2,MRFG3;2;1.88;1.47;0.41;0.85;-0.73;-2.61;-0.74;-1.71;-0.41;-0.39;-5.47;7.35;0.17;-0.78;1.84;7;4;11;18;11;36.36;58.62;40.00;44.44;65.00;-0.33;-0.70;0.17;1.95;1.21;-0.31;-0.31;-2.11;5.49;7.60;3.81;03/07/2017;11/08/2017;30;6.81;6.88;66.67;33.33;20;10;1.61;0.76;8;0;10;5;1;4;0.00;0.92;0.74;1.00;0.99
3,MRFG3;3;6.57;5.12;1.44;0.85;-0.73;-7.30;2.87;1.50;2.61;3.08;0.00;6.57;1.64;0.00;2.19;1;3;4;25;4;75.00;75.86;46.15;33.33;95.00;2.59;5.50;1.64;2.58;1.93;0.54;0.54;0.00;5.49;5.49;6.66;03/07/2017;11/08/2017;30;6.81;6.88;66.67;33.33;20;10;1.61;0.76;8;0;10;5;1;4;0.02;0.19;0.07;0.19;0.04
4,MRFG3;4;3.13;2.44;0.69;0.85;-0.73;-3.87;-7.93;-0.46;-0.82;-0.35;-4.21;7.35;0.28;-0.60;1.84;7;4;11;18;11;36.36;58.62;40.00;44.44;65.00;0.45;0.96;0.28;1.84;1.13;-0.31;-0.31;-1.08;5.49;6.57;3.38;03/07/2017;11/08/2017;30;6.81;6.88;66.67;33.33;20;10;1.61;0.76;8;0;10;5;1;4;0.00;0.92;0.59;0.85;0.98
5,MRFG3;5;-0.86;-0.67;-0.19;0.85;-0.73;0.13;2.97;-0.86;-0.86;-0.86;-0.86;0.00;-0.86;-0.86;0.00;1;0;1;28;1;0.00;65.52;0.00;0.00;95.00;-2.04;-4.33;-0.86;nan;0.00;-0.86;-0.86;-0.86;-0.86;0.00;nan;03/07/2017;11/08/2017;30;6.81;6.88;66.67;33.33;20;10;1.61;0.76;8;0;10;5;1;4;0.00;0.00;0.00;0.00;0.00
6,MRFG3;6;7.00;5.46;1.54;0.85;-0.73;-7.73;2.04;2.15;4.23;5.70;-2.16;9.16;0.64;-0.43;1.53;5;6;11;18;11;54.55;72.41;60.00;66.67;75.00;2.86;6.07;0.64;1.74;1.01;0.46;0.46;-1.08;5.49;6.57;3.04;03/07/2017;11/08/2017;30;6.81;6.88;66.67;33.33;20;10;1.61;0.76;8;0;10;5;1;4;0.00;0.56;0.25;0.37;0.13
7,MRFG3;7;6.57;5.12;1.44;0.85;-0.73;-7.30;-5.66;1.50;2.61;3.08;0.00;6.57;2.19;0.00;2.19;0;3;3;26;3;100.00;79.31;50.00;33.33;100.00;2.59;5.50;2.19;2.86;2.20;0.61;0.61;0.46;5.49;5.03;8.19;03/07/2017;11/08/2017;30;6.81;6.88;66.67;33.33;20;10;1.61;0.76;8;0;10;5;1;4;0.05;0.07;0.04;0.03;0.03
8,MRFG3;8;0.83;0.65;0.18;0.85;-0.73;-1.56;0.86;-1.76;-2.21;-2.66;-4.66;5.49;0.09;-0.58;5.49;8;1;9;20;9;11.11;44.83;11.11;11.11;60.00;-0.98;-2.09;0.09;2.05;1.20;-0.45;-0.45;-1.08;5.49;6.57;4.19;03/07/2017;11/08/2017;30;6.81;6.88;66.67;33.33;20;10;1.61;0.76;8;0;10;5;1;4;0.00;0.04;0.86;0.99;0.45
9,MRFG3;9;5.49;4.28;1.21;0.85;-0.73;-6.22;-4.72;0.50;1.00;2.00;0.00;5.49;5.49;0.00;5.49;0;1;1;28;1;100.00;72.41;20.00;11.11;100.00;1.92;4.08;5.49;nan;0.00;5.49;5.49;5.49;5.49;0.00;nan;03/07/2017;11/08/2017;30;6.81;6.88;66.67;33.33;20;10;1.61;0.76;8;0;10;5;1;4;0.00;0.00;0.00;0.00;0.00
10,MRFG3;10;14.57;11.37;3.21;0.85;-0.73;-15.30;0.27;4.50;8.39;13.86;0.00;14.57;1.62;0.00;1.62;0;9;9;20;9;100.00;100.00;100.00;100.00;100.00;7.58;16.10;1.62;1.63;1.17;1.03;1.03;0.46;5.49;5.03;2.67;03/07/2017;11/08/2017;30;6.81;6.88;66.67;33.33;20;10;1.61;0.76;8;0;10;5;1;4;0.00;0.00;0.01;0.00;0.00
0,data;openPrice;maxPrice;minPrice;avgPrice;closePrice;bestPrice;bestBidPrice;numTrader;amountTrader;volumeFinanc;classe
0,20170703;6.81;6.96;6.72;6.83;6.8;6.8;6.81;3497;1383800;945777400;1
1,20170704;6.8;6.94;6.8;6.87;6.87;6.87;6.89;1585;947300;651343200;0
2,20170705;6.94;6.97;6.85;6.91;6.88;6.87;6.88;2696;656700;453833500;0
3,20170706;6.83;6.87;6.75;6.79;6.8;6.8;6.81;2616;1177800;800652100;0
4,20170707;6.85;6.9;6.75;6.8;6.8;6.77;6.8;4718;2476500;1684525000;0
5,20170710;6.8;6.82;6.78;6.8;6.8;6.8;6.81;3993;2546700;1731806400;0
6,20170711;6.8;6.83;6.73;6.78;6.78;6.77;6.78;3141;1609700;1091626700;0
7,20170712;6.81;6.85;6.73;6.8;6.8;6.79;6.8;6522;2075200;1412442400;1
8,20170713;6.8;6.94;6.78;6.87;6.87;6.87;6.9;2436;923100;635025700;0
9,20170714;6.89;6.92;6.72;6.78;6.75;6.75;6.76;3050;1015900;688953300;0
10,20170717;6.75;6.77;6.65;6.69;6.7;6.69;6.7;2425;1588700;1063898800;0
11,20170718;6.73;6.82;6.65;6.74;6.7;6.7;6.74;2920;1222100;824633800;0
12,20170719;6.69;6.69;6.5;6.58;6.64;6.63;6.64;4719;1591500;1048079200;0
13,20170720;6.6;6.67;6.52;6.59;6.6;6.59;6.6;4018;1611600;1062193400;0
14,20170721;6.55;6.59;6.45;6.49;6.46;6.46;6.47;3282;1155400;750112400;1
15,20170724;6.46;6.62;6.45;6.53;6.55;6.55;6.56;1735;929600;607590000;0
16,20170725;6.62;6.63;6.41;6.46;6.48;6.42;6.48;2983;1087700;703421600;0
17,20170726;6.46;6.51;6.25;6.36;6.44;6.44;6.45;4728;2457500;1563845200;0
18,20170727;6.48;6.48;6.33;6.39;6.43;6.4;6.43;5005;1650700;1056224700;1
19,20170728;6.4;6.54;6.34;6.43;6.45;6.45;6.47;2891;1130900;727178900;0
20,20170731;6.49;6.5;6.41;6.44;6.42;6.42;6.43;2405;784000;504885500;1
21,20170801;6.42;6.48;6.39;6.45;6.47;6.42;6.47;3523;784500;506138200;1
22,20170802;6.46;6.56;6.38;6.47;6.49;6.49;6.51;4578;1461900;946607200;1
23,20170803;6.51;6.55;6.44;6.5;6.55;6.48;6.55;4083;902100;587029400;0
24,20170804;6.55;6.56;6.45;6.5;6.55;6.5;6.55;2018;699000;454781900;1
25,20170807;6.56;6.92;6.53;6.78;6.92;6.88;6.92;7929;2602100;1766016400;0
26,20170808;6.88;6.95;6.71;6.86;6.86;6.86;6.92;3915;1247200;855955600;0
27,20170809;6.85;6.91;6.79;6.85;6.83;6.83;6.88;3143;752000;515173300;0
28,20170810;6.84;6.9;6.61;6.7;6.66;6.66;6.68;2984;722700;484578500;1
29,20170811;6.68;6.88;6.6;6.77;6.88;6.8;6.88;4133;1108800;750921500;1
0,classificador;data;sinalcompra;acertou;openprice;closeprice;vlrcompra;vlrvenda;lucrobrutoR;impostorendaR;custotransacaoR;lucroliquidoR;lucrobrutoP;lucroliquidoP;custotransacaoP;custotransacaoAcumuladoP;lucrobrutoAcumuladoP;lucroliquidoAcumuladoP;evolucaoCapitalR;impostoRendaAcumuladoR
1,7;20170801;1;S;6.46;6.49;6460.00;6490.00;30.00;4.47;12.11;17.89;0.46;0.36;0.10;0.10;0.46;0.36;17.89;4.47
2,7;20170802;1;S;6.51;6.55;6510.00;6550.00;40.00;6.47;14.13;25.87;0.61;0.48;0.14;0.24;1.08;0.84;43.76;10.94
3,7;20170804;1;S;6.56;6.92;6560.00;6920.00;360.00;70.44;78.24;281.76;5.49;4.28;1.21;1.44;6.57;5.12;325.52;81.38
0,Serie; media; desvioPadrao; desvioAbsoluto; mediana; quantil; minimo; maximo; amplitude; variancia
1,PrecoAbertura;6.68;0.17;0.15;6.71;6.71;6.40;6.94;0.54;0.03
2,PrecoFechamento;6.67;0.17;0.15;6.70;6.70;6.42;6.92;0.50;0.03
3,PrecoMaximo;6.75;0.17;0.16;6.82;6.82;6.48;6.97;0.49;0.03
4,PrecoMinimo;6.58;0.17;0.15;6.61;6.61;6.25;6.85;0.60;0.03
5,PrecoMedio;6.66;0.18;0.16;6.72;6.72;6.36;6.91;0.55;0.03
6,PrecoMelhorCompra;6.69;0.17;0.15;6.72;6.72;6.43;6.92;0.49;0.03
7,PrecoMelhor;6.66;0.17;0.15;6.70;6.70;6.40;6.88;0.48;0.03
