0,ativo;classificador;RetornoBruto;RetornoLiquido;CustoOperacional;BuyAndHoldP;comprarSempreP;IndInversoP;IndAleatorioP;indAlvo05P;indAlvo1P;indAlvo2P;perdaP;ganhoP;retornoMedioP;perdaMediaP;ganhoMedioP ;qtdePerda;qtdeGanho ;qtdeTotal ;qtdeClasse0 ;qtdeClasse1 ;precisao;acuracia;f1score;recall;specificity;sharpe;sortino;media;desvioPadrao;desvioAbsoluto;mediana;quantil;minimo;maximo;amplitude;variancia; DataInicial; DataFinal; QtdeDias; PrecoInicial; PrecoFinal; Classe0; Classe1; QtdeClasse0;QtdeClasse1;volatilidade;volatilidadeDowsid;qtdeD3_caiu;qtdeD3_estavel;qtdeD3_subiu;qtdeRompimento;qtdeCorrecao;qtdeContraTendencia;ShapiroWilk;KolmogorovSmirnov;Tstudent;Anova;kruskalWallis
1,USIM5;1;10.07;7.85;2.22;22.00;12.98;2.91;10.71;1.09;4.98;5.91;-5.55;15.62;0.67;-0.79;1.95;7;8;15;14;15;53.33;41.38;48.48;44.44;36.36;5.47;13.55;0.67;1.99;1.44;0.17;0.17;-1.60;5.36;6.96;3.98;03/07/2017;11/08/2017;30;4.64;5.87;40.00;60.00;12;18;1.40;0.57;13;1;19;5;2;4;0.03;0.34;0.70;0.60;0.70
2,USIM5;2;11.09;8.65;2.44;22.00;12.98;1.88;6.29;0.70;4.79;7.93;-4.34;15.44;0.85;-0.87;1.93;5;8;13;16;13;61.54;48.28;51.61;44.44;54.55;6.20;15.36;0.85;2.05;1.45;0.59;0.59;-1.38;5.36;6.74;4.20;03/07/2017;11/08/2017;30;4.64;5.87;40.00;60.00;12;18;1.40;0.57;13;1;19;5;2;4;0.04;0.25;0.51;0.49;0.38
3,USIM5;3;3.56;2.78;0.78;22.00;12.98;9.41;12.13;-1.41;1.59;1.50;-4.95;8.52;0.36;-0.99;1.70;5;5;10;19;10;50.00;37.93;35.71;27.78;54.55;0.83;2.05;0.36;1.84;1.38;-0.02;-0.02;-1.60;4.50;6.10;3.37;03/07/2017;11/08/2017;30;4.64;5.87;40.00;60.00;12;18;1.40;0.57;13;1;19;5;2;4;0.18;0.54;0.89;0.76;0.80
4,USIM5;4;12.26;9.56;2.70;22.00;12.98;0.72;8.09;2.19;5.99;10.69;-3.55;15.81;0.94;-0.71;1.98;5;8;13;16;13;61.54;48.28;51.61;44.44;54.55;7.03;17.42;0.94;2.00;1.39;0.73;0.73;-1.38;5.36;6.74;3.99;03/07/2017;11/08/2017;30;4.64;5.87;40.00;60.00;12;18;1.40;0.57;13;1;19;5;2;4;0.04;0.14;0.42;0.41;0.35
5,USIM5;5;0.75;0.59;0.17;22.00;12.98;12.23;10.60;-3.73;0.66;-0.32;-10.87;11.62;0.04;-1.09;1.29;10;9;19;10;19;47.37;34.48;48.65;50.00;9.09;-1.18;-2.93;0.04;1.60;1.19;-0.20;-0.20;-2.93;4.50;7.43;2.57;03/07/2017;11/08/2017;30;4.64;5.87;40.00;60.00;12;18;1.40;0.57;13;1;19;5;2;4;0.29;0.73;0.41;0.54;0.73
6,USIM5;6;0.24;0.19;0.05;22.00;12.98;12.74;2.02;-4.51;-2.12;-0.83;-9.10;9.34;0.02;-1.14;1.56;8;6;14;15;14;42.86;31.03;37.50;33.33;27.27;-1.55;-3.83;0.02;1.80;1.32;-0.21;-0.21;-2.93;4.50;7.43;3.24;03/07/2017;11/08/2017;30;4.64;5.87;40.00;60.00;12;18;1.40;0.57;13;1;19;5;2;4;0.44;0.56;0.45;0.61;0.79
7,USIM5;7;6.94;5.41;1.53;22.00;12.98;6.04;9.86;0.76;7.26;9.11;-6.68;13.62;0.41;-1.11;1.24;6;11;17;12;17;64.71;55.17;62.86;61.11;45.45;3.23;8.01;0.41;1.59;1.11;0.41;0.41;-2.93;4.50;7.43;2.52;03/07/2017;11/08/2017;30;4.64;5.87;40.00;60.00;12;18;1.40;0.57;13;1;19;5;2;4;0.27;0.19;0.94;0.84;0.14
8,USIM5;8;14.15;11.03;3.11;22.00;12.98;-1.17;5.79;3.63;10.44;11.81;-6.46;20.61;0.74;-0.92;1.72;7;12;19;10;19;63.16;55.17;64.86;66.67;36.36;8.38;20.76;0.74;1.92;1.36;0.41;0.41;-2.93;5.36;8.29;3.70;03/07/2017;11/08/2017;30;4.64;5.87;40.00;60.00;12;18;1.40;0.57;13;1;19;5;2;4;0.19;0.12;0.58;0.48;0.05
9,USIM5;9;5.00;3.90;1.10;22.00;12.98;7.97;4.70;-0.31;2.19;3.93;-3.35;8.36;0.63;-0.84;2.09;4;4;8;21;8;50.00;37.93;30.77;22.22;63.64;1.85;4.59;0.63;1.93;1.46;0.40;0.40;-1.38;4.50;5.88;3.71;03/07/2017;11/08/2017;30;4.64;5.87;40.00;60.00;12;18;1.40;0.57;13;1;19;5;2;4;0.27;0.24;0.80;0.96;0.96
