PETR4;VALE3;BBDC4;BBAS3;PETR3;ITSA4;GGBR4;USIM5;LREN3;RENT3;CMIG4;GOAU4;CCRO3;LAME4;CSNA3;JBSS3;BRKM5;EMBR3;ELET3;BRAP4;BBDC3;GOLL4;NATU3;CSAN3;BVMF3;ELET6;SBSP3;MRVE3;ENBR3;CYRE3;PSSA3;BRSR6;CESP6;MRFG3;CPLE6
7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
5.49;2.46;0.4;9.21;-1.04;-1.73;-1.88;6.94;5.09;10.03;-1.46;-0.66;-3.69;0.01;19.97;14.77;7.6;3.1;-15.18;1.17;6.34;6.32;0.92;5.12;3.18;8.62;3.58;-0.78;-1.78;9.85;4.9;8.06;9.2;6.57;4.75
4.28;1.92;0.31;7.18;-0.81;-1.35;-1.47;5.41;3.97;7.83;-1.14;-0.52;-2.88;0.01;15.58;11.52;5.93;2.41;-11.84;0.91;4.94;4.93;0.71;3.99;2.48;6.72;2.79;-0.61;-1.39;7.68;3.82;6.29;7.17;5.12;3.7
1.21;0.54;0.09;2.03;-0.23;-0.38;-0.41;1.53;1.12;2.21;-0.32;-0.15;-0.81;0.0;4.39;3.25;1.67;0.68;-3.34;0.26;1.39;1.39;0.2;1.13;0.7;1.9;0.79;-0.17;-0.39;2.17;1.08;1.77;2.02;1.44;1.04
4.53;4.37;10.48;12.13;1.63;6.7;7.98;22.0;8.75;12.11;0.31;6.44;-2.17;10.46;13.3;23.12;8.57;7.95;8.46;12.13;10.32;22.95;-1.45;3.38;5.67;5.92;3.64;3.01;-0.06;10.45;5.02;14.4;3.7;0.85;4.98
-2.46;-4.4;9.3;8.24;-4.56;3.51;3.86;12.98;7.48;5.56;-7.6;-1.41;-7.86;3.91;5.24;1.33;4.28;5.81;-17.65;5.34;8.49;14.03;-11.94;-0.97;4.77;-15.76;1.25;-0.44;-4.92;5.19;7.0;11.93;-2.04;-0.73;-2.11
-7.95;-6.86;8.9;-0.97;-3.52;5.24;5.74;6.04;2.39;-4.47;-6.14;-0.75;-4.18;3.89;-14.73;-13.44;-3.32;2.71;-2.47;4.17;2.15;7.71;-12.85;-6.08;1.59;-24.37;-2.33;0.34;-3.14;-4.65;2.1;3.87;-11.24;-7.3;-6.85
7.15;-4.65;4.02;8.11;-5.3;2.29;-2.74;9.86;8.29;4.24;-8.85;1.27;-6.74;0.09;-7.67;-9.06;3.99;1.48;-9.65;-6.4;7.85;1.59;-4.93;-0.78;1.77;-6.21;-1.13;-6.32;-5.34;8.78;1.74;3.09;-5.73;-7.33;1.99
1.5;0.14;-0.29;0.13;-1.12;-1.31;-3.88;0.76;0.59;1.76;-0.92;-1.65;1.17;-3.49;4.45;3.45;-0.75;5.63;0.69;-1.34;4.12;2.0;0.5;2.11;2.97;-1.55;-4.96;-1.73;-3.38;0.77;0.72;0.07;2.73;1.5;1.04
3.0;-2.1;0.41;4.37;-3.49;-2.49;-4.84;7.26;4.1;6.11;3.08;-8.61;-2.79;-0.99;6.68;7.95;2.61;1.74;-12.0;-1.52;4.09;4.0;1.0;1.9;3.34;0.45;-0.92;-1.53;-0.67;3.87;10.3;2.08;5.68;2.61;3.04
5.61;-1.23;1.15;5.67;-1.63;-1.49;-3.02;9.11;4.69;8.53;-1.71;-6.64;-2.82;2.05;10.14;9.14;5.26;3.07;-15.18;-1.69;7.66;3.71;2.0;4.61;3.47;3.53;4.01;0.47;-1.31;5.49;15.06;6.91;6.27;3.08;3.08
0.0;-10.29;-4.86;-5.28;-6.49;-3.49;-12.86;-6.68;-8.75;-6.94;-10.86;-18.35;-9.11;-5.99;-6.54;-5.69;-7.39;-4.36;-15.68;-11.93;-6.55;-0.51;0.0;-4.82;-2.21;-3.55;-13.54;-3.53;-8.28;-4.48;-14.28;-7.0;-3.14;0.0;-2.92
5.49;12.75;5.25;14.49;5.45;1.76;10.98;13.62;13.84;16.98;9.4;17.69;5.43;6.0;26.51;20.46;14.99;7.45;0.5;13.1;12.89;6.83;0.92;9.94;5.38;12.17;17.12;2.75;6.5;14.33;19.18;15.06;12.33;6.57;7.66
1.83;0.16;0.03;0.58;-0.15;-0.29;-0.12;0.41;0.25;0.44;-0.11;-0.03;-0.2;0.0;1.54;1.48;0.51;0.26;-1.9;0.07;0.37;1.26;0.92;0.39;0.23;1.23;0.17;-0.16;-0.12;0.82;0.18;0.54;0.71;2.19;0.79
0.0;-1.29;-0.81;-0.88;-1.62;-0.7;-1.43;-1.11;-1.09;-0.99;-1.55;-1.53;-0.91;-1.0;-2.18;-1.9;-1.48;-1.09;-2.24;-1.7;-1.09;-0.26;0.0;-0.8;-0.44;-1.18;-1.69;-1.18;-1.03;-1.49;-1.59;-1.0;-0.63;0.0;-0.97
1.83;1.82;0.75;1.45;1.82;1.76;1.57;1.24;1.15;1.06;1.57;2.53;0.68;1.2;2.65;2.92;1.5;0.93;0.5;1.46;1.17;2.28;0.92;1.42;0.6;3.04;1.32;1.38;0.93;1.59;1.07;1.88;1.54;2.19;2.55
0;8;6;6;4;5;9;6;8;7;7;12;10;6;3;3;5;4;7;7;6;2;0;6;5;3;8;3;8;3;9;7;5;0;3
3;7;7;10;3;1;7;11;12;16;6;7;8;5;10;7;10;8;1;9;11;3;1;7;9;4;13;2;7;9;18;8;8;3;3
3;15;13;16;7;6;16;17;20;23;13;19;18;11;13;10;15;12;8;16;17;5;1;13;14;7;21;5;15;12;27;15;13;3;6
26;14;16;13;22;23;13;12;9;6;16;10;11;18;16;19;14;17;21;13;12;24;28;16;15;22;8;24;14;17;2;14;16;26;23
3;15;13;16;7;6;16;17;20;23;13;19;18;11;13;10;15;12;8;16;17;5;1;13;14;7;21;5;15;12;27;15;13;3;6
100.0;46.67;53.85;62.5;42.86;16.67;43.75;64.71;60.0;69.57;46.15;36.84;44.44;45.45;76.92;70.0;66.67;66.67;12.5;56.25;64.71;60.0;100.0;53.85;64.29;57.14;61.9;40.0;46.67;75.0;66.67;53.33;61.54;100.0;50.0
65.52;55.17;41.38;55.17;51.72;44.83;48.28;55.17;51.72;68.97;58.62;37.93;51.72;48.28;72.41;72.41;62.07;62.07;37.93;55.17;51.72;58.62;62.07;55.17;51.72;65.52;58.62;62.07;51.72;68.97;62.07;48.28;65.52;79.31;58.62
37.5;51.85;45.16;60.61;30.0;11.11;48.28;62.86;63.16;78.05;50.0;43.75;53.33;40.0;71.43;63.64;64.52;59.26;10.0;58.06;61.11;33.33;15.38;51.85;56.25;44.44;68.42;26.67;50.0;66.67;76.6;51.61;61.54;50.0;33.33
23.08;58.33;38.89;58.82;23.08;8.33;53.85;61.11;66.67;88.89;54.55;53.85;66.67;35.71;66.67;58.33;62.5;53.33;8.33;60.0;57.89;23.08;8.33;50.0;50.0;36.36;76.47;20.0;53.85;60.0;90.0;50.0;61.54;33.33;25.0
100.0;52.94;45.45;50.0;75.0;70.59;43.75;45.45;27.27;36.36;61.11;25.0;41.18;60.0;78.57;82.35;61.54;71.43;58.82;50.0;40.0;87.5;100.0;60.0;54.55;83.33;33.33;84.21;50.0;78.57;0.0;46.15;68.75;100.0;82.35
0.94;0.01;-0.45;1.03;-1.17;-3.4;-1.41;3.23;0.4;0.67;-1.61;-1.65;-2.06;-0.67;5.21;3.62;0.49;0.2;-3.48;-0.19;0.69;0.92;-0.21;0.34;0.25;0.87;0.14;-1.01;-1.66;2.08;0.34;1.49;1.97;2.59;0.34
1.63;0.01;-0.97;2.15;-1.84;-7.33;-2.3;8.01;0.68;1.34;-2.42;-2.83;-3.01;-1.43;10.24;8.06;0.96;0.38;-4.92;-0.33;1.24;2.24;-0.3;0.63;0.45;1.33;0.21;-1.92;-2.48;4.04;0.55;3.06;3.73;5.5;0.62
1.83;0.16;0.03;0.58;-0.15;-0.29;-0.12;0.41;0.25;0.44;-0.11;-0.03;-0.21;0.0;1.54;1.48;0.51;0.26;-1.9;0.07;0.37;1.26;0.92;0.39;0.23;1.23;0.17;-0.16;-0.12;0.82;0.18;0.54;0.71;2.19;0.79
0.47;2.06;0.92;1.64;2.0;1.13;1.98;1.59;1.42;1.46;1.92;2.35;1.05;1.28;2.82;3.12;1.88;1.22;1.71;2.02;1.38;1.89;;1.35;0.69;2.45;1.69;1.58;1.29;1.92;1.54;1.74;1.53;2.86;2.16
0.36;1.55;0.78;1.19;1.69;0.77;1.48;1.11;1.11;1.05;1.57;1.89;0.82;1.09;2.15;2.36;1.37;0.95;1.36;1.56;1.06;1.63;0.0;1.11;0.53;2.11;1.42;1.22;1.0;1.39;1.2;1.43;1.18;2.2;1.76
1.61;-0.37;0.1;0.42;-0.3;-0.39;-0.41;0.41;0.22;0.21;0.0;-0.39;-0.06;-0.25;1.43;1.08;0.62;0.23;-1.5;0.35;0.47;0.22;0.92;0.59;0.17;1.08;0.82;-0.3;0.0;0.57;0.42;0.65;0.32;0.61;0.77
1.61;-0.37;0.1;0.42;-0.3;-0.39;-0.41;0.41;0.22;0.21;0.0;-0.39;-0.06;-0.25;1.43;1.08;0.62;0.23;-1.5;0.35;0.47;0.22;0.92;0.59;0.17;1.08;0.82;-0.3;0.0;0.57;0.42;0.65;0.32;0.61;0.77
1.5;-4.01;-1.28;-1.65;-2.58;-1.43;-5.21;-2.93;-3.25;-2.09;-3.26;-4.74;-2.6;-2.24;-2.77;-2.86;-2.56;-1.72;-4.77;-3.61;-2.41;-0.51;0.92;-1.6;-0.71;-1.36;-3.43;-2.25;-2.95;-2.33;-3.59;-1.98;-1.46;0.46;-1.96
2.37;3.55;1.25;4.2;2.59;1.76;2.42;4.5;2.3;4.08;2.64;4.26;1.22;1.4;6.63;7.01;4.4;2.21;0.5;3.95;3.39;3.5;0.92;2.73;1.7;4.18;2.7;1.67;1.83;4.05;2.98;3.5;3.74;5.49;4.0
0.87;7.56;2.53;5.85;5.17;3.19;7.63;7.43;5.55;6.17;5.9;9.0;3.82;3.64;9.4;9.87;6.96;3.93;5.27;7.56;5.8;4.01;0.0;4.33;2.41;5.54;6.13;3.92;4.78;6.38;6.57;5.48;5.2;5.03;5.96
0.22;4.23;0.84;2.69;3.99;1.28;3.93;2.52;2.03;2.13;3.7;5.53;1.1;1.64;7.96;9.74;3.52;1.48;2.93;4.08;1.92;3.56;;1.82;0.47;6.02;2.84;2.49;1.65;3.69;2.36;3.01;2.34;8.19;4.68
03/07/2017;03/07/2017;03/07/2017;03/07/2017;03/07/2017;03/07/2017;03/07/2017;03/07/2017;03/07/2017;03/07/2017;03/07/2017;03/07/2017;03/07/2017;03/07/2017;03/07/2017;03/07/2017;03/07/2017;03/07/2017;03/07/2017;03/07/2017;03/07/2017;03/07/2017;03/07/2017;03/07/2017;03/07/2017;03/07/2017;03/07/2017;03/07/2017;03/07/2017;03/07/2017;03/07/2017;03/07/2017;03/07/2017;03/07/2017;03/07/2017
11/08/2017;11/08/2017;11/08/2017;11/08/2017;11/08/2017;11/08/2017;11/08/2017;11/08/2017;11/08/2017;11/08/2017;11/08/2017;11/08/2017;11/08/2017;11/08/2017;11/08/2017;11/08/2017;11/08/2017;11/08/2017;11/08/2017;11/08/2017;11/08/2017;11/08/2017;11/08/2017;11/08/2017;11/08/2017;11/08/2017;11/08/2017;11/08/2017;11/08/2017;11/08/2017;11/08/2017;11/08/2017;11/08/2017;11/08/2017;11/08/2017
30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30
12.28;29.26;28.12;26.96;13.25;9.04;10.3;4.64;27.5;45.38;8.1;5.03;16.84;14.05;7.3;6.57;34.2;15.13;12.46;20.67;27.5;7.56;25.8;34.59;19.75;16.54;31.66;13.51;14.16;10.96;30.25;13.2;15.46;6.81;25.0
12.95;30.8;31.67;30.9;13.51;9.77;11.29;5.87;30.4;52.0;8.13;5.42;16.4;15.82;8.47;8.4;37.73;16.58;13.73;23.69;30.92;9.65;25.35;36.0;21.1;17.72;33.05;14.0;14.15;12.34;32.08;15.49;16.15;6.88;26.5
53.33;56.67;36.67;40.0;53.33;56.67;56.67;40.0;36.67;36.67;60.0;53.33;56.67;50.0;50.0;60.0;43.33;46.67;60.0;46.67;33.33;53.33;56.67;50.0;36.67;63.33;40.0;66.67;53.33;46.67;30.0;43.33;56.67;66.67;56.67
46.67;43.33;63.33;60.0;46.67;43.33;43.33;60.0;63.33;63.33;40.0;46.67;43.33;50.0;50.0;40.0;56.67;53.33;40.0;53.33;66.67;46.67;43.33;50.0;63.33;36.67;60.0;33.33;46.67;53.33;70.0;56.67;43.33;33.33;43.33
16;17;11;12;16;17;17;12;11;11;18;16;17;15;15;18;13;14;18;14;10;16;17;15;11;19;12;20;16;14;9;13;17;20;17
14;13;19;18;14;13;13;18;19;19;12;14;13;15;15;12;17;16;12;16;20;14;13;15;19;11;18;10;14;16;21;17;13;10;13
3.28;8.71;4.41;6.61;2.93;1.22;3.04;1.4;6.79;11.39;2.4;1.86;2.96;3.55;3.37;3.42;10.65;3.4;5.06;6.41;5.72;4.23;7.19;7.89;3.1;7.18;8.7;3.15;2.52;3.58;7.27;3.79;3.45;1.61;6.85
1.89;5.48;2.06;3.17;1.87;0.56;1.87;0.57;3.93;5.69;1.6;1.08;2.02;1.67;1.72;1.53;5.39;1.83;3.57;3.78;3.17;1.75;4.99;4.3;1.69;4.66;5.57;1.66;1.69;1.84;4.49;1.85;1.82;0.76;3.78
17;17;18;17;10;16;18;13;20;16;8;12;2;17;19;22;11;19;11;15;14;22;7;20;15;14;10;13;11;14;18;18;16;8;10
0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;14;20;16;9;12;12;19;18;10;13;9;12;12;14;10;18;14;7;16;21;12;8;12;15;6;16;10;16;15;16;15;7;10;9
