Dates;OpenPrice;HighPrice;LowPrice;ClosePrice;TradedValue
20080801;5426.13;5426.12;5344.03;5374.81;14322377.08
20080804;5343.77;5400.62;5303.25;5311.07;12230605.78
20080805;5284.82;5421.12;5266.47;5421.11;19246100.65
20080806;5412.51;5454.23;5400.64;5444.85;19456604.60
20080807;5431.16;5473.41;5396.38;5420.57;16593147.35
20080808;5352.84;5383.71;5301.14;5371.08;15243765.79
20080811;5349.83;5407.80;5340.83;5407.80;12315137.00
20080812;5369.34;5389.74;5320.84;5355.78;15171719.99
20080813;5276.81;5276.82;5184.29;5194.55;15615429.71
20080814;5186.22;5264.25;5178.95;5227.59;13049222.12
20080815;5211.36;5247.92;5155.55;5182.09;11245295.56
20080818;5197.95;5232.47;5169.47;5188.48;8358347.32
20080819;5184.32;5184.32;5057.23;5059.59;11939701.86
20080820;5037.90;5089.60;5037.91;5080.56;11299148.47
20080821;5124.03;5153.66;5070.42;5126.09;11289614.29
20080822;5070.57;5197.41;5070.35;5197.41;10627638.16
20080825;5070.57;5197.41;5070.35;5197.41;10627638.16
20080826;5148.91;5148.90;5027.87;5117.54;10760384.01
20080827;5100.27;5155.32;5063.31;5146.17;9476080.76
20080828;5136.90;5232.78;5111.45;5205.25;11300659.10
20080829;5176.76;5224.36;5167.78;5213.26;11763221.16
20080901;5165.93;5165.94;5109.37;5141.50;6883437.35
20080902;5091.82;5137.30;5067.98;5115.71;14637350.02
20080903;5090.76;5090.76;4980.68;4986.02;13388423.76
20080904;4981.81;5014.33;4860.89;4860.89;15211491.95
20080905;4837.32;4837.32;4722.25;4730.74;16620292.72
20080908;4703.13;4881.13;4703.12;4881.14;7546109.17
20080909;4919.81;4981.60;4864.14;4887.08;21402345.85
20080910;4863.31;4863.32;4783.09;4813.74;16888832.60
20080911;4789.66;4798.24;4694.86;4745.46;14538750.00
20080912;4851.44;4934.81;4851.43;4934.81;13778933.00
20080915;4932.05;4932.05;4677.19;4746.98;19862657.59
20080916;4740.35;4740.36;4523.65;4578.35;27393622.26
