Dates;OpenPrice;HighPrice;LowPrice;ClosePrice;TradedValue
20080801;6762.14;6814.79;6687.55;6714.41;7250204
20080804;6710.93;6750.36;6649.29;6670.08;5717365
20080805;6653.04;6791.45;6623.57;6784.37;9808471
20080806;6826.14;6872.55;6782.75;6863.77;9267705
20080807;6795.18;6917.06;6791.61;6830.12;9007935
20080808;6667.96;6764.85;6643.50;6757.99;7833434
20080811;6723.45;6780.50;6702.25;6780.50;5665862
20080812;6731.87;6777.86;6691.27;6727.56;7340795
20080813;6702.03;6713.55;6560.81;6568.79;7719352
20080814;6571.76;6612.91;6488.87;6544.27;6193935
20080815;6526.02;6599.47;6490.13;6537.47;5162670
20080818;6536.31;6632.78;6490.87;6555.37;4486284
20080819;6508.93;6508.93;6400.95;6405.16;6164107
20080820;6398.30;6430.55;6356.69;6413.46;5510129
20080821;6446.84;6455.37;6385.72;6400.09;5646553
20080822;6401.40;6523.02;6376.92;6516.63;5114586
20080825;6477.99;6491.68;6430.09;6437.54;2934001
20080826;6336.56;6414.38;6286.26;6392.06;4561734
20080827;6416.85;6445.00;6326.77;6419.68;5073156
20080828;6425.40;6586.99;6380.96;6560.17;7101913
20080829;6550.41;6601.14;6524.37;6562.97;6563098
20080901;6502.04;6554.48;6474.45;6526.18;4130089
20080902;6487.25;6622.68;6456.40;6594.36;8453612
20080903;6518.94;6532.93;6439.44;6439.44;6397982
20080904;6385.37;6403.80;6180.74;6183.57;8028876
20080905;6091.16;6115.13;5962.98;5984.44;8676702
20080908;6151.74;6227.02;6058.50;6130.07;9589870
20080909;6154.43;6227.91;6069.36;6095.25;8408947
20080910;6041.28;6066.78;5959.74;6022.40;8547977
20080911;5961.30;5977.56;5846.61;5924.90;7400824
20080912;6123.15;6148.14;6039.87;6147.61;6697449
20080915;5942.44;6011.03;5787.67;5920.35;12552735
20080916;5800.17;5884.91;5699.63;5784.49;12784480
20080917;5893.97;5895.09;5655.05;5668.16;11545790
20080918;5746.84;5886.14;5667.97;5712.78;12613451
20080919;6088.67;6230.41;5892.30;6230.41;22972153
20080922;6381.55;6419.12;6222.92;6222.92;9264445
20080923;6159.84;6171.99;6038.43;6075.60;8188950
20080924;6097.88;6110.34;6005.08;6030.27;6616325
20080925;5994.63;6168.33;5992.59;6161.00;7593711
20080926;6083.68;6137.15;5998.73;6081.45;6446767
20080929;5990.36;5990.36;5691.83;5691.83;8718609
20080930;5416.45;5687.35;5407.86;5671.55;10606086
20081001;5717.45;5717.45;5615.08;5693.79;6869925
20081002;5619.08;5686.82;5480.07;5480.82;8034601
20081003;5488.86;5673.11;5429.35;5631.84;8759152
20081006;5259.69;5292.64;4978.91;5022.68;10917627
20081007;5217.98;5257.84;5029.20;5087.76;9853249
20081008;4865.53;5136.41;4682.11;4777.80;13605144
20081009;4862.50;4923.30;4619.82;4692.06;9934816
20081010;4260.30;4415.26;4102.71;4275.87;15255715
20081013;4564.39;4769.64;4444.03;4769.64;10915969
20081014;5024.28;5142.17;4854.28;4953.29;11814829
20081015;4894.17;4894.17;4529.18;4575.60;9173957
20081016;4307.74;4494.21;4174.67;4261.90;11015799
20081017;4504.26;4504.84;4275.63;4478.08;10208601
20081020;4541.42;4587.55;4464.61;4587.55;7381052
20081021;4633.92;4645.35;4502.44;4553.47;6518438
20081022;4352.10;4401.40;4238.41;4246.74;6578664
20081023;4243.86;4285.47;4078.41;4243.54;7088506
20081024;3997.13;4050.05;3752.68;4050.05;8789869
20081027;3815.46;3932.20;3741.33;3855.66;6305161
20081028;3940.21;3960.93;3736.51;3884.62;7894806
20081029;4252.66;4388.63;4216.43;4388.63;9704010
20081030;4509.64;4509.64;4301.04;4404.27;7791489
20081031;4312.24;4437.30;4223.87;4437.30;6849688
20081103;4433.39;4463.23;4377.04;4463.23;4495724
20081104;4602.96;4792.51;4569.19;4792.51;6920516
20081105;4768.57;4778.34;4640.45;4703.90;6211229
20081106;4465.28;4555.20;4303.84;4316.03;6608826
20081107;4330.30;4479.01;4276.49;4426.94;5294270
20081110;4542.62;4611.08;4454.63;4475.09;4420143
20081111;4336.40;4344.54;4179.03;4189.20;4486895
20081112;4278.28;4281.71;4027.84;4060.56;5181389
20081113;3979.70;4101.66;3964.28;4071.13;4693974
20081114;4289.76;4300.03;4160.84;4188.72;5144796
20081117;4178.01;4211.16;4029.42;4048.81;4549063
20081118;4048.28;4090.85;3933.43;4077.73;4912317
20081119;4048.33;4048.33;3884.19;3887.65;5039701
20081120;3770.58;3817.35;3656.46;3745.79;6307581
20081121;3768.51;3813.55;3559.48;3613.10;6081798
20081124;3813.93;4087.90;3777.81;4087.90;6594761
20081125;4059.60;4252.21;4031.01;4167.61;6863957
20081126;4100.61;4138.55;3986.44;4082.77;4504681
20081127;4156.90;4197.34;4133.49;4191.70;3432273
20081128;4115.63;4145.23;4036.76;4145.23;4292956
20081201;4117.43;4131.01;3878.39;3889.04;4163735
20081202;3853.36;4019.27;3830.41;4009.86;4436326
20081203;3986.21;4031.90;3870.46;4010.56;4055585
20081204;4042.47;4166.22;3976.93;4043.44;4826248
20081205;3945.83;3958.09;3740.88;3780.43;5008952
20081208;4121.17;4202.25;4074.06;4194.77;5848319
20081209;4165.82;4336.67;4149.43;4278.24;6087479
20081210;4306.72;4334.35;4243.62;4320.06;4243773
20081211;4428.43;4473.56;4367.07;4424.59;3846777
20081212;4233.60;4327.27;4156.97;4288.87;4920235
20081215;4450.44;4465.28;4332.16;4351.29;3745617
20081216;4397.91;4487.94;4384.48;4487.94;4175756
20081217;4711.38;4744.69;4576.29;4654.10;6142370
20081218;4638.14;4656.92;4566.79;4619.98;5594476
20081219;4426.65;4508.20;4366.53;4476.26;7305671
20081222;4463.11;4473.83;4393.00;4393.00;3961723
20081223;4402.91;4450.40;4366.63;4366.63;3025625
20081224;4345.78;4400.56;4322.97;4353.03;926138
20081225;4345.78;4400.56;4322.97;4353.03;926138
20081226;4345.78;4400.56;4322.97;4353.03;926138
20081229;4448.30;4490.83;4399.88;4436.23;1929637
20081230;4460.63;4540.66;4447.36;4540.66;2165020
20081231;4523.98;4554.96;4490.03;4490.03;1121767
20090101;4523.98;4554.96;4490.03;4490.03;1121767
20090102;4500.75;4652.05;4471.31;4652.05;2503798
20090105;4591.78;4593.91;4512.80;4562.77;3793804
20090106;4552.24;4624.13;4507.04;4583.88;4320847
20090107;4617.73;4650.99;4532.47;4572.77;4613043
20090108;4533.50;4585.07;4480.28;4555.00;3624887
20090109;4497.74;4538.78;4407.71;4446.08;3583308
20090112;4409.30;4433.28;4340.75;4353.70;3065974
20090113;4267.22;4270.21;4164.29;4221.85;4285716
20090114;4237.27;4240.55;3975.39;4020.09;5203780
20090115;3992.68;4011.75;3869.40;3912.92;4839534
20090116;4049.17;4113.55;3983.37;3992.97;5228919
20090119;4034.80;4052.50;3876.71;3929.35;3514440
20090120;3861.15;3921.61;3767.65;3784.14;4249746
20090121;3712.53;3793.04;3656.92;3738.89;5966277
20090122;3844.87;3866.19;3715.28;3721.61;4419651
20090123;3706.76;3727.93;3578.68;3680.80;4536495
20090126;3731.81;3901.88;3726.29;3885.13;4831041
20090127;3914.46;3915.12;3831.69;3893.48;4147901
20090128;3978.81;4094.71;3967.31;4081.87;5681670
20090129;3960.01;3972.96;3871.66;3902.44;4280537
20090130;3847.11;3883.83;3782.89;3814.35;5017209
20090202;3768.70;3783.41;3689.56;3769.80;3344512
20090203;3818.70;3867.69;3751.30;3858.91;3324610
20090204;3865.83;3981.20;3840.76;3944.27;4415280
20090205;3875.63;3950.25;3831.17;3946.62;3865648
20090206;3985.89;4058.92;3943.12;4028.09;5664694
20090209;4061.82;4108.22;4034.62;4093.51;4023663
20090210;4020.58;4048.77;3914.89;3914.89;4232294
20090211;3851.64;3900.83;3839.37;3892.74;4117854
20090212;3860.64;3862.67;3760.52;3801.47;4794694
20090213;3879.69;3921.61;3846.33;3861.24;3591875
20090216;3802.74;3824.76;3781.79;3783.64;2408842
20090217;3691.93;3694.99;3593.00;3618.76;4282500
20090218;3637.93;3641.76;3550.22;3611.27;3819639
20090219;3668.10;3693.52;3627.65;3642.17;3831700
20090220;3595.94;3612.35;3510.53;3510.53;5426755
20090223;3574.14;3580.82;3464.12;3475.03;3518913
20090224;3450.87;3493.61;3411.35;3460.62;4204175
