Dates;OpenPrice;HighPrice;LowPrice;ClosePrice;TradedValue
20080801;2331.50;2331.50;2286.41;2310.96;20840330
20080804;2307.59;2309.75;2280.93;2285.56;18553950
20080805;2310.02;2349.83;2303.63;2349.83;22737810
20080806;2349.33;2385.77;2333.53;2378.37;22792600
20080807;2360.82;2386.44;2351.32;2355.73;22204530
20080808;2354.83;2416.40;2352.04;2414.10;21359420
20080811;2408.72;2461.65;2402.53;2439.95;22395760
20080812;2433.32;2447.16;2421.09;2430.61;20972480
20080813;2423.71;2443.44;2404.03;2428.62;20187230
20080814;2414.08;2461.15;2414.08;2453.67;19223940
20080815;2466.97;2473.20;2441.05;2452.52;20496670
20080818;2455.07;2456.96;2404.41;2416.98;16545070
20080819;2399.87;2410.96;2376.67;2384.36;17125000
20080820;2394.38;2408.68;2372.34;2389.08;17226030
20080821;2370.87;2387.72;2360.39;2380.38;15174760
20080822;2394.00;2417.63;2390.34;2414.71;14089880
20080825;2398.75;2399.73;2362.20;2365.59;14610590
20080826;2364.18;2377.04;2345.79;2361.97;14423080
20080827;2362.87;2395.02;2358.93;2382.46;14889850
20080828;2390.65;2412.84;2388.55;2411.64;15337370
20080829;2391.15;2393.49;2360.91;2367.52;15665500
20080901;2391.15;2393.49;2360.91;2367.52;15665500
20080902;2403.24;2413.11;2338.37;2349.24;20436120
20080903;2347.84;2357.43;2320.91;2333.73;22234230
20080904;2315.79;2317.32;2259.04;2259.04;23655540
20080905;2240.97;2264.35;2216.99;2255.88;22211030
20080908;2300.27;2303.89;2236.97;2269.76;26658360
20080909;2268.26;2285.54;2209.81;2209.81;25822580
20080910;2235.82;2247.63;2209.59;2228.70;22198590
20080911;2198.27;2259.25;2191.53;2258.22;22907080
20080912;2241.40;2268.83;2228.00;2261.27;20564930
20080915;2196.22;2244.88;2179.91;2179.91;25679950
20080916;2142.79;2214.29;2142.79;2207.90;30940870
20080917;2173.82;2183.25;2098.85;2098.85;30028180
20080918;2136.14;2201.71;2070.22;2199.10;37022120
20080919;2311.97;2318.43;2239.73;2273.90;48101660
20080922;2261.51;2266.45;2178.98;2178.98;18605020
20080923;2187.61;2209.62;2151.77;2153.33;19771020
20080924;2163.24;2179.93;2147.36;2155.68;17297270
20080925;2172.47;2210.74;2167.06;2186.57;18508400
20080926;2134.80;2187.53;2134.80;2183.34;20235770
20080929;2138.81;2152.69;1983.73;1983.73;26615870
20080930;2034.39;2152.69;1983.73;2091.88;21923210
20081001;2076.94;2083.20;2046.06;2069.40;17917110
20081002;2059.16;2059.16;1975.00;1976.72;19385760
20081003;2002.70;2046.81;1947.19;1947.39;23234320
20081006;1894.39;1905.01;1777.02;1862.96;29934360
20081007;1879.36;1886.35;1754.88;1754.88;25599380
20081008;1709.70;1806.89;1706.86;1740.33;31511050
20081009;1769.96;1787.41;1634.88;1645.12;24624060
20081010;1584.97;1690.77;1542.45;1649.51;33980370
20081013;1734.97;1844.25;1715.74;1844.25;22692200
20081014;1894.46;1896.95;1752.89;1779.01;26284900
20081015;1753.16;1761.23;1628.33;1628.33;21439650
20081016;1639.66;1717.72;1565.72;1717.71;28007050
20081017;1677.18;1782.58;1670.28;1711.29;24597480
20081020;1736.59;1770.05;1698.01;1770.03;17184790
20081021;1741.79;1768.54;1695.12;1696.68;18837170
20081022;1672.74;1678.71;1587.22;1615.75;22445320
20081023;1619.76;1645.50;1533.55;1603.91;22843740
20081024;1493.00;1584.27;1493.00;1552.03;20136530
20081027;1528.99;1574.54;1503.81;1505.90;15667900
20081028;1548.55;1649.47;1504.13;1649.47;21429760
20081029;1645.64;1705.51;1622.01;1657.21;22721260
20081030;1697.97;1712.56;1658.45;1698.52;20818200
20081031;1686.65;1742.54;1673.32;1720.95;20557600
20081103;1720.76;1738.53;1713.39;1726.33;14409500
20081104;1762.27;1785.84;1739.81;1780.12;18730570
20081105;1759.68;1764.43;1679.19;1681.64;18278220
20081106;1659.87;1676.92;1603.87;1608.70;19551840
20081107;1628.71;1654.25;1615.51;1647.40;14551780
20081110;1681.65;1681.65;1603.33;1616.74;13251050
20081111;1597.73;1612.42;1563.95;1580.90;15196070
20081112;1553.16;1562.78;1499.21;1499.21;16516550
20081113;1496.64;1596.70;1428.54;1596.70;23333870
20081114;1558.09;1587.76;1513.09;1516.85;17087930
20081117;1495.52;1526.96;1481.70;1482.05;14904820
20081118;1489.27;1498.42;1429.92;1483.27;17797750
