Dates;OpenPrice;HighPrice;LowPrice;ClosePrice;TradedValue
20080801;13309.73;13329.28;13070.61;13164.78;5447206
20080804;13309.73;13329.28;13070.61;13164.78;5447206
20080805;12611.60;12945.07;12594.03;12701.13;7125646
20080806;12738.88;12903.98;12653.80;12855.72;5892733
20080807;12772.08;12821.67;12683.67;12718.71;5845297
20080808;12459.53;12539.01;12386.18;12496.95;5065496
20080811;12460.73;12489.93;12326.91;12360.22;5336694
20080812;12432.33;12472.84;12349.83;12373.84;5343574
20080813;12352.63;12560.77;12287.75;12560.77;6770781
20080814;12478.10;12596.67;12451.67;12549.47;4629075
20080815;12487.59;12588.49;12310.53;12341.41;4363852
20080818;12433.69;12469.20;12317.62;12360.44;3958267
20080819;12285.59;12413.03;12253.70;12298.86;4960418
20080820;12397.45;12556.44;12278.05;12547.12;5438912
20080821;12852.58;12991.22;12775.25;12956.19;5242186
20080822;12872.09;12946.28;12755.63;12858.38;3684827
20080825;12779.42;12803.28;12623.61;12652.54;3173160
20080826;12659.93;12705.93;12631.31;12683.90;4151664
20080827;12763.78;12941.84;12679.06;12899.85;5197576
20080828;12989.08;13075.77;12866.73;13075.77;5279918
20080829;12896.08;12944.12;12842.63;12944.12;4093620
20080901;12896.08;12944.12;12842.63;12944.12;4093620
20080902;12677.74;12876.34;12435.29;12435.29;5609146
20080903;12505.55;12516.04;12196.37;12363.75;6539943
20080904;12350.03;12353.29;11950.08;12049.03;6229317
20080905;11977.19;12074.22;11775.14;12025.16;6194082
20080908;12302.21;12305.08;11810.28;11810.28;6326559
20080909;11816.34;11843.49;11386.16;11386.16;6878093
20080910;11459.17;11712.13;11335.16;11662.14;7419931
20080911;11466.04;11702.70;11359.66;11688.22;6079701
20080912;11858.93;12045.20;11846.11;12035.42;5873737
20080915;11550.65;11966.62;11483.49;11483.49;6349071
20080916;11152.06;11427.80;11100.52;11402.58;8257847
20080917;11284.43;11354.93;10947.28;11030.54;10172787
20080918;11292.77;11573.67;11101.68;11276.35;16121708
20080919;12023.63;12296.91;11488.97;12296.91;15489851
20080922;12437.80;12506.71;12188.32;12188.32;7262181
20080923;12150.32;12303.59;12005.74;12085.47;6940438
20080924;12188.61;12208.94;12019.23;12063.40;6797395
20080925;12001.18;12169.57;11980.33;12116.38;6458794
20080926;11848.86;12143.35;11641.76;11736.35;5104091
20080929;11533.86;11667.47;10748.89;10858.34;7029180
20080930;10906.95;11231.03;10648.30;11089.73;7728102
20081001;11065.61;11108.16;10896.06;11050.38;6484090
20081002;10670.87;10856.82;10102.45;10102.45;7161005
20081003;10253.33;10514.18;9997.69;10002.18;7225505
20081006;9443.91;9767.95;8696.14;9249.94;7344801
20081007;9426.38;9499.17;8830.90;8873.04;7119024
20081008;8485.11;9005.06;8464.06;8962.84;8558621
20081009;8989.21;9061.48;8245.03;8376.39;5612236
20081010;7635.14;8085.72;7454.32;7635.10;6700621
20081013;7635.14;8085.72;7454.32;7635.10;6700621
20081014;9254.04;9254.04;7838.44;8608.44;7416915
20081015;8171.56;8428.43;7843.07;7893.54;4944568
20081016;7841.79;7928.88;7365.92;7793.82;5276658
20081017;7839.11;8355.06;7678.99;8101.06;5053242
20081020;8236.61;8581.45;8004.76;8581.45;4821607
20081021;8194.90;8411.06;8016.31;8037.25;4219034
20081022;7671.07;7834.76;7360.07;7387.73;4098032
20081023;7432.47;7523.84;7063.69;7416.43;5302558
20081024;6798.98;7332.51;6784.28;7303.23;5226226
20081027;7108.51;7226.01;6637.65;6637.65;3406970
20081028;6908.35;7045.68;6572.75;7045.68;4008393
20081029;7536.20;7854.53;7465.23;7750.68;5415407
20081030;7964.28;8092.13;7764.50;8092.13;4517760
20081031;8111.76;8282.10;8009.76;8133.60;4561346
20081103;8300.66;8331.76;8138.88;8199.44;3241586
20081104;8596.18;8821.08;8435.66;8778.71;4572144
20081105;8677.25;8792.16;8459.06;8522.71;4500003
20081106;8293.80;8330.27;7940.36;8050.73;4532965
20081107;8147.69;8180.57;8034.32;8114.50;3114222
20081110;8277.33;8307.88;8029.63;8107.10;3552823
20081111;7910.22;8035.16;7736.00;7815.56;3291335
20081112;7551.59;7663.03;7205.91;7255.30;3727041
20081113;7242.80;7515.29;6888.20;7515.29;4672365
20081114;7523.51;7607.60;7341.59;7366.16;3967138
20081117;7425.16;7451.01;7223.83;7236.67;3253497
20081118;7206.89;7253.91;7039.48;7182.94;3917947
20081119;7110.56;7146.77;6807.77;6839.50;4394060
20081120;6539.26;6651.44;6042.77;6051.52;4993637
20081121;6290.22;6364.83;5953.37;6349.08;5349413
20081124;6712.51;6981.27;6599.17;6845.80;4560798
20081125;6901.83;6958.39;6719.35;6860.21;4689674
20081126;6740.45;7021.03;6677.43;7019.26;4388013
20081127;6980.38;7108.55;6968.62;7105.91;1442735
20081128;7043.89;7473.90;6961.92;7473.90;3180874
20081201;7125.48;7492.62;6773.43;6793.99;4354008
20081202;6833.04;6846.81;6600.43;6686.86;4572685
20081203;6452.52;6639.59;6423.90;6595.36;4118589
20081204;6561.55;6710.45;6311.08;6373.85;3556288
20081205;6135.63;6268.36;6018.45;6261.21;3227320
20081208;6695.79;6853.96;6450.28;6807.95;3728205
20081209;6715.12;6839.58;6640.61;6679.57;4003684
20081210;6793.87;6916.13;6681.17;6869.28;4257669
20081211;7079.59;7120.38;6808.72;6880.30;4085395
20081212;6542.06;6861.60;6517.83;6843.57;4184182
20081215;6944.92;6945.88;6746.50;6826.81;3450810
20081216;6911.96;7147.98;6911.96;7147.98;4621752
20081217;7255.58;7255.58;7255.58;7255.58;138252
20081218;7204.63;7297.46;6911.00;7047.55;5275810
20081219;6779.77;6947.04;6746.32;6946.63;7546972
20081222;6978.00;7011.56;6728.33;6763.57;2889083
20081223;6835.81;6926.98;6767.33;6837.14;2878531
20081224;6852.50;6910.80;6824.98;6872.20;1258179
20081225;6852.50;6910.80;6824.98;6872.20;1258179
20081226;6852.50;6910.80;6824.98;6872.20;1258179
20081229;6987.21;7093.12;6824.79;7093.12;2223732
20081230;7090.36;7244.53;7046.25;7242.45;2520834
20081231;7224.62;7392.07;7221.25;7383.31;2158026
20090101;7224.62;7392.07;7221.25;7383.31;2158026
20090102;7409.86;7644.38;7381.93;7643.50;1951395
20090105;7747.79;7865.17;7649.54;7791.82;3748036
20090106;7970.33;8051.60;7865.08;8023.12;4139807
20090107;7879.21;7971.13;7658.20;7675.94;3418609
20090108;7656.69;7782.06;7607.10;7779.95;3204379
20090109;7761.58;7786.51;7606.42;7633.32;2897295
20090112;7391.43;7500.97;7225.54;7260.01;2901776
20090113;7193.44;7323.68;7166.53;7303.63;3116589
20090114;7123.52;7202.08;6918.45;6982.53;3107564
20090115;6927.53;7045.63;6721.39;7045.63;3746494
20090116;7217.03;7217.03;6975.82;7124.35;3217874
20090119;7091.48;7136.32;7046.18;7073.18;1478422
20090120;7024.06;7025.19;6721.84;6736.58;4380455
20090121;6770.24;6919.48;6626.23;6915.03;3999455
20090122;6837.36;6947.40;6721.02;6732.16;3435887
20090123;6785.71;6994.44;6752.73;6946.28;3939949
20090126;7098.66;7198.04;6967.56;7063.08;3084214
20090127;7100.20;7157.90;7042.44;7155.39;2830486
20090128;7359.40;7414.19;7242.96;7364.17;3773806
20090129;7214.59;7288.84;7153.43;7171.42;3151144
20090130;7201.91;7201.91;6948.97;7042.12;3662675
20090202;6938.45;7012.58;6882.51;6956.07;2322336
20090203;6975.41;6990.82;6891.92;6963.06;2857556
20090204;7089.34;7182.22;7031.15;7083.68;3881400
20090205;7112.68;7237.59;7030.51;7237.59;3550223
20090206;7145.71;7368.25;7143.75;7292.17;3625157
20090209;7439.83;7518.55;7391.92;7432.86;3048699
20090210;7371.83;7396.32;7118.19;7155.64;3573750
20090211;7104.67;7168.05;7016.92;7022.33;4333296
20090212;6961.38;7030.88;6875.14;7025.83;3887357
20090213;7074.59;7074.59;6975.50;6982.70;2570044
20090216;7074.59;7074.59;6975.50;6982.70;2570044
20090217;6831.00;6868.85;6610.69;6631.87;3452242
20090218;6668.00;6668.00;6450.80;6480.11;3777145
20090219;6554.26;6603.78;6461.36;6515.44;3653373
20090220;6456.76;6522.19;6274.82;6334.65;3742863
20090223;6404.86;6418.99;6106.32;6111.78;3353209
20090224;6153.04;6301.58;6066.65;6301.58;4539023
20090225;6282.63;6399.89;6177.38;6319.55;3945466
20090226;6457.27;6572.52;6361.11;6565.21;4267232
20090227;6364.71;6465.12;6320.14;6413.25;3907065
20090302;6216.10;6313.56;5899.01;5975.06;3425520
20090303;5993.75;6028.35;5799.09;5899.98;3370210
20090304;6137.74;6144.38;5961.27;6104.32;3985789
20090305;6007.70;6070.18;5895.48;5926.03;3414598
20090306;5979.59;6040.33;5818.72;5905.46;3030160
20090309;5804.63;5934.08;5795.04;5835.09;2582186
20090310;5994.92;6140.47;5891.42;6135.48;4428329
20090311;6163.36;6267.92;6113.59;6232.32;3845780
20090312;6264.00;6502.17;6223.18;6462.95;3860228
20090313;6556.13;6556.13;6424.20;6518.09;2919512
20090316;6537.23;6742.98;6528.61;6613.60;3526035
20090317;6631.15;6729.77;6529.26;6729.77;3525595
20090318;6656.95;6821.24;6520.61;6789.22;4182689
20090319;7128.05;7167.27;6991.65;7041.40;4641734
20090320;7013.06;7036.99;6850.57;6850.57;4410189
20090323;7132.20;7289.27;6921.36;7289.27;5100897
20090324;7194.65;7302.93;7146.53;7213.98;4549684
20090325;7224.70;7298.72;7063.68;7148.90;4706917
20090326;7261.60;7325.56;7146.00;7306.88;4378168
20090327;7167.47;7248.59;7096.86;7108.03;3859209
20090330;6824.80;6995.84;6704.01;6817.53;3415606
20090331;6871.68;6956.59;6810.51;6908.88;3328107
20090401;6826.30;7058.59;6802.40;7058.59;3457353
20090402;7345.28;7382.46;7222.79;7328.87;4675567
20090403;7386.14;7412.91;7289.32;7352.60;3916610
20090406;7217.79;7299.91;7181.72;7259.98;3488239
20090407;7232.05;7293.46;7134.93;7138.61;3140533
