Dates;OpenPrice;HighPrice;LowPrice;ClosePrice;TradedValue
20080801;2882.76;2931.88;2845.52;2929.49;3632332.04
20080804;2899.87;2910.50;2873.54;2885.05;2568413.48
20080805;2847.65;2847.65;2785.40;2812.38;4013716.37
20080806;2847.65;2847.65;2785.40;2812.38;4013716.37
20080807;2870.67;2873.39;2808.14;2832.35;4536750.15
20080808;2815.77;2845.58;2776.47;2801.38;3624600.11
20080811;2820.04;2847.57;2799.39;2799.39;3207289.10
20080812;2816.44;2857.06;2771.45;2771.45;4349013.44
20080813;2724.00;2774.57;2717.91;2726.87;4519468.19
20080814;2727.51;2746.82;2702.71;2739.04;3677470.98
20080815;2736.41;2736.41;2686.61;2707.86;2753740.80
20080818;2708.97;2714.55;2656.25;2679.23;2461118.50
20080819;2646.90;2675.93;2622.40;2622.40;2713735.58
20080820;2610.83;2685.41;2610.83;2680.30;3611788.59
20080821;2659.66;2659.66;2606.86;2612.19;3300864.25
20080822;2659.66;2659.66;2606.86;2612.19;3300864.25
20080825;2656.18;2703.41;2656.18;2702.97;3378847.62
20080826;2670.53;2712.09;2662.42;2697.12;2601042.73
20080827;2703.25;2749.38;2703.25;2749.38;3800891.93
20080828;2759.95;2759.95;2671.58;2686.34;4635357.30
20080829;2727.98;2751.64;2719.56;2724.42;4426140.37
20080901;2690.29;2694.36;2670.41;2678.37;2313744.44
20080902;2684.45;2698.49;2638.16;2695.40;2939135.15
20080903;2685.17;2685.17;2629.07;2636.54;3042533.80
20080904;2631.46;2641.21;2607.27;2611.49;3091271.53
20080905;2540.00;2559.63;2523.93;2552.73;4591996.51
20080908;2671.47;2671.47;2645.49;2665.52;5146974.32
20080909;2620.92;2634.21;2603.03;2627.54;3123323.02
20080910;2578.83;2600.51;2557.87;2564.07;4397347.75
20080911;2546.27;2546.27;2464.90;2486.50;4653627.34
20080912;2492.05;2503.95;2456.78;2481.81;3685599.53
20080915;2492.05;2503.95;2456.78;2481.81;3685599.53
20080916;2356.60;2383.98;2317.19;2353.38;7167546.14
20080917;2401.86;2402.88;2266.41;2266.41;5826986.26
20080918;2200.60;2294.40;2093.08;2266.44;8592549.29
20080919;2425.95;2483.71;2388.66;2483.71;10481753.88
20080922;2556.72;2556.72;2462.61;2526.24;6436994.63
20080923;2470.53;2486.54;2431.16;2431.16;4003548.52
20080924;2441.81;2485.19;2430.03;2442.80;3636016.34
20080925;2444.68;2476.26;2427.55;2435.83;3164376.81
20080926;2432.45;2435.96;2379.77;2403.18;3638419.25
20080929;2414.46;2414.46;2292.60;2303.47;4075496.96
20080930;2176.27;2321.99;2163.52;2320.24;5231313.29
20081001;2176.27;2321.99;2163.52;2320.24;5231313.29
20081002;2299.78;2353.22;2269.06;2343.62;4715322.10
20081003;2288.80;2306.44;2275.08;2275.08;3375135.01
20081006;2208.77;2219.79;2161.74;2163.40;3201567.24
20081007;2208.77;2219.79;2161.74;2163.40;3201567.24
20081008;2073.98;2114.48;1986.91;1986.91;6223191.99
20081009;2009.49;2059.98;2003.38;2053.93;4426117.73
20081010;1897.88;1922.78;1856.75;1908.12;6041323.58
20081013;1953.14;2110.39;1901.40;2102.11;5727312.61
20081014;2209.41;2209.41;2141.61;2169.69;5991698.45
