Dates;OpenPrice;HighPrice;LowPrice;ClosePrice;TradedValue
20080801;8438.71;8452.01;8356.43;8379.15;39738230
20080804;8379.16;8379.16;8253.45;8268.65;41373300
20080805;8268.7;8471.85;8268.7;8471.85;47976910
20080806;8471.84;8513.88;8418.8;8501.44;40006980
20080807;8501.7;8501.7;8321.04;8338.4;41784330
20080808;8338.29;8467.28;8279.98;8460.32;40877580
20080811;8460.24;8524.2;8438.33;8492.94;41712620
20080812;8492.51;8492.51;8372.11;8398.71;38323860
20080813;8398.7;8410.71;8292.69;8375.39;40985840
20080814;8375.33;8412.6;8303.54;8385.97;33913740
20080815;8385.85;8407.29;8338.84;8383.67;40370130
20080818;8383.79;8413.53;8259.97;8281.86;32562750
20080819;8281.81;8281.81;8180.88;8212.47;32779770
20080820;8212.46;8278.64;8187.37;8276.91;33873770
20080821;8276.71;8336.62;8235.77;8314.14;29781750
20080822;8314.14;8388.79;8314.14;8373.55;28767390
20080825;8373.55;8373.55;8214.07;8229.03;26999520
20080826;8228.85;8285.58;8213.24;8263.72;26360580
20080827;8263.75;8363.47;8263.75;8349.84;25403520
20080828;8349.84;8466.12;8349.84;8466.12;30714830
20080829;8466.07;8466.07;8380.59;8382.08;30909840
20080901;8466.07;8466.07;8380.59;8382.08;30909840
20080902;8382.77;8434.9;8263.58;8296.98;38504510
20080903;8296.98;8299.36;8209.02;8269.25;39522250
20080904;8269.21;8269.21;7991.94;8008.25;42776760
20080905;8008.23;8043.4;7860.86;8033.76;39530460
20080908;8033.83;8241.71;8033.83;8168.62;50141010
20080909;8168.59;8168.59;7871.07;7871.15;51484920
20080910;7871.39;8022.97;7868.89;7957.26;43189720
20080911;7957.38;8013.01;7783.94;8011.25;44771400
20080912;8010.88;8105.07;7946.52;8091.84;40541020
20080915;8091.57;8091.57;7680.15;7680.15;55332020
20080916;7680.06;7793.15;7502.22;7793.13;65902130
20080917;7793.13;7793.13;7434.79;7440.39;65334090
20080918;7440.39;7806.41;7318.84;7775.16;74675060
20080919;7775.17;8201.24;7775.17;8187.13;94075670
