Dates;OpenPrice;HighPrice;LowPrice;ClosePrice;TradedValue
20080801;402.05;413.71;397.81;409.48;7402716.88
20080804;406.17;407.67;399.73;400.15;5476608.72
20080805;401.31;402.93;391.62;392.49;6190813.22
20080806;395.94;400.54;391.16;397.07;5996923.41
20080807;395.95;399.62;392.14;397.41;5630941.38
20080808;397.30;397.52;378.56;379.99;6744529.19
20080811;378.54;379.35;357.80;360.19;6048427.32
20080812;356.28;362.04;354.19;358.03;4519050.88
20080813;355.92;358.58;345.74;356.76;5150616.89
20080814;354.47;357.68;351.09;355.18;4041259.20
20080815;354.35;360.53;351.47;356.71;3959026.20
20080818;356.57;357.11;337.25;337.39;5215434.85
20080819;334.59;343.14;332.75;341.47;4033387.22
20080820;340.28;368.14;336.51;368.12;8610522.86
20080821;363.03;367.99;355.22;355.32;7584410.48
20080822;353.30;355.09;345.63;351.94;5317376.10
20080825;351.60;356.84;347.83;352.37;3919395.53
20080826;348.26;350.90;339.83;343.17;4574331.57
20080827;342.80;348.96;337.91;342.54;4762417.55
20080828;343.00;347.73;341.70;344.20;4188731.36
20080829;345.29;354.04;343.98;350.61;5456752.17
20080901;348.79;348.79;338.71;340.68;4201324.54
20080902;338.37;340.85;334.39;337.32;3798069.66
20080903;336.37;339.24;328.50;332.68;4743450.62
20080904;332.15;335.78;329.02;333.15;3779040.07
20080905;325.19;327.20;321.51;321.96;4088391.71
20080908;322.99;324.48;312.04;313.21;4042970.50
20080909;314.75;316.07;309.22;313.80;3182834.41
20080910;311.74;319.62;307.51;314.51;4167855.52
20080911;313.07;313.76;302.41;303.66;3977746.29
20080912;303.56;307.51;301.62;303.87;3318812.10
20080915;303.56;307.51;301.62;303.87;3318812.10
20080916;299.51;299.51;288.48;290.27;4941136.76
20080917;288.38;292.48;281.18;282.11;4680046.80
20080918;274.51;284.27;263.71;277.39;6355120.35
20080919;302.38;303.47;298.82;303.47;6076900.80
20080922;328.16;332.26;316.90;327.38;16641834.52
20080923;324.27;330.76;320.28;323.15;11390064.14
20080924;312.59;325.07;310.22;324.86;7182851.70
20080925;324.70;342.10;324.24;336.86;12243673.39
20080926;336.44;337.37;328.00;334.93;9728679.27
20080929;336.44;337.37;328.00;334.93;9728679.27
20080930;336.44;337.37;328.00;334.93;9728679.27
20081001;336.44;337.37;328.00;334.93;9728679.27
20081002;336.44;337.37;328.00;334.93;9728679.27
20081003;336.44;337.37;328.00;334.93;9728679.27
20081006;331.32;331.32;317.46;317.64;6917567.03
20081007;308.30;320.31;304.16;316.62;6920156.42
20081008;307.38;311.95;301.98;306.84;5977255.20
20081009;311.43;312.21;302.32;303.96;5255662.84
20081010;292.02;296.68;287.23;292.70;5625729.33
20081013;289.27;303.29;282.39;303.16;6131799.18
20081014;312.98;314.10;295.00;295.16;7805905.25
20081015;292.14;294.71;287.34;291.96;4332871.78
20081016;279.99;283.96;277.85;279.08;5135672.75
20081017;280.80;283.65;277.99;282.09;3820836.93
20081020;281.72;289.87;276.85;289.01;4701582.68
20081021;289.55;292.18;286.24;286.60;5662332.27
20081022;282.77;285.42;277.16;277.38;4733117.28
20081023;270.83;275.01;267.47;274.38;4823305.93
20081024;274.05;275.87;266.73;268.79;4631508.89
20081027;264.03;264.03;251.24;251.50;4700072.97
20081028;244.04;260.84;243.09;258.70;5803793.31
20081029;261.18;262.48;251.40;251.47;5178926.74
20081030;253.81;261.93;250.58;258.33;5186031.93
20081031;256.48;258.16;251.71;252.76;3677460.34
20081103;250.62;255.97;249.04;251.50;3382259.69
20081104;249.84;251.19;245.61;249.66;3482382.97
20081105;250.97;261.51;250.97;257.46;5494040.92
20081106;252.14;253.28;249.60;251.74;3967353.04
20081107;246.90;257.99;246.04;255.86;4192743.06
20081110;261.09;274.84;261.09;274.64;8330116.46
20081111;274.45;276.76;269.89;270.28;8316441.63
20081112;266.55;272.91;265.76;272.21;6001285.56
20081113;269.00;284.47;267.33;282.23;11445231.33
20081114;284.86;291.20;281.62;291.08;12871816.89
20081117;290.21;297.51;287.66;297.42;13212494.51
20081118;296.14;300.52;276.93;278.77;14865013.77
20081119;276.43;296.12;275.62;295.18;12318091.24
20081120;289.30;297.15;286.30;290.26;12588632.67
20081121;282.76;294.55;276.99;288.14;12255852.40
20081124;287.18;289.12;277.24;277.79;8023481.52
20081125;282.00;284.07;272.17;276.65;6700991.62
20081126;276.83;280.40;274.32;277.94;6184762.39
20081127;294.72;296.15;280.63;280.83;12292157.21
20081128;277.86;279.85;271.23;273.40;7379041.19
20081201;270.99;275.35;266.97;275.18;7586527.23
20081202;269.94;277.32;268.42;274.68;9820975.97
20081203;276.66;285.73;276.59;285.67;12935139.53
20081204;290.48;299.59;289.39;291.76;17902551.02
20081205;288.20;293.35;286.96;293.20;11456649.24
20081208;299.11;305.26;297.51;305.18;16838984.66
20081209;306.78;306.78;297.45;297.57;14908818.76
20081210;295.73;303.70;292.89;303.63;13461464.77
20081211;301.90;304.03;295.52;295.95;12639924.25
20081212;294.31;295.57;282.29;285.49;10629871.00
20081215;288.86;290.66;282.95;287.01;8003044.91
20081216;284.78;288.85;278.79;288.60;7651044.09
20081217;290.23;293.09;288.48;289.21;9920399.98
20081218;289.23;294.73;286.31;294.60;9438958.23
20081219;293.49;298.24;292.16;295.28;10623529.41
20081222;294.33;294.33;286.87;290.14;8776749.38
20081223;290.58;290.58;276.73;277.03;9733094.84
20081224;273.71;275.72;270.39;272.28;7016519.85
20081225;273.11;274.88;268.23;271.17;6142441.41
20081226;270.84;272.84;268.98;270.63;5022011.58
20081229;269.90;271.37;265.38;270.51;5379828.09
20081230;270.93;272.55;267.29;268.15;5509167.12
20081231;268.84;270.22;265.88;266.77;4881834.30
20090101;268.84;270.22;265.88;266.77;4881834.30
20090102;268.84;270.22;265.88;266.77;4881834.30
20090105;270.38;275.01;269.66;275.01;6688097.15
20090106;274.75;283.50;273.75;283.28;10014708.33
20090107;283.52;284.88;280.82;281.33;9226878.59
20090108;276.47;277.05;272.38;274.71;7999134.12
20090109;274.30;279.30;274.30;278.64;7294622.82
20090112;277.39;281.30;275.80;277.78;8664482.84
20090113;275.00;276.09;272.21;272.44;7159264.57
20090114;272.07;281.85;272.07;281.79;9334660.34
20090115;279.48;283.13;277.99;280.57;12118091.76
20090116;281.80;289.95;281.80;285.53;14567037.25
20090119;288.35;295.30;287.64;290.64;11828248.12
20090120;289.60;291.60;285.94;291.49;8094344.39
20090121;287.31;293.45;286.52;290.10;9914496.16
20090122;291.93;293.95;289.64;293.23;9674736.38
20090123;292.29;293.40;290.13;290.76;9159065.22
20090126;292.29;293.40;290.13;290.76;9159065.22
20090127;292.29;293.40;290.13;290.76;9159065.22
20090128;292.29;293.40;290.13;290.76;9159065.22
20090129;292.29;293.40;290.13;290.76;9159065.22
20090130;292.29;293.40;290.13;290.76;9159065.22
20090202;293.21;293.89;290.15;293.73;8991326.82
20090203;294.10;301.28;293.11;301.27;14052382.14
20090204;302.58;308.46;302.54;308.38;16091092.64
20090205;308.17;314.40;304.62;306.88;18134611.73
20090206;307.50;319.64;307.50;319.08;17570778.66
20090209;323.31;327.34;321.17;325.26;21875535.48
20090210;324.67;331.68;321.53;331.50;19769910.73
20090211;326.40;337.40;324.61;330.83;25071323.00
20090212;331.42;332.65;320.61;328.83;20548598.01
20090213;329.07;339.89;327.17;339.55;23913664.96
20090216;342.19;349.67;340.64;349.60;25916002.17
20090217;349.05;351.31;338.76;339.12;24636406.17
20090218;332.24;335.82;322.70;323.25;19671576.73
20090219;325.37;328.75;320.39;325.75;15757755.71
20090220;326.80;330.89;322.68;330.76;15839773.59
20090223;329.04;338.44;324.71;337.30;20175146.28
20090224;332.55;335.75;320.78;321.86;23057698.21
20090225;325.05;326.74;313.36;322.72;19187995.44
20090226;321.88;327.13;307.36;310.12;18560248.54
20090227;307.04;310.42;301.90;304.52;14293871.17
20090302;301.82;307.07;299.89;305.80;10508177.28
