Dates;OpenPrice;HighPrice;LowPrice;ClosePrice;TradedValue
20080801;12.03;12.05;11.78;11.83;21398708.18
20080804;11.75;11.78;11.54;11.54;21370165.54
20080805;11.54;11.64;11.49;11.53;22017921.48
20080806;11.51;11.70;11.50;11.67;22364208.70
20080807;11.65;11.65;11.41;11.49;20187470.34
20080808;11.33;11.51;11.23;11.43;23352131.71
20080811;11.50;11.65;11.50;11.62;16990334.88
20080812;11.68;11.70;11.57;11.58;18945363.45
20080813;11.59;11.59;11.39;11.44;18474128.12
20080814;11.27;11.39;11.25;11.27;17244132.10
20080815;11.23;11.30;11.22;11.29;14368157.54
20080818;11.32;11.59;11.29;11.49;16975540.81
20080819;11.39;11.39;11.20;11.26;15494980.41
20080820;11.14;11.26;11.12;11.21;15674988.64
20080821;11.41;11.41;11.27;11.29;15149313.05
20080822;11.13;11.13;11.04;11.07;13682685.48
20080825;11.26;11.41;11.26;11.36;12680610.28
20080826;11.16;11.20;11.06;11.20;12538205.83
20080827;11.17;11.20;11.11;11.14;12235657.72
20080828;11.22;11.22;11.09;11.13;13306819.43
20080829;11.33;11.53;11.33;11.53;18657878.29
20080901;11.48;11.48;11.38;11.38;13166762.20
20080902;11.28;11.41;11.09;11.15;18034908.52
20080903;11.26;11.31;11.21;11.26;18398320.57
20080904;11.30;11.31;11.18;11.18;20944443.41
20080905;11.06;11.06;10.87;10.93;21749010.27
20080908;10.95;11.29;10.95;11.26;20272124.02
20080909;11.25;11.25;11.01;11.08;18565367.80
20080910;10.92;11.12;10.84;11.06;23226789.69
20080911;11.09;11.10;10.87;10.90;19431018.65
20080912;10.93;10.96;10.80;10.96;27691668.22
20080915;10.93;10.96;10.80;10.96;27691668.22
20080916;11.04;11.04;10.55;10.64;24798162.60
20080917;10.79;10.91;10.69;10.72;22137052.97
20080918;10.63;10.63;10.35;10.55;22615259.62
20080919;10.36;10.75;10.36;10.74;25868820.12
20080922;10.94;11.15;10.94;11.00;21185643.05
20080923;10.94;11.15;10.94;11.00;21185643.05
20080924;10.95;11.02;10.79;11.02;22205555.56
20080925;10.78;10.85;10.69;10.81;16154589.73
20080926;10.92;10.98;10.70;10.82;19015378.82
20080929;10.92;11.03;10.70;10.72;17897955.69
20080930;10.46;10.47;10.07;10.24;21808221.11
20081001;10.37;10.44;10.34;10.39;18869192.30
20081002;10.49;10.50;10.18;10.21;20886189.57
20081003;10.06;10.09;9.88;9.88;21973389.91
20081006;10.28;10.29;9.84;9.90;23557489.84
20081007;9.66;9.73;9.26;9.59;24790199.16
20081008;9.69;9.69;8.99;9.04;24348587.23
20081009;8.95;9.29;8.89;9.01;24630785.31
20081010;8.94;8.94;8.26;8.44;26447350.46
20081013;8.94;8.94;8.26;8.44;26447350.46
20081014;8.36;9.36;8.36;9.36;18800714.50
20081015;9.33;9.46;9.14;9.42;23083405.60
20081016;9.35;9.35;8.58;8.59;21620053.66
20081017;8.64;8.88;8.64;8.80;19384079.94
20081020;8.89;9.15;8.84;9.12;18574291.90
20081021;9.36;9.58;9.36;9.53;18744005.18
20081022;9.58;9.58;9.02;9.02;19067896.98
20081023;9.03;9.03;8.57;8.98;24256119.93
20081024;9.17;9.17;8.52;8.55;21815697.92
20081027;8.49;8.64;7.92;7.95;23787787.72
