Dates;OpenPrice;HighPrice;LowPrice;ClosePrice;TradedValue
20080801;10681.47;10681.47;10502.65;10568.57;12335508.17
20080804;10507.53;10625.27;10420.40;10439.83;10456558.38
20080805;10388.22;10650.46;10348.19;10650.46;16071720.99
20080806;10633.55;10719.52;10605.47;10695.15;16302741.23
20080807;10668.27;10771.72;10599.82;10651.55;14414566.81
20080808;10518.44;10575.48;10390.36;10540.91;13062752.98
20080811;10499.19;10599.80;10477.20;10599.80;10057954.78
20080812;10524.43;10576.47;10428.53;10510.57;12523935.88
20080813;10355.60;10355.60;10173.36;10194.88;12888447.05
20080814;10178.53;10348.53;10172.93;10269.69;10953366.66
20080815;10237.81;10314.91;10116.39;10158.47;9426514.60
20080818;10189.57;10271.57;10134.46;10180.97;6971004.72
20080819;10172.80;10172.80;9924.37;9930.53;10279617.82
20080820;9887.96;10006.54;9887.96;9983.49;9590538.90
20080821;10068.90;10136.76;9955.69;10065.90;9338635.77
20080822;9956.89;10207.93;9952.81;10207.93;8963134.57
20080825;9956.89;10207.93;9952.81;10207.93;8963134.57
20080826;10112.69;10112.69;9862.33;10048.58;8833702.22
20080827;10014.66;10142.99;9948.76;10119.74;7636610.27
20080828;10101.50;10295.01;10044.49;10235.07;9313480.39
20080829;10179.06;10266.11;10153.98;10243.39;9651967.36
20080901;10150.39;10150.39;10037.30;10089.52;5561179.45
20080902;9992.03;10069.97;9942.28;10023.96;12218874.25
20080903;9975.06;9975.06;9746.83;9760.32;11186483.05
20080904;9752.07;9826.54;9508.08;9508.08;13094019.14
20080905;9461.96;9461.96;9224.62;9247.74;14456795.38
20080908;9193.76;9556.72;9193.76;9554.44;6790300.93
20080909;9630.15;9768.95;9525.12;9575.86;17806011.76
20080910;9529.29;9536.15;9374.80;9442.37;14202362.28
20080911;9395.14;9415.63;9205.88;9311.45;12246815.93
20080912;9519.40;9695.35;9519.40;9695.35;11866267.11
20080915;9689.93;9689.93;9167.93;9309.79;17618422.47
20080916;9296.78;9296.78;8862.69;8977.73;23082448.16
20080917;9040.05;9217.77;8820.06;8836.43;22201791.32
20080918;8962.18;9151.01;8867.86;8903.07;24089573.69
