classificador;data;sinalcompra;acertou;openprice;closeprice;vlrcompra;vlrvenda;lucrobrutoR;impostorendaR;custotransacaoR;lucroliquidoR;lucrobrutoP;lucroliquidoP;custotransacaoP;custotransacaoAcumuladoP;lucrobrutoAcumuladoP;lucroliquidoAcumuladoP;evolucaoCapitalR;impostoRendaAcumuladoR
7;20170703;1;S;26.98;27.31;26980.00;27310.00;330.00;62.92;78.32;251.68;1.22;0.95;0.27;0.27;1.22;0.95;251.68;62.92
7;20170704;1;N;27.50;27.17;27500.00;27170.00;-330.00;0.00;0.00;-345.34;-1.20;-0.94;-0.26;0.01;0.02;0.02;-93.66;62.92
7;20170710;1;S;26.91;28.04;26910.00;28040.00;1130.00;222.87;238.53;891.47;4.20;3.28;0.92;0.93;4.22;3.29;797.81;285.79
7;20170712;1;S;28.90;29.10;28900.00;29100.00;200.00;36.79;52.85;147.15;0.69;0.54;0.15;1.08;4.91;3.83;944.96;322.57
7;20170718;1;S;29.31;29.38;29310.00;29380.00;70.00;10.77;26.93;43.07;0.24;0.19;0.05;1.13;5.15;4.02;988.02;333.34
7;20170719;1;S;29.46;29.64;29460.00;29640.00;180.00;32.75;49.01;130.99;0.61;0.48;0.13;1.27;5.76;4.50;1119.01;366.09
7;20170720;1;N;29.50;29.41;29500.00;29410.00;-90.00;0.00;0.00;-106.18;-0.31;-0.24;-0.07;1.20;5.46;4.26;1012.83;366.09
7;20170721;1;N;29.43;29.08;29430.00;29080.00;-350.00;0.00;0.00;-366.06;-1.19;-0.93;-0.26;0.94;4.27;3.33;646.78;366.09
7;20170724;1;S;29.29;29.56;29290.00;29560.00;270.00;50.75;66.99;203.01;0.92;0.72;0.20;1.14;5.19;4.05;849.79;416.84
7;20170726;1;N;29.07;28.59;29070.00;28590.00;-480.00;0.00;0.00;-495.87;-1.65;-1.29;-0.36;0.78;3.54;2.76;353.92;416.84
7;20170727;1;S;28.53;28.56;28530.00;28560.00;30.00;2.83;18.69;11.31;0.11;0.08;0.02;0.80;3.65;2.84;365.23;419.67
7;20170728;1;N;28.73;28.70;28730.00;28700.00;-30.00;0.00;0.00;-45.91;-0.10;-0.08;-0.02;0.78;3.54;2.76;319.31;419.67
7;20170731;1;S;28.87;29.30;28870.00;29300.00;430.00;82.77;98.91;331.09;1.49;1.16;0.33;1.11;5.03;3.92;650.40;502.44
7;20170801;1;S;29.35;30.48;29350.00;30480.00;1130.00;222.68;239.26;890.74;3.85;3.00;0.85;1.95;8.88;6.93;1541.14;725.13
7;20170804;1;S;30.99;31.35;30990.00;31350.00;360.00;68.62;85.52;274.48;1.16;0.91;0.26;2.21;10.04;7.83;1815.62;793.75
7;20170809;1;N;31.18;30.92;31180.00;30920.00;-260.00;0.00;0.00;-276.74;-0.83;-0.65;-0.18;2.03;9.21;7.18;1538.88;793.75
