classificador;data;sinalcompra;acertou;openprice;closeprice;vlrcompra;vlrvenda;lucrobrutoR;impostorendaR;custotransacaoR;lucroliquidoR;lucrobrutoP;lucroliquidoP;custotransacaoP;custotransacaoAcumuladoP;lucrobrutoAcumuladoP;lucroliquidoAcumuladoP;evolucaoCapitalR;impostoRendaAcumuladoR
7;20170703;1;S;28.00;28.22;28000.00;28220.00;220.00;40.85;56.59;163.41;0.79;0.61;0.17;0.17;0.79;0.61;163.41;40.85
7;20170704;1;N;28.29;28.23;28290.00;28230.00;-60.00;0.00;0.00;-75.74;-0.21;-0.17;-0.05;0.13;0.57;0.45;87.67;40.85
7;20170705;1;N;28.18;27.82;28180.00;27820.00;-360.00;0.00;0.00;-375.59;-1.28;-1.00;-0.28;-0.15;-0.70;-0.55;-287.91;40.85
7;20170712;1;S;29.48;29.67;29480.00;29670.00;190.00;0.00;16.28;173.72;0.64;0.50;0.14;-0.01;-0.06;-0.05;-114.19;40.85
7;20170713;1;N;29.88;29.70;29880.00;29700.00;-180.00;0.00;0.00;-196.29;-0.60;-0.47;-0.13;-0.15;-0.66;-0.52;-310.47;40.85
7;20170714;1;N;29.68;29.50;29680.00;29500.00;-180.00;0.00;0.00;-196.21;-0.61;-0.47;-0.13;-0.28;-1.27;-0.99;-506.69;40.85
7;20170721;1;S;29.48;29.53;29480.00;29530.00;50.00;0.00;16.22;33.78;0.17;0.13;0.04;-0.24;-1.10;-0.86;-472.91;40.85
7;20170724;1;S;29.65;30.01;29650.00;30010.00;360.00;4.72;21.12;338.88;1.21;0.95;0.27;0.03;0.12;0.09;-134.03;45.57
7;20170725;1;N;30.02;29.75;30020.00;29750.00;-270.00;0.00;0.00;-286.30;-0.90;-0.70;-0.20;-0.17;-0.78;-0.61;-420.33;45.57
7;20170803;1;S;30.95;30.98;30950.00;30980.00;30.00;0.00;16.76;13.24;0.10;0.08;0.02;-0.15;-0.69;-0.54;-407.10;45.57
7;20170804;1;S;31.00;31.34;31000.00;31340.00;340.00;24.62;41.52;298.48;1.10;0.86;0.24;0.09;0.41;0.32;-108.62;70.19
7;20170807;1;S;31.28;31.67;31280.00;31670.00;390.00;74.60;91.62;298.38;1.25;0.97;0.27;0.36;1.66;1.29;189.77;144.79
7;20170809;1;N;31.79;31.39;31790.00;31390.00;-400.00;0.00;0.00;-416.92;-1.26;-0.98;-0.28;0.09;0.40;0.31;-227.15;144.79
