ativo;classificador;RetornoBruto;RetornoLiquido;CustoOperacional;BuyAndHoldP;comprarSempreP;IndInversoP;IndAleatorioP;indAlvo05P;indAlvo1P;indAlvo2P;perdaP;ganhoP;retornoMedioP;perdaMediaP;ganhoMedioP ;qtdePerda;qtdeGanho ;qtdeTotal ;qtdeClasse0 ;qtdeClasse1 ;precisao;acuracia;f1score;recall;specificity;sharpe;sortino;media;desvioPadrao;desvioAbsoluto;mediana;quantil;minimo;maximo;amplitude;variancia; DataInicial; DataFinal; QtdeDias; PrecoInicial; PrecoFinal; Classe0; Classe1; QtdeClasse0;QtdeClasse1;volatilidade;volatilidadeDowsid;qtdeD3_caiu;qtdeD3_estavel;qtdeD3_subiu;qtdeRompimento;qtdeCorrecao;qtdeContraTendencia;ShapiroWilk;KolmogorovSmirnov;Tstudent;Anova;kruskalWallis
BBDC4;1;2.83;2.21;0.62;10.48;9.30;6.47;2.92;-0.70;2.90;3.59;-5.20;8.03;0.19;-0.87;0.89;6;9;15;14;15;60.00;48.28;54.55;50.00;45.45;0.10;0.21;0.19;0.99;0.86;0.42;0.42;-1.28;1.41;2.69;0.98;03/07/2017;11/08/2017;30;28.12;31.67;36.67;63.33;11;19;4.41;2.06;18;0;20;8;2;5;0.07;0.49;0.67;0.93;0.81
BBDC4;2;1.77;1.38;0.39;10.48;9.30;7.54;2.68;0.65;2.42;2.52;-3.68;5.44;0.15;-0.74;0.78;5;7;12;17;12;58.33;44.83;46.67;38.89;54.55;-0.15;-0.31;0.15;0.89;0.74;0.26;0.26;-1.28;1.25;2.53;0.80;03/07/2017;11/08/2017;30;28.12;31.67;36.67;63.33;11;19;4.41;2.06;18;0;20;8;2;5;0.33;0.91;0.59;0.99;0.95
BBDC4;3;1.83;1.42;0.40;10.48;9.30;7.48;2.07;-0.99;1.11;2.58;-3.99;5.81;0.18;-1.00;0.97;4;6;10;19;10;60.00;44.83;42.86;33.33;63.64;-0.13;-0.28;0.18;1.12;0.96;0.45;0.45;-1.28;1.41;2.69;1.25;03/07/2017;11/08/2017;30;28.12;31.67;36.67;63.33;11;19;4.41;2.06;18;0;20;8;2;5;0.05;0.33;0.71;0.94;0.86
BBDC4;4;-0.78;-0.61;-0.17;10.48;9.30;10.09;-0.33;-0.09;0.61;-0.03;-5.03;4.25;-0.06;-0.72;0.71;7;6;13;16;13;46.15;34.48;38.71;33.33;36.36;-0.72;-1.55;-0.06;0.87;0.71;-0.21;-0.21;-1.28;1.25;2.53;0.76;03/07/2017;11/08/2017;30;28.12;31.67;36.67;63.33;11;19;4.41;2.06;18;0;20;8;2;5;0.38;0.99;0.23;0.71;0.67
BBDC4;5;2.88;2.24;0.63;10.48;9.30;6.43;4.60;-0.04;2.32;3.63;-3.71;6.58;0.24;-0.93;0.82;4;8;12;17;12;66.67;51.72;53.33;44.44;63.64;0.11;0.23;0.24;0.97;0.81;0.41;0.41;-1.26;1.41;2.67;0.93;03/07/2017;11/08/2017;30;28.12;31.67;36.67;63.33;11;19;4.41;2.06;18;0;20;8;2;5;0.18;0.44;0.80;0.93;0.78
BBDC4;6;4.24;3.31;0.93;10.48;9.30;5.06;7.56;1.39;3.89;5.00;-1.28;5.52;0.61;-1.28;0.92;1;6;7;22;7;85.71;55.17;48.00;33.33;90.91;0.42;0.89;0.61;0.92;0.66;1.10;1.10;-1.28;1.25;2.53;0.84;03/07/2017;11/08/2017;30;28.12;31.67;36.67;63.33;11;19;4.41;2.06;18;0;20;8;2;5;0.02;0.08;0.48;0.41;0.20
BBDC4;7;0.40;0.31;0.09;10.48;9.30;8.90;4.02;-0.29;0.41;1.15;-4.86;5.25;0.03;-0.81;0.75;6;7;13;16;13;53.85;41.38;45.16;38.89;45.45;-0.45;-0.97;0.03;0.92;0.78;0.10;0.10;-1.28;1.25;2.53;0.84;03/07/2017;11/08/2017;30;28.12;31.67;36.67;63.33;11;19;4.41;2.06;18;0;20;8;2;5;0.28;0.99;0.36;0.82;0.78
BBDC4;8;3.49;2.72;0.77;10.48;9.30;5.82;4.08;2.94;4.14;4.24;-2.13;5.61;0.29;-0.53;0.70;4;8;12;17;12;66.67;51.72;53.33;44.44;63.64;0.24;0.52;0.29;0.72;0.60;0.29;0.29;-0.90;1.25;2.15;0.52;03/07/2017;11/08/2017;30;28.12;31.67;36.67;63.33;11;19;4.41;2.06;18;0;20;8;2;5;0.65;0.63;0.92;0.96;0.91
BBDC4;9;0.34;0.26;0.07;10.48;9.30;8.96;8.31;-0.75;0.35;1.09;-2.75;3.09;0.05;-0.92;0.77;3;4;7;22;7;57.14;41.38;32.00;22.22;72.73;-0.47;-1.00;0.05;1.04;0.83;0.10;0.10;-1.28;1.25;2.53;1.07;03/07/2017;11/08/2017;30;28.12;31.67;36.67;63.33;11;19;4.41;2.06;18;0;20;8;2;5;0.34;0.97;0.51;0.53;0.39
BBDC4;10;17.47;13.62;3.84;10.48;9.30;-8.16;4.05;8.67;15.74;18.68;0.00;17.47;0.97;0.00;0.97;0;18;18;11;18;100.00;100.00;100.00;100.00;100.00;3.41;7.30;0.97;0.46;0.38;1.12;1.12;0.10;1.74;1.64;0.21;03/07/2017;11/08/2017;30;28.12;31.67;36.67;63.33;11;19;4.41;2.06;18;0;20;8;2;5;0.56;0.00;0.01;0.00;0.00
