ativo;classificador;RetornoBruto;RetornoLiquido;CustoOperacional;BuyAndHoldP;comprarSempreP;IndInversoP;IndAleatorioP;indAlvo05P;indAlvo1P;indAlvo2P;perdaP;ganhoP;retornoMedioP;perdaMediaP;ganhoMedioP ;qtdePerda;qtdeGanho ;qtdeTotal ;qtdeClasse0 ;qtdeClasse1 ;precisao;acuracia;f1score;recall;specificity;sharpe;sortino;media;desvioPadrao;desvioAbsoluto;mediana;quantil;minimo;maximo;amplitude;variancia; DataInicial; DataFinal; QtdeDias; PrecoInicial; PrecoFinal; Classe0; Classe1; QtdeClasse0;QtdeClasse1;volatilidade;volatilidadeDowsid;qtdeD3_caiu;qtdeD3_estavel;qtdeD3_subiu;qtdeRompimento;qtdeCorrecao;qtdeContraTendencia;ShapiroWilk;KolmogorovSmirnov;Tstudent;Anova;kruskalWallis
BRAP4;1;1.61;1.26;0.35;12.13;5.34;3.72;8.99;-1.64;-1.60;-1.24;-13.01;14.63;0.08;-1.45;1.46;9;10;19;10;19;52.63;51.72;58.82;66.67;35.71;-0.12;-0.21;0.08;1.89;1.45;0.33;0.33;-3.61;3.95;7.56;3.55;03/07/2017;11/08/2017;30;20.67;23.69;46.67;53.33;14;16;6.41;3.78;15;0;16;7;3;3;1.00;0.59;0.86;0.88;0.97
BRAP4;2;4.76;3.71;1.05;12.13;5.34;0.58;7.71;-3.04;0.04;1.07;-13.47;18.23;0.23;-1.35;1.66;10;11;21;8;21;52.38;51.72;61.11;73.33;28.57;0.37;0.62;0.23;2.01;1.50;0.33;0.33;-3.64;3.95;7.59;4.05;03/07/2017;11/08/2017;30;20.67;23.69;46.67;53.33;14;16;6.41;3.78;15;0;16;7;3;3;0.52;0.19;0.94;0.85;0.65
BRAP4;3;1.24;0.97;0.27;12.13;5.34;4.10;6.24;-1.09;-2.55;-1.62;-10.96;12.20;0.10;-1.83;1.74;6;7;13;16;13;53.85;51.72;50.00;46.67;57.14;-0.18;-0.31;0.09;2.22;1.78;0.33;0.33;-3.61;3.95;7.56;4.94;03/07/2017;11/08/2017;30;20.67;23.69;46.67;53.33;14;16;6.41;3.78;15;0;16;7;3;3;1.00;0.27;0.89;0.96;0.98
BRAP4;4;3.29;2.57;0.72;12.13;5.34;2.05;2.97;-3.75;-1.35;0.43;-8.53;11.82;0.25;-1.42;1.69;6;7;13;16;13;53.85;51.72;50.00;46.67;57.14;0.14;0.23;0.25;2.11;1.55;0.33;0.33;-3.61;3.95;7.56;4.47;03/07/2017;11/08/2017;30;20.67;23.69;46.67;53.33;14;16;6.41;3.78;15;0;16;7;3;3;0.94;0.57;0.91;0.97;0.99
BRAP4;5;4.84;3.77;1.06;12.13;5.34;0.50;9.11;-0.75;-0.21;1.15;-12.62;17.46;0.25;-1.58;1.59;8;11;19;10;19;57.89;58.62;64.71;73.33;42.86;0.38;0.64;0.25;1.98;1.54;0.37;0.37;-3.61;3.95;7.56;3.93;03/07/2017;11/08/2017;30;20.67;23.69;46.67;53.33;14;16;6.41;3.78;15;0;16;7;3;3;1.00;0.26;0.90;0.88;0.74
BRAP4;6;4.84;3.77;1.06;12.13;5.34;0.50;1.15;-0.75;-0.21;1.15;-12.62;17.46;0.25;-1.58;1.59;8;11;19;10;19;57.89;58.62;64.71;73.33;42.86;0.38;0.64;0.25;1.98;1.54;0.37;0.37;-3.61;3.95;7.56;3.93;03/07/2017;11/08/2017;30;20.67;23.69;46.67;53.33;14;16;6.41;3.78;15;0;16;7;3;3;1.00;0.26;0.90;1.00;0.85
BRAP4;7;1.17;0.91;0.26;12.13;5.34;4.17;-6.40;-1.34;-1.52;-1.69;-11.93;13.10;0.07;-1.70;1.46;7;9;16;13;16;56.25;55.17;58.06;60.00;50.00;-0.19;-0.33;0.07;2.02;1.56;0.35;0.35;-3.61;3.95;7.56;4.08;03/07/2017;11/08/2017;30;20.67;23.69;46.67;53.33;14;16;6.41;3.78;15;0;16;7;3;3;0.99;0.45;0.85;0.92;0.91
BRAP4;8;-4.97;-3.88;-1.09;12.13;5.34;10.31;0.85;-6.40;-8.76;-7.83;-16.27;11.29;-0.31;-1.63;1.88;10;6;16;13;16;37.50;34.48;38.71;40.00;28.57;-1.15;-1.95;-0.31;2.19;1.69;-0.34;-0.34;-3.64;3.95;7.59;4.80;03/07/2017;11/08/2017;30;20.67;23.69;46.67;53.33;14;16;6.41;3.78;15;0;16;7;3;3;0.91;0.16;0.42;0.52;0.77
BRAP4;9;-0.80;-0.63;-0.18;12.13;5.34;6.14;3.20;-2.75;-4.12;-3.66;-12.62;11.82;-0.05;-1.58;1.69;8;7;15;14;15;46.67;44.83;46.67;46.67;42.86;-0.50;-0.85;-0.05;2.08;1.63;-0.28;-0.28;-3.61;3.95;7.56;4.33;03/07/2017;11/08/2017;30;20.67;23.69;46.67;53.33;14;16;6.41;3.78;15;0;16;7;3;3;1.00;0.36;0.70;0.95;0.99
BRAP4;10;22.99;17.93;5.06;12.13;5.34;-17.65;8.23;7.50;13.50;19.30;0.00;22.99;1.53;0.00;1.53;0;15;15;14;15;100.00;100.00;100.00;100.00;100.00;3.21;5.45;1.53;1.06;0.81;1.53;1.53;0.33;3.95;3.62;1.12;03/07/2017;11/08/2017;30;20.67;23.69;46.67;53.33;14;16;6.41;3.78;15;0;16;7;3;3;0.17;0.00;0.01;0.00;0.00
