classificador;data;sinalcompra;acertou;openprice;closeprice;vlrcompra;vlrvenda;lucrobrutoR;impostorendaR;custotransacaoR;lucroliquidoR;lucrobrutoP;lucroliquidoP;custotransacaoP;custotransacaoAcumuladoP;lucrobrutoAcumuladoP;lucroliquidoAcumuladoP;evolucaoCapitalR;impostoRendaAcumuladoR
7;20170704;1;S;34.24;34.34;34240.00;34340.00;100.00;16.40;34.41;65.59;0.29;0.23;0.06;0.06;0.29;0.23;65.59;16.40
7;20170713;1;S;35.62;36.12;35620.00;36120.00;500.00;96.26;114.94;385.06;1.40;1.09;0.31;0.37;1.70;1.32;450.65;112.66
7;20170714;1;S;36.40;38.00;36400.00;38000.00;1600.00;316.12;335.50;1264.50;4.40;3.43;0.97;1.34;6.09;4.75;1715.14;428.79
7;20170717;1;S;37.90;38.26;37900.00;38260.00;360.00;68.10;87.58;272.42;0.95;0.74;0.21;1.55;7.04;5.49;1987.56;496.89
7;20170718;1;S;38.85;39.26;38850.00;39260.00;410.00;78.03;97.88;312.12;1.06;0.82;0.23;1.78;8.10;6.32;2299.68;574.92
7;20170719;1;S;39.45;39.88;39450.00;39880.00;430.00;81.98;102.06;327.94;1.09;0.85;0.24;2.02;9.19;7.17;2627.62;656.90
7;20170720;1;N;39.87;38.85;39870.00;38850.00;-1020.00;0.00;0.00;-1039.70;-2.56;-2.00;-0.56;1.46;6.63;5.17;1587.92;656.90
7;20170721;1;N;38.83;38.24;38830.00;38240.00;-590.00;0.00;0.00;-609.47;-1.52;-1.19;-0.33;1.12;5.11;3.98;978.46;656.90
7;20170724;1;S;38.08;38.51;38080.00;38510.00;430.00;82.09;101.66;328.34;1.13;0.88;0.25;1.37;6.24;4.87;1306.80;738.99
7;20170725;1;N;38.60;38.43;38600.00;38430.00;-170.00;0.00;0.00;-189.54;-0.44;-0.34;-0.10;1.28;5.80;4.52;1117.26;738.99
7;20170726;1;N;38.67;38.00;38670.00;38000.00;-670.00;0.00;0.00;-689.38;-1.73;-1.35;-0.38;0.89;4.06;3.17;427.88;738.99
7;20170728;1;N;37.74;37.31;37740.00;37310.00;-430.00;0.00;0.00;-449.12;-1.14;-0.89;-0.25;0.64;2.93;2.28;-21.24;738.99
7;20170731;1;S;37.15;37.38;37150.00;37380.00;230.00;42.17;61.32;168.68;0.62;0.48;0.14;0.78;3.54;2.76;147.44;781.16
7;20170801;1;S;37.49;38.86;37490.00;38860.00;1370.00;270.06;289.76;1080.24;3.65;2.85;0.80;1.58;7.20;5.62;1227.68;1051.22
7;20170810;1;S;37.58;37.73;37580.00;37730.00;150.00;26.14;45.42;104.58;0.40;0.31;0.09;1.67;7.60;5.93;1332.26;1077.37
