classificador;data;sinalcompra;acertou;openprice;closeprice;vlrcompra;vlrvenda;lucrobrutoR;impostorendaR;custotransacaoR;lucroliquidoR;lucrobrutoP;lucroliquidoP;custotransacaoP;custotransacaoAcumuladoP;lucrobrutoAcumuladoP;lucroliquidoAcumuladoP;evolucaoCapitalR;impostoRendaAcumuladoR
7;20170704;1;N;13.56;13.55;13560.00;13550.00;-10.00;0.00;0.00;-20.27;-0.07;-0.06;-0.02;-0.02;-0.07;-0.06;-20.27;0.00
7;20170705;1;N;13.62;13.39;13620.00;13390.00;-230.00;0.00;0.00;-240.21;-1.69;-1.32;-0.37;-0.39;-1.76;-1.37;-260.48;0.00
7;20170707;1;S;13.51;13.69;13510.00;13690.00;180.00;0.00;10.32;169.68;1.33;1.04;0.29;-0.09;-0.43;-0.34;-90.80;0.00
7;20170710;1;S;13.70;14.05;13700.00;14050.00;350.00;55.91;66.36;283.64;2.55;1.99;0.56;0.47;2.12;1.66;192.84;55.91
7;20170711;1;S;14.00;14.49;14000.00;14490.00;490.00;95.88;106.50;383.50;3.50;2.73;0.77;1.24;5.62;4.39;576.34;151.79
7;20170713;1;N;14.66;14.37;14660.00;14370.00;-290.00;0.00;0.00;-300.57;-1.98;-1.54;-0.44;0.80;3.65;2.84;275.77;151.79
7;20170714;1;S;14.41;14.59;14410.00;14590.00;180.00;33.87;44.53;135.47;1.25;0.97;0.27;1.08;4.90;3.82;411.24;185.65
7;20170717;1;N;14.70;14.70;14700.00;14700.00;0.00;0.00;0.00;-10.70;0.00;0.00;0.00;1.08;4.90;3.82;400.55;185.65
7;20170718;1;N;14.75;14.49;14750.00;14490.00;-260.00;0.00;0.00;-270.62;-1.76;-1.37;-0.39;0.69;3.13;2.44;129.93;185.65
7;20170724;1;S;14.52;14.72;14520.00;14720.00;200.00;37.86;48.56;151.44;1.38;1.07;0.30;0.99;4.51;3.52;281.36;223.51
7;20170727;1;N;14.30;14.17;14300.00;14170.00;-130.00;0.00;0.00;-140.50;-0.91;-0.71;-0.20;0.79;3.60;2.81;140.86;223.51
7;20170728;1;S;14.20;14.63;14200.00;14630.00;430.00;83.87;94.54;335.46;3.03;2.36;0.67;1.46;6.63;5.17;476.33;307.38
7;20170731;1;S;14.64;14.84;14640.00;14840.00;200.00;37.85;48.60;151.40;1.37;1.07;0.30;1.76;8.00;6.24;627.73;345.23
7;20170804;1;N;15.36;15.27;15360.00;15270.00;-90.00;0.00;0.00;-100.91;-0.59;-0.46;-0.13;1.63;7.41;5.78;526.82;345.23
7;20170807;1;S;15.28;15.38;15280.00;15380.00;100.00;17.81;28.76;71.24;0.65;0.51;0.14;1.77;8.06;6.29;598.06;363.04
