classificador;data;sinalcompra;acertou;openprice;closeprice;vlrcompra;vlrvenda;lucrobrutoR;impostorendaR;custotransacaoR;lucroliquidoR;lucrobrutoP;lucroliquidoP;custotransacaoP;custotransacaoAcumuladoP;lucrobrutoAcumuladoP;lucroliquidoAcumuladoP;evolucaoCapitalR;impostoRendaAcumuladoR
7;20170703;1;S;19.83;19.84;19830.00;19840.00;10.00;-0.52;12.09;-2.09;0.05;0.04;0.01;0.01;0.05;0.04;-2.09;-0.52
7;20170704;1;S;19.81;19.82;19810.00;19820.00;10.00;-0.52;12.08;-2.08;0.05;0.04;0.01;0.02;0.10;0.08;-4.17;-1.04
7;20170713;1;S;20.45;20.53;20450.00;20530.00;80.00;13.43;26.30;53.70;0.39;0.31;0.09;0.11;0.49;0.38;49.53;12.38
7;20170717;1;N;20.66;20.57;20660.00;20570.00;-90.00;0.00;0.00;-102.88;-0.44;-0.34;-0.10;0.01;0.06;0.04;-53.35;12.38
7;20170718;1;S;20.56;20.62;20560.00;20620.00;60.00;9.42;22.32;37.68;0.29;0.23;0.06;0.08;0.35;0.27;-15.68;21.80
7;20170719;1;S;20.57;20.78;20570.00;20780.00;210.00;39.41;52.37;157.63;1.02;0.80;0.22;0.30;1.37;1.07;141.95;61.21
7;20170720;1;S;20.71;20.80;20710.00;20800.00;90.00;15.41;28.38;61.62;0.43;0.34;0.10;0.40;1.80;1.41;203.58;76.62
7;20170721;1;S;20.78;21.00;20780.00;21000.00;220.00;41.39;54.44;165.56;1.06;0.83;0.23;0.63;2.86;2.23;369.14;118.01
7;20170724;1;N;21.00;20.85;21000.00;20850.00;-150.00;0.00;0.00;-162.99;-0.71;-0.56;-0.16;0.47;2.15;1.68;206.15;118.01
7;20170725;1;N;20.80;20.71;20800.00;20710.00;-90.00;0.00;0.00;-102.94;-0.43;-0.34;-0.10;0.38;1.72;1.34;103.22;118.01
7;20170726;1;N;20.85;20.72;20850.00;20720.00;-130.00;0.00;0.00;-142.94;-0.62;-0.49;-0.14;0.24;1.09;0.85;-39.72;118.01
7;20170727;1;N;20.70;20.70;20700.00;20700.00;0.00;0.00;0.00;-12.93;0.00;0.00;0.00;0.24;1.09;0.85;-52.66;118.01
7;20170804;1;S;21.14;21.50;21140.00;21500.00;360.00;69.35;82.58;277.42;1.70;1.33;0.37;0.61;2.79;2.18;224.76;187.36
7;20170809;1;S;21.02;21.10;21020.00;21100.00;80.00;13.38;26.47;53.53;0.38;0.30;0.08;0.70;3.18;2.48;278.29;200.74
