classificador;data;sinalcompra;acertou;openprice;closeprice;vlrcompra;vlrvenda;lucrobrutoR;impostorendaR;custotransacaoR;lucroliquidoR;lucrobrutoP;lucroliquidoP;custotransacaoP;custotransacaoAcumuladoP;lucrobrutoAcumuladoP;lucroliquidoAcumuladoP;evolucaoCapitalR;impostoRendaAcumuladoR
7;20170705;1;N;16.86;16.68;16860.00;16680.00;-180.00;0.00;0.00;-191.44;-1.07;-0.83;-0.23;-0.23;-1.07;-0.83;-191.44;0.00
7;20170706;1;N;16.74;16.71;16740.00;16710.00;-30.00;0.00;0.00;-41.45;-0.18;-0.14;-0.04;-0.27;-1.25;-0.97;-232.88;0.00
7;20170707;1;S;16.71;16.90;16710.00;16900.00;190.00;0.00;11.52;178.48;1.14;0.89;0.25;-0.02;-0.11;-0.09;-54.40;0.00
7;20170710;1;S;16.92;17.00;16920.00;17000.00;80.00;9.69;21.24;58.76;0.47;0.37;0.10;0.08;0.36;0.28;4.36;9.69
7;20170711;1;S;17.12;17.26;17120.00;17260.00;140.00;25.67;37.32;102.68;0.82;0.64;0.18;0.26;1.18;0.92;107.04;35.36
7;20170714;1;S;17.74;17.81;17740.00;17810.00;70.00;11.63;23.48;46.52;0.39;0.31;0.09;0.35;1.58;1.23;153.55;46.99
7;20170717;1;S;17.72;17.77;17720.00;17770.00;50.00;7.63;19.47;30.53;0.28;0.22;0.06;0.41;1.86;1.45;184.08;54.62
7;20170718;1;N;17.99;17.64;17990.00;17640.00;-350.00;0.00;0.00;-361.79;-1.95;-1.52;-0.43;-0.02;-0.09;-0.07;-177.71;54.62
7;20170719;1;N;17.74;17.50;17740.00;17500.00;-240.00;0.00;0.00;-251.74;-1.35;-1.06;-0.30;-0.32;-1.44;-1.12;-429.45;54.62
7;20170720;1;S;17.55;17.65;17550.00;17650.00;100.00;0.00;11.80;88.20;0.57;0.44;0.13;-0.19;-0.87;-0.68;-341.25;54.62
7;20170721;1;N;17.62;17.60;17620.00;17600.00;-20.00;0.00;0.00;-31.78;-0.11;-0.09;-0.02;-0.22;-0.98;-0.77;-373.03;54.62
7;20170724;1;N;17.71;17.25;17710.00;17250.00;-460.00;0.00;0.00;-471.65;-2.60;-2.03;-0.57;-0.79;-3.58;-2.79;-844.68;54.62
7;20170726;1;N;17.05;17.05;17050.00;17050.00;0.00;0.00;0.00;-11.57;0.00;0.00;0.00;-0.79;-3.58;-2.79;-856.25;54.62
7;20170727;1;S;16.97;17.06;16970.00;17060.00;90.00;0.00;11.58;78.42;0.53;0.41;0.12;-0.67;-3.05;-2.38;-777.82;54.62
7;20170728;1;N;17.14;17.08;17140.00;17080.00;-60.00;0.00;0.00;-71.58;-0.35;-0.27;-0.08;-0.75;-3.40;-2.65;-849.41;54.62
7;20170731;1;S;17.15;17.36;17150.00;17360.00;210.00;0.00;11.69;198.31;1.22;0.96;0.27;-0.48;-2.18;-1.70;-651.10;54.62
7;20170801;1;N;17.35;17.25;17350.00;17250.00;-100.00;0.00;0.00;-111.65;-0.58;-0.45;-0.13;-0.61;-2.75;-2.15;-762.74;54.62
7;20170803;1;N;17.16;17.00;17160.00;17000.00;-160.00;0.00;0.00;-171.55;-0.93;-0.73;-0.21;-0.81;-3.69;-2.88;-934.30;54.62
