classificador;data;sinalcompra;acertou;openprice;closeprice;vlrcompra;vlrvenda;lucrobrutoR;impostorendaR;custotransacaoR;lucroliquidoR;lucrobrutoP;lucroliquidoP;custotransacaoP;custotransacaoAcumuladoP;lucrobrutoAcumuladoP;lucroliquidoAcumuladoP;evolucaoCapitalR;impostoRendaAcumuladoR
7;20170704;1;S;15.44;15.49;15440.00;15490.00;50.00;7.80;18.79;31.21;0.32;0.25;0.07;0.07;0.32;0.25;31.21;7.80
7;20170705;1;S;15.32;15.74;15320.00;15740.00;420.00;81.78;92.87;327.13;2.74;2.14;0.60;0.67;3.07;2.39;358.34;89.58
7;20170706;1;N;15.80;15.57;15800.00;15570.00;-230.00;0.00;0.00;-241.02;-1.46;-1.14;-0.32;0.35;1.61;1.26;117.32;89.58
7;20170707;1;N;15.57;15.57;15570.00;15570.00;0.00;0.00;0.00;-11.02;0.00;0.00;0.00;0.35;1.61;1.26;106.30;89.58
7;20170710;1;N;15.58;15.58;15580.00;15580.00;0.00;0.00;0.00;-11.03;0.00;0.00;0.00;0.35;1.61;1.26;95.27;89.58
7;20170711;1;S;15.67;15.69;15670.00;15690.00;20.00;1.79;12.85;7.15;0.13;0.10;0.03;0.38;1.74;1.36;102.42;91.37
7;20170718;1;N;15.96;15.75;15960.00;15750.00;-210.00;0.00;0.00;-221.09;-1.32;-1.03;-0.29;0.09;0.42;0.33;-118.67;91.37
7;20170719;1;S;15.76;15.92;15760.00;15920.00;160.00;29.77;40.92;119.08;1.02;0.79;0.22;0.32;1.44;1.12;0.41;121.14
7;20170720;1;S;15.96;16.35;15960.00;16350.00;390.00;75.74;87.05;302.95;2.44;1.91;0.54;0.85;3.88;3.03;303.36;196.88
7;20170721;1;N;16.46;16.40;16460.00;16400.00;-60.00;0.00;0.00;-71.33;-0.36;-0.28;-0.08;0.77;3.52;2.74;232.03;196.88
7;20170801;1;S;15.52;16.10;15520.00;16100.00;580.00;113.76;124.98;455.02;3.74;2.91;0.82;1.60;7.25;5.66;687.05;310.63
7;20170809;1;S;15.90;16.08;15900.00;16080.00;180.00;33.76;44.97;135.03;1.13;0.88;0.25;1.84;8.39;6.54;822.08;344.39
7;20170810;1;S;16.02;16.15;16020.00;16150.00;130.00;23.75;34.99;95.01;0.81;0.63;0.18;2.02;9.20;7.17;917.09;368.15
