classificador;data;sinalcompra;acertou;openprice;closeprice;vlrcompra;vlrvenda;lucrobrutoR;impostorendaR;custotransacaoR;lucroliquidoR;lucrobrutoP;lucroliquidoP;custotransacaoP;custotransacaoAcumuladoP;lucrobrutoAcumuladoP;lucroliquidoAcumuladoP;evolucaoCapitalR;impostoRendaAcumuladoR
7;20170705;1;S;8.33;8.55;8330.00;8550.00;220.00;42.32;50.72;169.28;2.64;2.06;0.58;0.58;2.64;2.06;169.28;42.32
7;20170706;1;N;8.60;8.32;8600.00;8320.00;-280.00;0.00;0.00;-288.32;-3.26;-2.54;-0.72;-0.14;-0.61;-0.48;-119.04;42.32
7;20170710;1;S;8.53;8.65;8530.00;8650.00;120.00;10.31;18.75;101.25;1.41;1.10;0.31;0.17;0.79;0.62;-17.80;52.63
7;20170711;1;S;8.70;8.82;8700.00;8820.00;120.00;22.30;30.81;89.19;1.38;1.08;0.30;0.48;2.17;1.69;71.40;74.93
7;20170724;1;N;8.92;8.85;8920.00;8850.00;-70.00;0.00;0.00;-78.52;-0.78;-0.61;-0.17;0.31;1.39;1.08;-7.12;74.93
7;20170725;1;N;8.88;8.60;8880.00;8600.00;-280.00;0.00;0.00;-288.42;-3.15;-2.46;-0.69;-0.39;-1.77;-1.38;-295.55;74.93
7;20170726;1;N;8.60;8.44;8600.00;8440.00;-160.00;0.00;0.00;-168.36;-1.86;-1.45;-0.41;-0.80;-3.63;-2.83;-463.91;74.93
7;20170727;1;S;8.40;8.44;8400.00;8440.00;40.00;0.00;8.36;31.64;0.48;0.37;0.10;-0.69;-3.15;-2.46;-432.28;74.93
7;20170728;1;N;8.52;8.52;8520.00;8520.00;0.00;0.00;0.00;-8.39;0.00;0.00;0.00;-0.69;-3.15;-2.46;-440.67;74.93
7;20170731;1;N;8.52;8.49;8520.00;8490.00;-30.00;0.00;0.00;-38.38;-0.35;-0.27;-0.08;-0.77;-3.50;-2.73;-479.05;74.93
7;20170801;1;S;8.50;8.69;8500.00;8690.00;190.00;0.00;8.46;181.54;2.24;1.74;0.49;-0.28;-1.27;-0.99;-297.51;74.93
7;20170802;1;S;8.69;8.80;8690.00;8800.00;110.00;0.00;8.50;101.50;1.27;0.99;0.28;-0.00;-0.00;-0.00;-196.01;74.93
7;20170810;1;N;8.25;8.13;8250.00;8130.00;-120.00;0.00;0.00;-128.25;-1.45;-1.13;-0.32;-0.32;-1.46;-1.14;-324.26;74.93
