ativo;classificador;RetornoBruto;RetornoLiquido;CustoOperacional;BuyAndHoldP;comprarSempreP;IndInversoP;IndAleatorioP;indAlvo05P;indAlvo1P;indAlvo2P;perdaP;ganhoP;retornoMedioP;perdaMediaP;ganhoMedioP ;qtdePerda;qtdeGanho ;qtdeTotal ;qtdeClasse0 ;qtdeClasse1 ;precisao;acuracia;f1score;recall;specificity;sharpe;sortino;media;desvioPadrao;desvioAbsoluto;mediana;quantil;minimo;maximo;amplitude;variancia; DataInicial; DataFinal; QtdeDias; PrecoInicial; PrecoFinal; Classe0; Classe1; QtdeClasse0;QtdeClasse1;volatilidade;volatilidadeDowsid;qtdeD3_caiu;qtdeD3_estavel;qtdeD3_subiu;qtdeRompimento;qtdeCorrecao;qtdeContraTendencia;ShapiroWilk;KolmogorovSmirnov;Tstudent;Anova;kruskalWallis
CPLE6;1;-2.18;-1.70;-0.48;4.98;-2.11;0.07;-6.03;-4.84;-3.84;-1.84;-5.84;3.66;-0.36;-1.46;1.83;4;2;6;23;6;33.33;51.72;22.22;16.67;76.47;-0.67;-1.21;-0.37;1.93;1.51;-0.48;-0.48;-2.66;1.89;4.55;3.71;03/07/2017;11/08/2017;30;25.00;26.50;56.67;43.33;17;13;6.85;3.78;10;0;9;9;3;5;0.39;0.48;0.71;0.93;0.96
CPLE6;2;-0.54;-0.42;-0.12;4.98;-2.11;-1.56;0.95;-7.30;-4.80;-3.10;-9.91;9.37;-0.05;-1.42;2.34;7;4;11;18;11;36.36;48.28;34.78;33.33;58.82;-0.43;-0.78;-0.05;2.24;1.74;-0.23;-0.23;-3.07;4.00;7.07;5.04;03/07/2017;11/08/2017;30;25.00;26.50;56.67;43.33;17;13;6.85;3.78;10;0;9;9;3;5;0.77;0.38;0.97;0.91;0.99
CPLE6;3;2.84;2.21;0.62;4.98;-2.11;-4.95;-5.01;-2.12;-0.62;2.38;-3.62;6.45;0.47;-1.21;2.15;3;3;6;23;6;50.00;58.62;33.33;25.00;82.35;0.06;0.11;0.47;2.04;1.68;0.77;0.77;-2.66;2.79;5.45;4.16;03/07/2017;11/08/2017;30;25.00;26.50;56.67;43.33;17;13;6.85;3.78;10;0;9;9;3;5;0.63;0.11;0.49;0.91;0.94
CPLE6;4;0.02;0.01;0.00;4.98;-2.11;-2.13;0.28;-7.15;-3.15;-3.73;-14.22;14.24;0.00;-1.29;2.03;11;7;18;11;18;38.89;44.83;46.67;58.33;35.29;-0.35;-0.63;-0.00;2.05;1.58;-0.17;-0.17;-3.07;4.00;7.07;4.18;03/07/2017;11/08/2017;30;25.00;26.50;56.67;43.33;17;13;6.85;3.78;10;0;9;9;3;5;0.49;0.22;0.89;0.99;0.99
CPLE6;5;2.93;2.29;0.65;4.98;-2.11;-5.04;-8.68;0.27;1.27;3.27;-0.73;3.66;0.98;-0.73;1.83;1;2;3;26;3;66.67;62.07;26.67;16.67;94.12;0.08;0.14;0.98;1.48;1.14;1.77;1.77;-0.73;1.89;2.62;2.19;03/07/2017;11/08/2017;30;25.00;26.50;56.67;43.33;17;13;6.85;3.78;10;0;9;9;3;5;0.08;0.11;0.31;0.53;0.40
CPLE6;6;3.90;3.05;0.86;4.98;-2.11;-6.01;-0.38;-2.32;1.68;0.95;-8.29;12.19;0.30;-1.38;1.74;6;7;13;16;13;53.85;62.07;56.00;58.33;64.71;0.22;0.40;0.30;2.02;1.58;0.15;0.15;-2.66;4.00;6.66;4.07;03/07/2017;11/08/2017;30;25.00;26.50;56.67;43.33;17;13;6.85;3.78;10;0;9;9;3;5;0.83;0.25;0.54;0.94;0.81
CPLE6;7;4.75;3.70;1.04;4.98;-2.11;-6.85;1.99;1.04;3.04;3.08;-2.92;7.66;0.79;-0.97;2.55;3;3;6;23;6;50.00;58.62;33.33;25.00;82.35;0.34;0.62;0.79;2.16;1.76;0.77;0.77;-1.96;4.00;5.96;4.68;03/07/2017;11/08/2017;30;25.00;26.50;56.67;43.33;17;13;6.85;3.78;10;0;9;9;3;5;0.84;0.11;0.29;0.59;0.60
CPLE6;8;1.14;0.89;0.25;4.98;-2.11;-3.25;4.02;-3.34;0.66;-2.05;-9.31;10.45;0.10;-1.86;1.49;5;7;12;17;12;58.33;65.52;58.33;58.33;70.59;-0.18;-0.33;0.10;2.18;1.63;0.21;0.21;-3.07;4.00;7.07;4.77;03/07/2017;11/08/2017;30;25.00;26.50;56.67;43.33;17;13;6.85;3.78;10;0;9;9;3;5;0.71;0.51;0.79;0.97;0.77
CPLE6;9;0.05;0.04;0.01;4.98;-2.11;-2.16;-3.02;-2.62;-1.62;0.38;-3.62;3.66;0.01;-1.21;1.83;3;2;5;24;5;40.00;55.17;23.53;16.67;82.35;-0.34;-0.62;0.01;1.90;1.46;-0.23;-0.23;-2.66;1.89;4.55;3.59;03/07/2017;11/08/2017;30;25.00;26.50;56.67;43.33;17;13;6.85;3.78;10;0;9;9;3;5;0.50;0.43;0.92;1.00;1.00
CPLE6;10;17.52;13.66;3.85;4.98;-2.11;-19.63;2.17;6.00;12.00;13.77;0.00;17.52;1.46;0.00;1.46;0;12;12;17;12;100.00;100.00;100.00;100.00;100.00;2.21;4.00;1.46;1.29;1.07;0.86;0.86;0.15;4.00;3.85;1.67;03/07/2017;11/08/2017;30;25.00;26.50;56.67;43.33;17;13;6.85;3.78;10;0;9;9;3;5;0.07;0.00;0.01;0.00;0.00
