classificador;data;sinalcompra;acertou;openprice;closeprice;vlrcompra;vlrvenda;lucrobrutoR;impostorendaR;custotransacaoR;lucroliquidoR;lucrobrutoP;lucroliquidoP;custotransacaoP;custotransacaoAcumuladoP;lucrobrutoAcumuladoP;lucroliquidoAcumuladoP;evolucaoCapitalR;impostoRendaAcumuladoR
7;20170705;1;N;34.10;33.70;34100.00;33700.00;-400.00;0.00;0.00;-417.78;-1.17;-0.91;-0.26;-0.26;-1.17;-0.91;-417.78;0.00
7;20170710;1;S;33.21;33.49;33210.00;33490.00;280.00;0.00;17.70;262.30;0.84;0.66;0.19;-0.07;-0.33;-0.26;-155.48;0.00
7;20170711;1;S;33.89;34.50;33890.00;34500.00;610.00;94.39;112.46;497.54;1.80;1.40;0.40;0.32;1.47;1.15;342.07;94.39
7;20170713;1;N;35.56;35.50;35560.00;35500.00;-60.00;0.00;0.00;-78.45;-0.17;-0.13;-0.04;0.29;1.30;1.02;263.62;94.39
7;20170714;1;N;35.51;35.45;35510.00;35450.00;-60.00;0.00;0.00;-78.43;-0.17;-0.13;-0.04;0.25;1.13;0.88;185.19;94.39
7;20170717;1;N;35.50;35.40;35500.00;35400.00;-100.00;0.00;0.00;-118.41;-0.28;-0.22;-0.06;0.19;0.85;0.66;66.78;94.39
7;20170718;1;S;35.52;36.22;35520.00;36220.00;700.00;136.26;154.97;545.03;1.97;1.54;0.43;0.62;2.82;2.20;611.81;230.64
7;20170719;1;N;36.32;35.80;36320.00;35800.00;-520.00;0.00;0.00;-538.56;-1.43;-1.12;-0.31;0.31;1.39;1.08;73.25;230.64
7;20170724;1;S;35.75;35.96;35750.00;35960.00;210.00;38.28;56.89;153.11;0.59;0.46;0.13;0.43;1.98;1.54;226.35;268.92
7;20170728;1;S;35.84;36.10;35840.00;36100.00;260.00;48.27;66.94;193.06;0.73;0.57;0.16;0.59;2.70;2.11;419.42;317.18
7;20170801;1;S;35.25;35.70;35250.00;35700.00;450.00;86.30;104.82;345.18;1.28;1.00;0.28;0.88;3.98;3.10;764.60;403.48
7;20170802;1;N;35.69;35.12;35690.00;35120.00;-570.00;0.00;0.00;-588.31;-1.60;-1.25;-0.35;0.52;2.38;1.86;176.29;403.48
7;20170804;1;S;36.20;37.19;36200.00;37190.00;990.00;194.18;213.26;776.74;2.73;2.13;0.60;1.13;5.12;3.99;953.03;597.66
