ativo;classificador;RetornoBruto;RetornoLiquido;CustoOperacional;BuyAndHoldP;comprarSempreP;IndInversoP;IndAleatorioP;indAlvo05P;indAlvo1P;indAlvo2P;perdaP;ganhoP;retornoMedioP;perdaMediaP;ganhoMedioP ;qtdePerda;qtdeGanho ;qtdeTotal ;qtdeClasse0 ;qtdeClasse1 ;precisao;acuracia;f1score;recall;specificity;sharpe;sortino;media;desvioPadrao;desvioAbsoluto;mediana;quantil;minimo;maximo;amplitude;variancia; DataInicial; DataFinal; QtdeDias; PrecoInicial; PrecoFinal; Classe0; Classe1; QtdeClasse0;QtdeClasse1;volatilidade;volatilidadeDowsid;qtdeD3_caiu;qtdeD3_estavel;qtdeD3_subiu;qtdeRompimento;qtdeCorrecao;qtdeContraTendencia;ShapiroWilk;KolmogorovSmirnov;Tstudent;Anova;kruskalWallis
CSAN3;1;0.98;0.76;0.22;3.38;-0.97;-1.94;0.95;-2.40;-2.52;0.86;-9.52;10.50;0.06;-0.95;1.50;10;7;17;12;17;41.18;41.38;45.16;50.00;33.33;-0.18;-0.33;0.06;1.40;1.19;-0.17;-0.17;-1.78;2.73;4.51;1.96;03/07/2017;11/08/2017;30;34.59;36.00;50.00;50.00;15;15;7.89;4.30;20;0;12;5;1;7;0.30;0.47;0.83;0.99;1.00
CSAN3;2;0.83;0.65;0.18;3.38;-0.97;-1.80;-4.27;-2.43;-0.71;0.69;-8.71;9.54;0.06;-1.45;1.19;6;8;14;15;14;57.14;58.62;57.14;57.14;60.00;-0.20;-0.37;0.06;1.52;1.29;0.51;0.51;-2.23;2.73;4.96;2.30;03/07/2017;11/08/2017;30;34.59;36.00;50.00;50.00;15;15;7.89;4.30;20;0;12;5;1;7;0.57;0.32;0.85;0.98;0.90
CSAN3;3;4.02;3.13;0.88;3.38;-0.97;-4.98;-0.37;-1.64;-0.75;3.52;-9.75;13.77;0.21;-0.97;1.53;10;9;19;10;19;47.37;48.28;54.55;64.29;33.33;0.20;0.37;0.21;1.46;1.25;-0.17;-0.17;-1.94;2.73;4.67;2.12;03/07/2017;11/08/2017;30;34.59;36.00;50.00;50.00;15;15;7.89;4.30;20;0;12;5;1;7;0.41;0.30;0.56;0.93;0.95
CSAN3;4;9.03;7.04;1.99;3.38;-0.97;-10.00;5.82;4.04;5.83;8.50;-4.89;13.92;0.53;-0.82;1.27;6;11;17;12;17;64.71;68.97;70.97;78.57;60.00;0.84;1.54;0.53;1.24;0.96;0.59;0.59;-1.60;2.73;4.33;1.53;03/07/2017;11/08/2017;30;34.59;36.00;50.00;50.00;15;15;7.89;4.30;20;0;12;5;1;7;0.91;0.05;0.18;0.05;0.01
CSAN3;5;0.96;0.75;0.21;3.38;-0.97;-1.93;-0.15;-0.41;-2.02;0.82;-6.02;6.99;0.09;-0.86;1.75;7;4;11;18;11;36.36;41.38;32.00;28.57;53.33;-0.18;-0.34;0.09;1.47;1.21;-0.17;-0.17;-1.78;2.73;4.51;2.17;03/07/2017;11/08/2017;30;34.59;36.00;50.00;50.00;15;15;7.89;4.30;20;0;12;5;1;7;0.46;0.61;0.81;1.00;1.00
CSAN3;6;2.26;1.76;0.50;3.38;-0.97;-3.22;5.04;0.56;-0.89;2.11;-3.89;6.14;0.32;-0.97;2.05;4;3;7;22;7;42.86;48.28;28.57;21.43;73.33;-0.02;-0.04;0.32;1.72;1.48;-0.17;-0.17;-1.78;2.73;4.51;2.95;03/07/2017;11/08/2017;30;34.59;36.00;50.00;50.00;15;15;7.89;4.30;20;0;12;5;1;7;0.50;0.22;0.57;0.88;0.92
CSAN3;7;5.12;3.99;1.13;3.38;-0.97;-6.08;3.86;2.11;1.90;4.61;-4.82;9.94;0.39;-0.80;1.42;6;7;13;16;13;53.85;55.17;51.85;50.00;60.00;0.34;0.63;0.39;1.35;1.11;0.59;0.59;-1.60;2.73;4.33;1.82;03/07/2017;11/08/2017;30;34.59;36.00;50.00;50.00;15;15;7.89;4.30;20;0;12;5;1;7;0.81;0.29;0.36;0.57;0.47
CSAN3;8;8.95;6.98;1.97;3.38;-0.97;-9.92;1.87;4.30;5.59;8.42;-4.13;13.08;0.60;-0.83;1.31;5;10;15;14;15;66.67;68.97;68.97;71.43;66.67;0.83;1.52;0.60;1.27;0.96;0.59;0.59;-1.60;2.73;4.33;1.61;03/07/2017;11/08/2017;30;34.59;36.00;50.00;50.00;15;15;7.89;4.30;20;0;12;5;1;7;0.85;0.02;0.15;0.08;0.03
CSAN3;9;6.06;4.73;1.33;3.38;-0.97;-7.03;-2.24;2.33;3.49;5.92;-1.51;7.57;0.76;-0.50;1.51;3;5;8;21;8;62.50;58.62;45.45;35.71;80.00;0.46;0.85;0.76;1.26;0.99;0.71;0.71;-1.17;2.73;3.90;1.60;03/07/2017;11/08/2017;30;34.59;36.00;50.00;50.00;15;15;7.89;4.30;20;0;12;5;1;7;0.96;0.23;0.16;0.15;0.13
CSAN3;10;17.04;13.29;3.75;3.38;-0.97;-18.01;3.91;7.00;13.31;16.54;0.00;17.04;1.22;0.00;1.22;0;14;14;15;14;100.00;100.00;100.00;100.00;100.00;1.85;3.41;1.22;0.76;0.64;0.90;0.90;0.45;2.73;2.28;0.57;03/07/2017;11/08/2017;30;34.59;36.00;50.00;50.00;15;15;7.89;4.30;20;0;12;5;1;7;0.04;0.00;0.00;0.00;0.00
