classificador;data;sinalcompra;acertou;openprice;closeprice;vlrcompra;vlrvenda;lucrobrutoR;impostorendaR;custotransacaoR;lucroliquidoR;lucrobrutoP;lucroliquidoP;custotransacaoP;custotransacaoAcumuladoP;lucrobrutoAcumuladoP;lucroliquidoAcumuladoP;evolucaoCapitalR;impostoRendaAcumuladoR
7;20170704;1;N;7.22;7.06;7220.00;7060.00;-160.00;0.00;0.00;-167.85;-2.22;-1.73;-0.49;-0.49;-2.22;-1.73;-167.85;0.00
7;20170705;1;S;7.01;7.06;7010.00;7060.00;50.00;0.00;7.85;42.15;0.71;0.56;0.16;-0.33;-1.50;-1.17;-125.70;0.00
7;20170706;1;S;7.15;7.19;7150.00;7190.00;40.00;0.00;7.90;32.10;0.56;0.44;0.12;-0.21;-0.94;-0.74;-93.60;0.00
7;20170707;1;S;7.22;7.27;7220.00;7270.00;50.00;0.00;7.93;42.07;0.69;0.54;0.15;-0.06;-0.25;-0.20;-51.53;0.00
7;20170710;1;S;7.35;7.74;7350.00;7740.00;390.00;72.38;80.48;309.52;5.31;4.14;1.17;1.11;5.06;3.94;257.99;72.38
7;20170721;1;S;7.40;7.60;7400.00;7600.00;200.00;38.39;46.44;153.56;2.70;2.11;0.59;1.71;7.76;6.05;411.55;110.77
7;20170724;1;S;7.71;7.82;7710.00;7820.00;110.00;20.37;28.51;81.49;1.43;1.11;0.31;2.02;9.18;7.16;493.04;131.14
7;20170726;1;N;7.58;7.37;7580.00;7370.00;-210.00;0.00;0.00;-217.97;-2.77;-2.16;-0.61;1.41;6.41;5.00;275.07;131.14
7;20170727;1;S;7.37;7.48;7370.00;7480.00;110.00;20.40;28.41;81.59;1.49;1.16;0.33;1.74;7.91;6.17;356.67;151.54
7;20170728;1;N;7.74;7.62;7740.00;7620.00;-120.00;0.00;0.00;-128.06;-1.55;-1.21;-0.34;1.40;6.36;4.96;228.61;151.54
7;20170801;1;S;7.48;7.67;7480.00;7670.00;190.00;36.38;44.46;145.54;2.54;1.98;0.56;1.96;8.90;6.94;374.15;187.93
7;20170804;1;S;7.99;8.52;7990.00;8520.00;530.00;104.32;112.72;417.28;6.63;5.17;1.46;3.42;15.53;12.11;791.43;292.25
7;20170810;1;S;8.11;8.47;8110.00;8470.00;360.00;70.32;78.70;281.30;4.44;3.46;0.98;4.39;19.97;15.58;1072.73;362.57
