classificador;data;sinalcompra;acertou;openprice;closeprice;vlrcompra;vlrvenda;lucrobrutoR;impostorendaR;custotransacaoR;lucroliquidoR;lucrobrutoP;lucroliquidoP;custotransacaoP;custotransacaoAcumuladoP;lucrobrutoAcumuladoP;lucroliquidoAcumuladoP;evolucaoCapitalR;impostoRendaAcumuladoR
7;20170705;1;N;11.04;10.83;11040.00;10830.00;-210.00;0.00;0.00;-219.26;-1.90;-1.48;-0.42;-0.42;-1.90;-1.48;-219.26;0.00
7;20170710;1;S;10.71;11.02;10710.00;11020.00;310.00;18.13;27.46;282.54;2.89;2.26;0.64;0.22;0.99;0.77;63.28;18.13
7;20170712;1;S;11.30;11.36;11300.00;11360.00;60.00;10.11;19.56;40.44;0.53;0.41;0.12;0.34;1.52;1.19;103.72;28.24
7;20170713;1;S;11.46;11.50;11460.00;11500.00;40.00;6.10;15.60;24.40;0.35;0.27;0.08;0.41;1.87;1.46;128.12;34.34
7;20170714;1;S;11.47;11.54;11470.00;11540.00;70.00;12.10;21.62;48.38;0.61;0.48;0.13;0.55;2.48;1.94;176.50;46.44
7;20170717;1;N;11.58;11.31;11580.00;11310.00;-270.00;0.00;0.00;-279.43;-2.33;-1.82;-0.51;0.03;0.15;0.12;-102.93;46.44
7;20170718;1;S;11.34;11.44;11340.00;11440.00;100.00;18.10;27.59;72.41;0.88;0.69;0.19;0.23;1.03;0.81;-30.52;64.54
7;20170719;1;S;11.71;11.85;11710.00;11850.00;140.00;26.07;35.71;104.29;1.20;0.93;0.26;0.49;2.23;1.74;73.77;90.62
7;20170804;1;S;12.01;12.42;12010.00;12420.00;410.00;80.03;89.88;320.12;3.41;2.66;0.75;1.24;5.64;4.40;393.90;170.65
7;20170807;1;S;12.37;12.42;12370.00;12420.00;50.00;8.03;17.88;32.12;0.40;0.32;0.09;1.33;6.05;4.72;426.02;178.68
7;20170809;1;N;12.08;12.05;12080.00;12050.00;-30.00;0.00;0.00;-39.71;-0.25;-0.19;-0.05;1.28;5.80;4.52;386.31;178.68
7;20170810;1;S;11.86;12.34;11860.00;12340.00;480.00;94.04;103.85;376.15;4.05;3.16;0.89;2.17;9.85;7.68;762.45;272.71
