ativo;classificador;RetornoBruto;RetornoLiquido;CustoOperacional;BuyAndHoldP;comprarSempreP;IndInversoP;IndAleatorioP;indAlvo05P;indAlvo1P;indAlvo2P;perdaP;ganhoP;retornoMedioP;perdaMediaP;ganhoMedioP ;qtdePerda;qtdeGanho ;qtdeTotal ;qtdeClasse0 ;qtdeClasse1 ;precisao;acuracia;f1score;recall;specificity;sharpe;sortino;media;desvioPadrao;desvioAbsoluto;mediana;quantil;minimo;maximo;amplitude;variancia; DataInicial; DataFinal; QtdeDias; PrecoInicial; PrecoFinal; Classe0; Classe1; QtdeClasse0;QtdeClasse1;volatilidade;volatilidadeDowsid;qtdeD3_caiu;qtdeD3_estavel;qtdeD3_subiu;qtdeRompimento;qtdeCorrecao;qtdeContraTendencia;ShapiroWilk;KolmogorovSmirnov;Tstudent;Anova;kruskalWallis
ELET6;1;3.50;2.73;0.77;5.92;-15.76;-19.26;3.19;0.50;1.00;2.00;0.00;3.50;3.50;0.00;3.50;0;1;1;28;1;100.00;65.52;16.67;9.09;100.00;0.15;0.24;3.50;nan;0.00;3.50;3.50;3.50;3.50;0.00;nan;03/07/2017;11/08/2017;30;16.54;17.72;63.33;36.67;19;11;7.18;4.66;14;0;6;8;2;7;0.00;0.00;0.00;0.00;0.00
ELET6;2;-3.95;-3.08;-0.87;5.92;-15.76;-11.81;-7.98;-9.57;-7.81;-8.64;-19.12;15.17;-0.25;-1.91;2.53;10;6;16;13;16;37.50;48.28;44.44;54.55;44.44;-0.89;-1.36;-0.25;2.58;2.08;-0.81;-0.81;-4.16;4.18;8.34;6.64;03/07/2017;11/08/2017;30;16.54;17.72;63.33;36.67;19;11;7.18;4.66;14;0;6;8;2;7;0.59;0.04;0.71;1.00;1.00
ELET6;3;4.25;3.32;0.94;5.92;-15.76;-20.01;-2.49;1.50;3.00;2.75;-0.64;4.90;1.42;-0.64;2.45;1;2;3;26;3;66.67;65.52;28.57;18.18;94.44;0.26;0.40;1.42;2.07;1.39;1.39;1.39;-0.64;3.50;4.14;4.29;03/07/2017;11/08/2017;30;16.54;17.72;63.33;36.67;19;11;7.18;4.66;14;0;6;8;2;7;0.98;0.17;0.22;0.46;0.36
ELET6;4;-9.54;-7.44;-2.10;5.92;-15.76;-6.22;0.42;-10.01;-12.82;-12.24;-20.24;10.70;-0.73;-2.25;2.68;9;4;13;16;13;30.77;44.83;33.33;36.36;50.00;-1.66;-2.56;-0.73;2.81;2.11;-1.04;-1.04;-5.31;4.18;9.49;7.88;03/07/2017;11/08/2017;30;16.54;17.72;63.33;36.67;19;11;7.18;4.66;14;0;6;8;2;7;0.84;0.01;0.83;0.88;0.86
ELET6;5;0.00;0.00;0.00;5.92;-15.76;-15.76;2.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;0;29;0;0.00;62.07;0.00;0.00;100.00;-0.34;-0.52;nan;nan;nan;nan;nan;nan;nan;nan;nan;03/07/2017;11/08/2017;30;16.54;17.72;63.33;36.67;19;11;7.18;4.66;14;0;6;8;2;7;0.00;0.00;0.00;0.00;0.00
ELET6;6;-2.29;-1.79;-0.50;5.92;-15.76;-13.47;-8.52;-7.41;-4.64;-5.56;-14.95;12.66;-0.18;-1.87;2.53;8;5;13;16;13;38.46;51.72;41.67;45.45;55.56;-0.65;-1.01;-0.18;2.60;2.08;-0.64;-0.64;-4.16;3.50;7.66;6.77;03/07/2017;11/08/2017;30;16.54;17.72;63.33;36.67;19;11;7.18;4.66;14;0;6;8;2;7;0.37;0.15;0.67;1.00;1.00
ELET6;7;8.62;6.72;1.90;5.92;-15.76;-24.37;-6.38;-1.55;0.45;3.53;-3.55;12.17;1.23;-1.18;3.04;3;4;7;22;7;57.14;65.52;44.44;36.36;83.33;0.87;1.33;1.23;2.45;2.11;1.08;1.08;-1.36;4.18;5.54;6.02;03/07/2017;11/08/2017;30;16.54;17.72;63.33;36.67;19;11;7.18;4.66;14;0;6;8;2;7;0.09;0.11;0.11;0.30;0.59
ELET6;8;5.70;4.45;1.25;5.92;-15.76;-21.46;-16.68;-5.61;-2.61;0.62;-9.38;15.09;0.52;-1.56;3.02;6;5;11;18;11;45.45;58.62;45.45;45.45;66.67;0.46;0.71;0.52;2.62;2.27;-0.77;-0.77;-4.02;4.18;8.20;6.85;03/07/2017;11/08/2017;30;16.54;17.72;63.33;36.67;19;11;7.18;4.66;14;0;6;8;2;7;0.25;0.03;0.26;0.40;0.55
ELET6;9;3.50;2.73;0.77;5.92;-15.76;-19.26;-22.02;0.50;1.00;2.00;0.00;3.50;3.50;0.00;3.50;0;1;1;28;1;100.00;65.52;16.67;9.09;100.00;0.15;0.24;3.50;nan;0.00;3.50;3.50;3.50;3.50;0.00;nan;03/07/2017;11/08/2017;30;16.54;17.72;63.33;36.67;19;11;7.18;4.66;14;0;6;8;2;7;0.00;0.00;0.00;0.00;0.00
ELET6;10;24.37;19.01;5.36;5.92;-15.76;-40.12;2.07;5.50;10.27;18.74;0.00;24.37;2.22;0.00;2.22;0;11;11;18;11;100.00;100.00;100.00;100.00;100.00;3.06;4.71;2.21;1.21;0.97;2.12;2.12;0.27;4.18;3.91;1.46;03/07/2017;11/08/2017;30;16.54;17.72;63.33;36.67;19;11;7.18;4.66;14;0;6;8;2;7;0.82;0.00;0.00;0.00;0.00
