classificador;data;sinalcompra;acertou;openprice;closeprice;vlrcompra;vlrvenda;lucrobrutoR;impostorendaR;custotransacaoR;lucroliquidoR;lucrobrutoP;lucroliquidoP;custotransacaoP;custotransacaoAcumuladoP;lucrobrutoAcumuladoP;lucroliquidoAcumuladoP;evolucaoCapitalR;impostoRendaAcumuladoR
7;20170705;1;N;15.72;15.45;15720.00;15450.00;-270.00;0.00;0.00;-280.98;-1.72;-1.34;-0.38;-0.38;-1.72;-1.34;-280.98;0.00
7;20170706;1;N;15.54;15.46;15540.00;15460.00;-80.00;0.00;0.00;-90.98;-0.51;-0.40;-0.11;-0.49;-2.23;-1.74;-371.96;0.00
7;20170707;1;S;15.50;15.70;15500.00;15700.00;200.00;0.00;11.07;188.93;1.29;1.01;0.28;-0.21;-0.94;-0.73;-183.03;0.00
7;20170713;1;N;15.60;15.49;15600.00;15490.00;-110.00;0.00;0.00;-120.99;-0.71;-0.55;-0.16;-0.36;-1.65;-1.28;-304.02;0.00
7;20170714;1;S;15.50;15.51;15500.00;15510.00;10.00;0.00;11.00;-1.00;0.06;0.05;0.01;-0.35;-1.58;-1.23;-305.02;0.00
7;20170717;1;N;15.50;15.28;15500.00;15280.00;-220.00;0.00;0.00;-230.91;-1.42;-1.11;-0.31;-0.66;-3.00;-2.34;-535.93;0.00
7;20170718;1;S;15.31;15.36;15310.00;15360.00;50.00;0.00;10.94;39.06;0.33;0.25;0.07;-0.59;-2.68;-2.09;-496.87;0.00
7;20170719;1;S;15.35;15.50;15350.00;15500.00;150.00;0.00;11.00;139.00;0.98;0.76;0.21;-0.37;-1.70;-1.32;-357.87;0.00
7;20170720;1;S;15.50;15.60;15500.00;15600.00;100.00;0.00;11.03;88.97;0.65;0.50;0.14;-0.23;-1.05;-0.82;-268.90;0.00
7;20170721;1;S;15.62;15.64;15620.00;15640.00;20.00;0.00;11.05;8.95;0.13;0.10;0.03;-0.20;-0.93;-0.72;-259.95;0.00
7;20170804;1;S;16.00;16.29;16000.00;16290.00;290.00;25.74;37.03;252.97;1.81;1.41;0.40;0.20;0.89;0.69;-6.98;25.74
7;20170807;1;S;16.30;16.66;16300.00;16660.00;360.00;69.71;81.14;278.86;2.21;1.72;0.49;0.68;3.10;2.41;271.88;95.46
