classificador;data;sinalcompra;acertou;openprice;closeprice;vlrcompra;vlrvenda;lucrobrutoR;impostorendaR;custotransacaoR;lucroliquidoR;lucrobrutoP;lucroliquidoP;custotransacaoP;custotransacaoAcumuladoP;lucrobrutoAcumuladoP;lucroliquidoAcumuladoP;evolucaoCapitalR;impostoRendaAcumuladoR
7;20170705;1;N;14.23;14.15;14230.00;14150.00;-80.00;0.00;0.00;-90.49;-0.56;-0.44;-0.12;-0.12;-0.56;-0.44;-90.49;0.00
7;20170706;1;S;14.20;14.46;14200.00;14460.00;260.00;33.88;44.49;215.51;1.83;1.43;0.40;0.28;1.27;0.99;125.02;33.88
7;20170707;1;N;14.45;14.45;14450.00;14450.00;0.00;0.00;0.00;-10.60;0.00;0.00;0.00;0.28;1.27;0.99;114.42;33.88
7;20170710;1;N;14.49;14.36;14490.00;14360.00;-130.00;0.00;0.00;-140.57;-0.90;-0.70;-0.20;0.08;0.37;0.29;-26.15;33.88
7;20170711;1;S;14.38;14.60;14380.00;14600.00;220.00;41.87;52.53;167.47;1.53;1.19;0.34;0.42;1.90;1.48;141.32;75.75
7;20170712;1;S;14.65;14.76;14650.00;14760.00;110.00;19.86;30.58;79.42;0.75;0.59;0.17;0.58;2.65;2.07;220.74;95.60
7;20170713;1;S;14.73;14.78;14730.00;14780.00;50.00;7.85;18.58;31.42;0.34;0.26;0.07;0.66;2.99;2.33;252.16;103.46
7;20170714;1;N;14.75;14.74;14750.00;14740.00;-10.00;0.00;0.00;-20.71;-0.07;-0.05;-0.01;0.64;2.92;2.28;231.45;103.46
7;20170717;1;N;14.74;14.59;14740.00;14590.00;-150.00;0.00;0.00;-160.66;-1.02;-0.79;-0.22;0.42;1.91;1.49;70.79;103.46
7;20170718;1;N;14.66;14.54;14660.00;14540.00;-120.00;0.00;0.00;-130.64;-0.82;-0.64;-0.18;0.24;1.09;0.85;-59.84;103.46
7;20170720;1;S;14.57;14.71;14570.00;14710.00;140.00;25.86;36.56;103.44;0.96;0.75;0.21;0.45;2.05;1.60;43.59;129.32
7;20170724;1;N;14.75;14.46;14750.00;14460.00;-290.00;0.00;0.00;-300.61;-1.97;-1.53;-0.43;0.02;0.08;0.06;-257.01;129.32
7;20170802;1;S;14.50;14.55;14500.00;14550.00;50.00;7.87;18.51;31.49;0.34;0.27;0.08;0.09;0.43;0.33;-225.53;137.19
7;20170804;1;S;14.81;14.92;14810.00;14920.00;110.00;19.84;30.62;79.38;0.74;0.58;0.16;0.26;1.17;0.91;-146.15;157.03
7;20170810;1;N;14.58;14.15;14580.00;14150.00;-430.00;0.00;0.00;-440.49;-2.95;-2.30;-0.65;-0.39;-1.78;-1.39;-586.64;157.03
