classificador;data;sinalcompra;acertou;openprice;closeprice;vlrcompra;vlrvenda;lucrobrutoR;impostorendaR;custotransacaoR;lucroliquidoR;lucrobrutoP;lucroliquidoP;custotransacaoP;custotransacaoAcumuladoP;lucrobrutoAcumuladoP;lucroliquidoAcumuladoP;evolucaoCapitalR;impostoRendaAcumuladoR
7;20170703;1;S;10.30;10.36;10300.00;10360.00;60.00;10.18;19.26;40.74;0.58;0.45;0.13;0.13;0.58;0.45;40.74;10.18
7;20170704;1;S;10.40;10.59;10400.00;10590.00;190.00;36.17;45.33;144.67;1.83;1.42;0.40;0.53;2.41;1.88;185.40;46.35
7;20170705;1;S;10.48;10.73;10480.00;10730.00;250.00;48.16;57.37;192.63;2.39;1.86;0.52;1.05;4.79;3.74;378.03;94.51
7;20170706;1;N;10.83;10.76;10830.00;10760.00;-70.00;0.00;0.00;-79.23;-0.65;-0.50;-0.14;0.91;4.15;3.24;298.80;94.51
7;20170707;1;S;10.76;11.02;10760.00;11020.00;260.00;50.13;59.46;200.54;2.42;1.88;0.53;1.44;6.56;5.12;499.34;144.64
7;20170710;1;N;11.00;10.95;11000.00;10950.00;-50.00;0.00;0.00;-59.30;-0.45;-0.35;-0.10;1.34;6.11;4.77;440.04;144.64
7;20170711;1;N;11.06;11.02;11060.00;11020.00;-40.00;0.00;0.00;-49.33;-0.36;-0.28;-0.08;1.26;5.75;4.48;390.71;144.64
7;20170712;1;N;11.00;10.92;11000.00;10920.00;-80.00;0.00;0.00;-89.29;-0.73;-0.57;-0.16;1.10;5.02;3.92;301.42;144.64
7;20170717;1;N;11.08;10.83;11080.00;10830.00;-250.00;0.00;0.00;-259.26;-2.26;-1.76;-0.50;0.61;2.77;2.16;42.17;144.64
7;20170721;1;S;10.71;10.96;10710.00;10960.00;250.00;48.14;57.44;192.56;2.33;1.82;0.51;1.12;5.10;3.98;234.73;192.78
7;20170725;1;N;11.13;10.55;11130.00;10550.00;-580.00;0.00;0.00;-589.15;-5.21;-4.06;-1.15;-0.02;-0.11;-0.09;-354.43;192.78
7;20170726;1;N;10.67;10.57;10670.00;10570.00;-100.00;0.00;0.00;-109.16;-0.94;-0.73;-0.21;-0.23;-1.05;-0.82;-463.58;192.78
7;20170727;1;S;10.55;10.59;10550.00;10590.00;40.00;0.00;9.17;30.83;0.38;0.30;0.08;-0.15;-0.67;-0.52;-432.75;192.78
7;20170728;1;N;10.82;10.66;10820.00;10660.00;-160.00;0.00;0.00;-169.19;-1.48;-1.15;-0.33;-0.47;-2.15;-1.68;-601.94;192.78
7;20170809;1;S;11.34;11.46;11340.00;11460.00;120.00;0.00;9.49;110.51;1.06;0.83;0.23;-0.24;-1.09;-0.85;-491.43;192.78
7;20170810;1;N;11.38;11.29;11380.00;11290.00;-90.00;0.00;0.00;-99.43;-0.79;-0.62;-0.17;-0.41;-1.88;-1.47;-590.86;192.78
