ativo;classificador;RetornoBruto;RetornoLiquido;CustoOperacional;BuyAndHoldP;comprarSempreP;IndInversoP;IndAleatorioP;indAlvo05P;indAlvo1P;indAlvo2P;perdaP;ganhoP;retornoMedioP;perdaMediaP;ganhoMedioP ;qtdePerda;qtdeGanho ;qtdeTotal ;qtdeClasse0 ;qtdeClasse1 ;precisao;acuracia;f1score;recall;specificity;sharpe;sortino;media;desvioPadrao;desvioAbsoluto;mediana;quantil;minimo;maximo;amplitude;variancia; DataInicial; DataFinal; QtdeDias; PrecoInicial; PrecoFinal; Classe0; Classe1; QtdeClasse0;QtdeClasse1;volatilidade;volatilidadeDowsid;qtdeD3_caiu;qtdeD3_estavel;qtdeD3_subiu;qtdeRompimento;qtdeCorrecao;qtdeContraTendencia;ShapiroWilk;KolmogorovSmirnov;Tstudent;Anova;kruskalWallis
GGBR4;1;1.64;1.28;0.36;7.98;3.86;2.22;-4.39;-2.86;-2.07;-0.31;-9.10;10.74;0.12;-1.14;1.79;8;6;14;15;14;42.86;48.28;44.44;46.15;50.00;-0.25;-0.41;0.12;1.71;1.43;-0.51;-0.51;-2.26;3.23;5.49;2.94;03/07/2017;11/08/2017;30;10.30;11.29;56.67;43.33;17;13;3.04;1.87;18;0;12;5;2;5;0.25;0.29;0.98;0.97;0.97
GGBR4;2;9.53;7.43;2.10;7.98;3.86;-5.67;1.82;-0.37;3.42;7.30;-9.61;19.14;0.45;-0.96;1.74;10;11;21;8;21;52.38;58.62;64.71;84.62;37.50;2.34;3.82;0.45;1.61;1.37;0.27;0.27;-2.26;3.23;5.49;2.59;03/07/2017;11/08/2017;30;10.30;11.29;56.67;43.33;17;13;3.04;1.87;18;0;12;5;2;5;0.26;0.01;0.52;0.71;0.84
GGBR4;3;7.94;6.19;1.75;7.98;3.86;-4.08;0.16;1.78;3.50;6.33;-5.52;13.46;0.53;-0.79;1.68;7;8;15;14;15;53.33;58.62;57.14;61.54;56.25;1.82;2.96;0.53;1.48;1.25;0.38;0.38;-1.48;3.23;4.71;2.19;03/07/2017;11/08/2017;30;10.30;11.29;56.67;43.33;17;13;3.04;1.87;18;0;12;5;2;5;0.38;0.14;0.46;0.69;0.85
GGBR4;4;5.42;4.22;1.19;7.98;3.86;-1.56;6.37;1.78;3.14;3.80;-5.89;11.30;0.36;-0.74;1.61;8;7;15;14;15;46.67;51.72;50.00;53.85;50.00;0.99;1.61;0.36;1.43;1.17;0.00;0.00;-1.48;3.23;4.71;2.03;03/07/2017;11/08/2017;30;10.30;11.29;56.67;43.33;17;13;3.04;1.87;18;0;12;5;2;5;0.28;0.34;0.67;0.75;0.93
GGBR4;5;-6.85;-5.34;-1.51;7.98;3.86;10.71;1.15;-9.21;-8.75;-7.99;-16.40;9.55;-0.38;-1.26;1.91;13;5;18;11;18;27.78;27.59;32.26;38.46;18.75;-3.04;-4.96;-0.38;1.89;1.34;-0.55;-0.55;-5.21;2.42;7.63;3.56;03/07/2017;11/08/2017;30;10.30;11.29;56.67;43.33;17;13;3.04;1.87;18;0;12;5;2;5;0.11;0.17;0.35;0.46;0.35
GGBR4;6;3.87;3.02;0.85;7.98;3.86;-0.01;3.30;-0.22;0.46;2.64;-5.19;9.06;0.35;-0.74;2.26;7;4;11;18;11;36.36;44.83;33.33;30.77;56.25;0.48;0.78;0.35;1.60;1.39;-0.36;-0.36;-1.48;3.23;4.71;2.57;03/07/2017;11/08/2017;30;10.30;11.29;56.67;43.33;17;13;3.04;1.87;18;0;12;5;2;5;0.10;0.18;0.72;0.98;0.99
GGBR4;7;-1.88;-1.47;-0.41;7.98;3.86;5.74;-5.34;-3.88;-4.84;-3.02;-12.86;10.98;-0.12;-1.43;1.57;9;7;16;13;16;43.75;48.28;48.28;53.85;43.75;-1.41;-2.30;-0.12;1.98;1.48;-0.41;-0.41;-5.21;2.42;7.63;3.93;03/07/2017;11/08/2017;30;10.30;11.29;56.67;43.33;17;13;3.04;1.87;18;0;12;5;2;5;0.14;0.39;0.67;0.91;0.98
GGBR4;8;8.08;6.30;1.78;7.98;3.86;-4.22;-2.48;2.27;2.89;5.71;-5.75;13.83;0.58;-0.82;1.98;7;7;14;15;14;50.00;55.17;51.85;53.85;56.25;1.86;3.04;0.58;1.62;1.40;0.20;0.20;-1.57;3.23;4.80;2.61;03/07/2017;11/08/2017;30;10.30;11.29;56.67;43.33;17;13;3.04;1.87;18;0;12;5;2;5;0.19;0.08;0.44;0.69;0.89
GGBR4;9;6.02;4.70;1.33;7.98;3.86;-2.17;0.44;1.40;2.31;4.08;-4.33;10.36;0.55;-0.72;2.07;6;5;11;18;11;45.45;51.72;41.67;38.46;62.50;1.19;1.94;0.55;1.62;1.39;-0.18;-0.18;-1.48;3.23;4.71;2.62;03/07/2017;11/08/2017;30;10.30;11.29;56.67;43.33;17;13;3.04;1.87;18;0;12;5;2;5;0.19;0.14;0.51;0.86;0.98
GGBR4;10;21.83;17.03;4.80;7.98;3.86;-17.97;-1.13;6.50;12.38;19.60;0.00;21.83;1.68;0.00;1.68;0;13;13;16;13;100.00;100.00;100.00;100.00;100.00;6.38;10.40;1.68;0.89;0.69;1.83;1.83;0.27;3.23;2.96;0.79;03/07/2017;11/08/2017;30;10.30;11.29;56.67;43.33;17;13;3.04;1.87;18;0;12;5;2;5;0.50;0.00;0.01;0.00;0.00
