classificador;data;sinalcompra;acertou;openprice;closeprice;vlrcompra;vlrvenda;lucrobrutoR;impostorendaR;custotransacaoR;lucroliquidoR;lucrobrutoP;lucroliquidoP;custotransacaoP;custotransacaoAcumuladoP;lucrobrutoAcumuladoP;lucroliquidoAcumuladoP;evolucaoCapitalR;impostoRendaAcumuladoR
7;20170703;1;N;5.08;5.06;5080.00;5060.00;-20.00;0.00;0.00;-27.11;-0.39;-0.31;-0.09;-0.09;-0.39;-0.31;-27.11;0.00
7;20170705;1;S;5.11;5.27;5110.00;5270.00;160.00;26.56;33.75;126.25;3.13;2.44;0.69;0.60;2.74;2.14;99.15;26.56
7;20170706;1;N;5.34;5.24;5340.00;5240.00;-100.00;0.00;0.00;-107.17;-1.87;-1.46;-0.41;0.19;0.86;0.67;-8.02;26.56
7;20170707;1;S;5.23;5.30;5230.00;5300.00;70.00;12.56;19.76;50.24;1.34;1.04;0.29;0.48;2.20;1.72;42.22;39.12
7;20170710;1;N;5.30;5.28;5300.00;5280.00;-20.00;0.00;0.00;-27.19;-0.38;-0.29;-0.08;0.40;1.83;1.42;15.03;39.12
7;20170711;1;S;5.33;5.47;5330.00;5470.00;140.00;26.55;33.81;106.19;2.63;2.05;0.58;0.98;4.45;3.47;121.23;65.67
7;20170712;1;N;5.48;5.44;5480.00;5440.00;-40.00;0.00;0.00;-47.25;-0.73;-0.57;-0.16;0.82;3.72;2.90;73.98;65.67
7;20170713;1;N;5.46;5.44;5460.00;5440.00;-20.00;0.00;0.00;-27.25;-0.37;-0.29;-0.08;0.74;3.36;2.62;46.73;65.67
7;20170714;1;N;5.50;5.44;5500.00;5440.00;-60.00;0.00;0.00;-67.25;-1.09;-0.85;-0.24;0.50;2.27;1.77;-20.52;65.67
7;20170717;1;N;5.50;5.36;5500.00;5360.00;-140.00;0.00;0.00;-147.22;-2.55;-1.99;-0.56;-0.06;-0.28;-0.22;-167.73;65.67
7;20170720;1;N;5.35;5.26;5350.00;5260.00;-90.00;0.00;0.00;-97.18;-1.68;-1.31;-0.37;-0.43;-1.96;-1.53;-264.91;65.67
7;20170721;1;S;5.30;5.48;5300.00;5480.00;180.00;10.55;17.81;162.19;3.40;2.65;0.75;0.32;1.43;1.12;-102.72;76.22
7;20170725;1;N;5.48;5.22;5480.00;5220.00;-260.00;0.00;0.00;-267.17;-4.74;-3.70;-1.04;-0.73;-3.31;-2.58;-369.89;76.22
7;20170726;1;N;5.26;5.16;5260.00;5160.00;-100.00;0.00;0.00;-107.14;-1.90;-1.48;-0.42;-1.15;-5.21;-4.07;-477.03;76.22
7;20170728;1;N;5.32;5.26;5320.00;5260.00;-60.00;0.00;0.00;-67.18;-1.13;-0.88;-0.25;-1.39;-6.34;-4.94;-544.21;76.22
7;20170731;1;N;5.26;5.18;5260.00;5180.00;-80.00;0.00;0.00;-87.15;-1.52;-1.19;-0.33;-1.73;-7.86;-6.13;-631.36;76.22
7;20170801;1;S;5.16;5.38;5160.00;5380.00;220.00;0.00;7.22;212.78;4.26;3.33;0.94;-0.79;-3.60;-2.81;-418.58;76.22
7;20170804;1;S;5.46;5.60;5460.00;5600.00;140.00;0.00;7.31;132.69;2.56;2.00;0.56;-0.23;-1.03;-0.81;-285.89;76.22
7;20170810;1;S;5.40;5.42;5400.00;5420.00;20.00;0.00;7.24;12.76;0.37;0.29;0.08;-0.15;-0.66;-0.52;-273.13;76.22
