ativo;classificador;RetornoBruto;RetornoLiquido;CustoOperacional;BuyAndHoldP;comprarSempreP;IndInversoP;IndAleatorioP;indAlvo05P;indAlvo1P;indAlvo2P;perdaP;ganhoP;retornoMedioP;perdaMediaP;ganhoMedioP ;qtdePerda;qtdeGanho ;qtdeTotal ;qtdeClasse0 ;qtdeClasse1 ;precisao;acuracia;f1score;recall;specificity;sharpe;sortino;media;desvioPadrao;desvioAbsoluto;mediana;quantil;minimo;maximo;amplitude;variancia; DataInicial; DataFinal; QtdeDias; PrecoInicial; PrecoFinal; Classe0; Classe1; QtdeClasse0;QtdeClasse1;volatilidade;volatilidadeDowsid;qtdeD3_caiu;qtdeD3_estavel;qtdeD3_subiu;qtdeRompimento;qtdeCorrecao;qtdeContraTendencia;ShapiroWilk;KolmogorovSmirnov;Tstudent;Anova;kruskalWallis
GOLL4;1;4.29;3.34;0.94;22.95;14.03;9.75;3.32;1.00;2.00;1.49;-0.51;4.80;2.14;-0.51;4.80;1;1;2;27;2;50.00;55.17;13.33;7.69;93.75;0.44;1.07;2.15;3.75;2.66;2.15;2.15;-0.51;4.80;5.31;14.10;03/07/2017;11/08/2017;30;7.56;9.65;53.33;46.67;16;14;4.23;1.75;22;0;12;7;2;7;0.00;0.00;0.00;0.00;0.00
GOLL4;2;22.02;17.17;4.84;22.95;14.03;-7.99;-4.84;2.92;6.92;10.63;-3.03;25.05;2.20;-0.76;4.18;4;6;10;19;10;60.00;62.07;52.17;46.15;75.00;4.63;11.21;2.20;3.71;2.76;1.41;1.41;-1.44;10.81;12.25;13.74;03/07/2017;11/08/2017;30;7.56;9.65;53.33;46.67;16;14;4.23;1.75;22;0;12;7;2;7;0.07;0.01;0.16;0.08;0.09
GOLL4;3;3.21;2.50;0.71;22.95;14.03;10.82;12.33;-0.08;0.92;0.41;-1.59;4.80;1.07;-0.79;4.80;2;1;3;26;3;33.33;51.72;12.50;7.69;87.50;0.19;0.46;1.07;3.24;2.49;-0.51;-0.51;-1.08;4.80;5.88;10.52;03/07/2017;11/08/2017;30;7.56;9.65;53.33;46.67;16;14;4.23;1.75;22;0;12;7;2;7;0.17;0.83;0.76;0.99;1.00
GOLL4;4;13.84;10.79;3.04;22.95;14.03;0.20;-9.73;3.50;2.63;3.26;-8.19;22.02;1.98;-2.73;5.51;3;4;7;22;7;57.14;58.62;40.00;30.77;81.25;2.70;6.53;1.98;5.13;4.03;3.11;3.11;-3.37;10.81;14.18;26.31;03/07/2017;11/08/2017;30;7.56;9.65;53.33;46.67;16;14;4.23;1.75;22;0;12;7;2;7;0.39;0.01;0.33;0.41;0.51
GOLL4;5;4.29;3.34;0.94;22.95;14.03;9.75;5.21;1.00;2.00;1.49;-0.51;4.80;2.14;-0.51;4.80;1;1;2;27;2;50.00;55.17;13.33;7.69;93.75;0.44;1.07;2.15;3.75;2.66;2.15;2.15;-0.51;4.80;5.31;14.10;03/07/2017;11/08/2017;30;7.56;9.65;53.33;46.67;16;14;4.23;1.75;22;0;12;7;2;7;0.00;0.00;0.00;0.00;0.00
GOLL4;6;12.74;9.94;2.80;22.95;14.03;1.29;-11.48;2.92;6.92;5.26;-4.96;17.70;1.27;-1.24;2.95;4;6;10;19;10;60.00;62.07;52.17;46.15;75.00;2.44;5.91;1.27;2.59;2.22;1.41;1.41;-3.37;4.80;8.17;6.71;03/07/2017;11/08/2017;30;7.56;9.65;53.33;46.67;16;14;4.23;1.75;22;0;12;7;2;7;0.53;0.01;0.48;0.38;0.09
GOLL4;7;6.32;4.93;1.39;22.95;14.03;7.71;10.01;2.00;4.00;3.71;-0.51;6.83;1.26;-0.26;2.28;2;3;5;24;5;60.00;58.62;33.33;23.08;87.50;0.92;2.24;1.26;1.89;1.63;0.22;0.22;-0.51;3.50;4.01;3.56;03/07/2017;11/08/2017;30;7.56;9.65;53.33;46.67;16;14;4.23;1.75;22;0;12;7;2;7;0.12;0.31;0.59;0.96;0.69
GOLL4;8;16.00;12.48;3.52;22.95;14.03;-1.97;17.96;-2.25;0.25;5.25;-6.19;22.19;2.29;-2.06;5.55;3;4;7;22;7;57.14;58.62;40.00;30.77;81.25;3.21;7.77;2.28;4.82;3.73;3.11;3.11;-3.02;10.81;13.83;23.22;03/07/2017;11/08/2017;30;7.56;9.65;53.33;46.67;16;14;4.23;1.75;22;0;12;7;2;7;0.43;0.01;0.23;0.35;0.60
GOLL4;9;4.29;3.34;0.94;22.95;14.03;9.75;18.62;1.00;2.00;1.49;-0.51;4.80;2.14;-0.51;4.80;1;1;2;27;2;50.00;55.17;13.33;7.69;93.75;0.44;1.07;2.15;3.75;2.66;2.15;2.15;-0.51;4.80;5.31;14.10;03/07/2017;11/08/2017;30;7.56;9.65;53.33;46.67;16;14;4.23;1.75;22;0;12;7;2;7;0.00;0.00;0.00;0.00;0.00
GOLL4;10;41.59;32.44;9.15;22.95;14.03;-27.55;0.71;6.50;13.00;23.29;0.00;41.59;3.20;0.00;3.20;0;13;13;16;13;100.00;100.00;100.00;100.00;100.00;9.26;22.39;3.20;2.61;1.56;3.11;3.11;0.22;10.81;10.59;6.80;03/07/2017;11/08/2017;30;7.56;9.65;53.33;46.67;16;14;4.23;1.75;22;0;12;7;2;7;0.00;0.00;0.01;0.00;0.00
