classificador;data;sinalcompra;acertou;openprice;closeprice;vlrcompra;vlrvenda;lucrobrutoR;impostorendaR;custotransacaoR;lucroliquidoR;lucrobrutoP;lucroliquidoP;custotransacaoP;custotransacaoAcumuladoP;lucrobrutoAcumuladoP;lucroliquidoAcumuladoP;evolucaoCapitalR;impostoRendaAcumuladoR
7;20170703;1;N;6.73;6.61;6730.00;6610.00;-120.00;0.00;0.00;-127.68;-1.78;-1.39;-0.39;-0.39;-1.78;-1.39;-127.68;0.00
7;20170704;1;N;6.65;6.46;6650.00;6460.00;-190.00;0.00;0.00;-197.63;-2.86;-2.23;-0.63;-1.02;-4.64;-3.62;-325.31;0.00
7;20170707;1;S;6.40;6.46;6400.00;6460.00;60.00;0.00;7.63;52.37;0.94;0.73;0.21;-0.81;-3.70;-2.89;-272.94;0.00
7;20170710;1;S;6.49;6.57;6490.00;6570.00;80.00;0.00;7.67;72.33;1.23;0.96;0.27;-0.54;-2.47;-1.93;-200.61;0.00
7;20170711;1;N;6.67;6.60;6670.00;6600.00;-70.00;0.00;0.00;-77.68;-1.05;-0.82;-0.23;-0.77;-3.52;-2.75;-278.28;0.00
7;20170724;1;S;6.96;7.00;6960.00;7000.00;40.00;0.00;7.83;32.17;0.57;0.45;0.13;-0.65;-2.94;-2.30;-246.11;0.00
7;20170725;1;S;7.10;7.47;7100.00;7470.00;370.00;32.40;40.40;329.60;5.21;4.06;1.15;0.50;2.27;1.77;83.48;32.40
7;20170804;1;S;7.83;7.95;7830.00;7950.00;120.00;22.36;30.55;89.45;1.53;1.20;0.34;0.84;3.80;2.96;172.94;54.76
7;20170807;1;S;7.99;8.55;7990.00;8550.00;560.00;110.32;118.72;441.28;7.01;5.47;1.54;2.38;10.81;8.43;614.21;165.08
7;20170810;1;S;8.08;8.40;8080.00;8400.00;320.00;62.33;70.68;249.32;3.96;3.09;0.87;3.25;14.77;11.52;863.53;227.41
