classificador;data;sinalcompra;acertou;openprice;closeprice;vlrcompra;vlrvenda;lucrobrutoR;impostorendaR;custotransacaoR;lucroliquidoR;lucrobrutoP;lucroliquidoP;custotransacaoP;custotransacaoAcumuladoP;lucrobrutoAcumuladoP;lucroliquidoAcumuladoP;evolucaoCapitalR;impostoRendaAcumuladoR
7;20170707;1;S;14.42;14.59;14420.00;14590.00;170.00;31.87;42.53;127.47;1.18;0.92;0.26;0.26;1.18;0.92;127.47;31.87
7;20170710;1;S;14.68;14.88;14680.00;14880.00;200.00;37.85;48.61;151.39;1.36;1.06;0.30;0.56;2.54;1.98;278.86;69.72
7;20170719;1;S;14.75;14.85;14750.00;14850.00;100.00;17.85;28.60;71.40;0.68;0.53;0.15;0.71;3.22;2.51;350.26;87.57
7;20170720;1;N;14.89;14.76;14890.00;14760.00;-130.00;0.00;0.00;-140.72;-0.87;-0.68;-0.19;0.52;2.35;1.83;209.54;87.57
7;20170731;1;S;15.68;15.90;15680.00;15900.00;220.00;41.77;52.92;167.08;1.40;1.09;0.31;0.82;3.75;2.92;376.63;129.34
7;20170801;1;S;15.93;16.15;15930.00;16150.00;220.00;41.75;52.99;167.01;1.38;1.08;0.30;1.13;5.13;4.00;543.64;171.09
7;20170802;1;N;16.16;16.09;16160.00;16090.00;-70.00;0.00;0.00;-81.22;-0.43;-0.34;-0.10;1.03;4.70;3.66;462.42;171.09
7;20170803;1;N;16.11;16.07;16110.00;16070.00;-40.00;0.00;0.00;-51.21;-0.25;-0.19;-0.05;0.98;4.45;3.47;411.21;171.09
7;20170804;1;N;16.05;15.95;16050.00;15950.00;-100.00;0.00;0.00;-111.16;-0.62;-0.49;-0.14;0.84;3.83;2.98;300.05;171.09
7;20170807;1;N;15.95;15.70;15950.00;15700.00;-250.00;0.00;0.00;-261.07;-1.57;-1.22;-0.34;0.50;2.26;1.76;38.98;171.09
7;20170809;1;N;15.60;15.25;15600.00;15250.00;-350.00;0.00;0.00;-360.90;-2.24;-1.75;-0.49;0.00;0.01;0.01;-321.92;171.09
