classificador;data;sinalcompra;acertou;openprice;closeprice;vlrcompra;vlrvenda;lucrobrutoR;impostorendaR;custotransacaoR;lucroliquidoR;lucrobrutoP;lucroliquidoP;custotransacaoP;custotransacaoAcumuladoP;lucrobrutoAcumuladoP;lucroliquidoAcumuladoP;evolucaoCapitalR;impostoRendaAcumuladoR
7;20170703;1;N;27.55;27.38;27550.00;27380.00;-170.00;0.00;0.00;-185.42;-0.62;-0.48;-0.14;-0.14;-0.62;-0.48;-185.42;0.00
7;20170705;1;N;27.78;27.41;27780.00;27410.00;-370.00;0.00;0.00;-385.43;-1.33;-1.04;-0.29;-0.43;-1.95;-1.52;-570.85;0.00
7;20170706;1;S;27.46;27.48;27460.00;27480.00;20.00;0.00;15.46;4.54;0.07;0.06;0.02;-0.41;-1.88;-1.46;-566.31;0.00
7;20170707;1;S;27.80;27.90;27800.00;27900.00;100.00;0.00;15.62;84.38;0.36;0.28;0.08;-0.33;-1.52;-1.18;-481.93;0.00
7;20170710;1;S;27.98;28.15;27980.00;28150.00;170.00;0.00;15.71;154.29;0.61;0.47;0.13;-0.20;-0.91;-0.71;-327.64;0.00
7;20170711;1;S;28.30;28.95;28300.00;28950.00;650.00;76.80;92.81;557.19;2.30;1.79;0.51;0.31;1.39;1.08;229.56;76.80
7;20170712;1;S;29.00;29.54;29000.00;29540.00;540.00;104.75;120.98;419.02;1.86;1.45;0.41;0.72;3.25;2.54;648.57;181.55
7;20170717;1;N;28.63;28.40;28630.00;28400.00;-230.00;0.00;0.00;-245.80;-0.80;-0.63;-0.18;0.54;2.45;1.91;402.77;181.55
7;20170718;1;N;28.56;28.28;28560.00;28280.00;-280.00;0.00;0.00;-295.76;-0.98;-0.76;-0.22;0.32;1.47;1.14;107.02;181.55
7;20170719;1;S;28.28;28.56;28280.00;28560.00;280.00;52.83;68.69;211.31;0.99;0.77;0.22;0.54;2.46;1.92;318.33;234.38
7;20170720;1;S;28.60;29.20;28600.00;29200.00;600.00;116.78;132.88;467.12;2.10;1.64;0.46;1.00;4.55;3.55;785.45;351.16
7;20170725;1;N;30.18;29.20;30180.00;29200.00;-980.00;0.00;0.00;-996.10;-3.25;-2.53;-0.71;0.29;1.31;1.02;-210.65;351.16
7;20170726;1;N;29.50;29.46;29500.00;29460.00;-40.00;0.00;0.00;-56.20;-0.14;-0.11;-0.03;0.26;1.17;0.91;-266.85;351.16
7;20170728;1;N;29.45;29.30;29450.00;29300.00;-150.00;0.00;0.00;-166.14;-0.51;-0.40;-0.11;0.15;0.66;0.52;-432.99;351.16
7;20170801;1;S;29.94;30.00;29940.00;30000.00;60.00;8.72;25.12;34.88;0.20;0.16;0.04;0.19;0.86;0.67;-398.11;359.88
7;20170802;1;N;30.16;29.82;30160.00;29820.00;-340.00;0.00;0.00;-356.33;-1.13;-0.88;-0.25;-0.06;-0.26;-0.21;-754.44;359.88
7;20170804;1;S;29.25;29.59;29250.00;29590.00;340.00;36.75;53.00;287.00;1.16;0.91;0.26;0.20;0.90;0.70;-467.43;396.63
7;20170807;1;S;29.42;30.05;29420.00;30050.00;630.00;122.72;139.13;490.87;2.14;1.67;0.47;0.67;3.04;2.37;23.43;519.35
7;20170808;1;S;29.68;30.22;29680.00;30220.00;540.00;104.70;121.18;418.82;1.82;1.42;0.40;1.07;4.86;3.79;442.25;624.05
7;20170809;1;S;30.18;30.25;30180.00;30250.00;70.00;10.70;27.19;42.81;0.23;0.18;0.05;1.12;5.09;3.97;485.06;634.75
