ativo;classificador;RetornoBruto;RetornoLiquido;CustoOperacional;BuyAndHoldP;comprarSempreP;IndInversoP;IndAleatorioP;indAlvo05P;indAlvo1P;indAlvo2P;perdaP;ganhoP;retornoMedioP;perdaMediaP;ganhoMedioP ;qtdePerda;qtdeGanho ;qtdeTotal ;qtdeClasse0 ;qtdeClasse1 ;precisao;acuracia;f1score;recall;specificity;sharpe;sortino;media;desvioPadrao;desvioAbsoluto;mediana;quantil;minimo;maximo;amplitude;variancia; DataInicial; DataFinal; QtdeDias; PrecoInicial; PrecoFinal; Classe0; Classe1; QtdeClasse0;QtdeClasse1;volatilidade;volatilidadeDowsid;qtdeD3_caiu;qtdeD3_estavel;qtdeD3_subiu;qtdeRompimento;qtdeCorrecao;qtdeContraTendencia;ShapiroWilk;KolmogorovSmirnov;Tstudent;Anova;kruskalWallis
LREN3;1;4.85;3.79;1.07;8.75;7.48;2.62;-1.66;-0.91;4.59;4.46;-9.26;14.12;0.24;-1.32;1.09;7;13;20;9;20;65.00;58.62;68.42;72.22;36.36;0.36;0.62;0.24;1.49;1.12;0.29;0.29;-3.25;2.30;5.55;2.22;03/07/2017;11/08/2017;30;27.50;30.40;36.67;63.33;11;19;6.79;3.93;20;0;18;4;2;2;0.38;0.27;0.97;0.95;0.64
LREN3;2;9.39;7.32;2.06;8.75;7.48;-1.91;3.87;2.40;5.90;8.85;-1.33;10.72;1.04;-1.33;1.34;1;8;9;20;9;88.89;62.07;59.26;44.44;90.91;1.03;1.78;1.04;1.20;0.96;1.16;1.16;-1.33;2.30;3.63;1.43;03/07/2017;11/08/2017;30;27.50;30.40;36.67;63.33;11;19;6.79;3.93;20;0;18;4;2;2;0.27;0.02;0.16;0.12;0.04
LREN3;3;2.46;1.92;0.54;8.75;7.48;5.02;2.55;-2.75;0.76;2.06;-11.86;14.32;0.12;-1.32;1.30;9;11;20;9;20;55.00;44.83;57.89;61.11;18.18;0.01;0.01;0.12;1.58;1.30;0.28;0.28;-3.25;2.30;5.55;2.51;03/07/2017;11/08/2017;30;27.50;30.40;36.67;63.33;11;19;6.79;3.93;20;0;18;4;2;2;0.51;0.22;0.76;0.98;0.97
LREN3;4;14.26;11.12;3.14;8.75;7.48;-6.78;2.03;5.62;10.64;13.99;-3.21;17.47;0.89;-1.07;1.34;3;13;16;13;16;81.25;72.41;76.47;72.22;72.73;1.74;3.02;0.89;1.23;1.04;1.17;1.17;-1.61;2.30;3.91;1.52;03/07/2017;11/08/2017;30;27.50;30.40;36.67;63.33;11;19;6.79;3.93;20;0;18;4;2;2;0.09;0.01;0.16;0.02;0.00
LREN3;5;5.50;4.29;1.21;8.75;7.48;1.98;2.50;-0.71;3.80;5.23;-11.05;16.55;0.24;-1.23;1.18;9;14;23;6;23;60.87;55.17;68.29;77.78;18.18;0.46;0.79;0.24;1.48;1.17;0.23;0.23;-3.25;2.30;5.55;2.18;03/07/2017;11/08/2017;30;27.50;30.40;36.67;63.33;11;19;6.79;3.93;20;0;18;4;2;2;0.39;0.16;0.96;0.98;0.72
LREN3;6;9.84;7.67;2.16;8.75;7.48;-2.36;2.43;3.60;7.12;9.44;-3.73;13.57;0.70;-0.93;1.36;4;10;14;15;14;71.43;58.62;62.50;55.56;63.64;1.09;1.89;0.70;1.26;1.06;0.80;0.80;-1.33;2.30;3.63;1.60;03/07/2017;11/08/2017;30;27.50;30.40;36.67;63.33;11;19;6.79;3.93;20;0;18;4;2;2;0.20;0.06;0.34;0.31;0.11
LREN3;7;5.09;3.97;1.12;8.75;7.48;2.39;7.13;0.59;4.10;4.69;-8.75;13.84;0.25;-1.09;1.15;8;12;20;9;20;60.00;51.72;63.16;66.67;27.27;0.40;0.68;0.25;1.42;1.11;0.22;0.22;-3.25;2.30;5.55;2.03;03/07/2017;11/08/2017;30;27.50;30.40;36.67;63.33;11;19;6.79;3.93;20;0;18;4;2;2;0.40;0.27;0.99;0.96;0.73
LREN3;8;5.71;4.45;1.26;8.75;7.48;1.77;2.33;1.61;5.13;5.17;-5.72;11.43;0.36;-0.95;1.14;6;10;16;13;16;62.50;51.72;58.82;55.56;45.45;0.49;0.84;0.36;1.27;1.02;0.29;0.29;-1.85;2.30;4.15;1.61;03/07/2017;11/08/2017;30;27.50;30.40;36.67;63.33;11;19;6.79;3.93;20;0;18;4;2;2;0.76;0.40;0.82;0.95;0.84
LREN3;9;9.85;7.68;2.17;8.75;7.48;-2.37;1.19;4.40;7.92;9.45;-2.93;12.78;0.76;-0.98;1.28;3;10;13;16;13;76.92;62.07;64.52;55.56;72.73;1.10;1.89;0.76;1.25;1.05;0.61;0.61;-1.33;2.30;3.63;1.55;03/07/2017;11/08/2017;30;27.50;30.40;36.67;63.33;11;19;6.79;3.93;20;0;18;4;2;2;0.25;0.06;0.30;0.21;0.06
LREN3;10;21.99;17.15;4.84;8.75;7.48;-14.51;1.10;8.73;17.23;21.72;0.00;21.99;1.22;0.00;1.22;0;18;18;11;18;100.00;100.00;100.00;100.00;100.00;2.88;4.98;1.22;0.77;0.68;1.25;1.25;0.07;2.30;2.23;0.59;03/07/2017;11/08/2017;30;27.50;30.40;36.67;63.33;11;19;6.79;3.93;20;0;18;4;2;2;0.07;0.00;0.01;0.00;0.00
