ativo;classificador;RetornoBruto;RetornoLiquido;CustoOperacional;BuyAndHoldP;comprarSempreP;IndInversoP;IndAleatorioP;indAlvo05P;indAlvo1P;indAlvo2P;perdaP;ganhoP;retornoMedioP;perdaMediaP;ganhoMedioP ;qtdePerda;qtdeGanho ;qtdeTotal ;qtdeClasse0 ;qtdeClasse1 ;precisao;acuracia;f1score;recall;specificity;sharpe;sortino;media;desvioPadrao;desvioAbsoluto;mediana;quantil;minimo;maximo;amplitude;variancia; DataInicial; DataFinal; QtdeDias; PrecoInicial; PrecoFinal; Classe0; Classe1; QtdeClasse0;QtdeClasse1;volatilidade;volatilidadeDowsid;qtdeD3_caiu;qtdeD3_estavel;qtdeD3_subiu;qtdeRompimento;qtdeCorrecao;qtdeContraTendencia;ShapiroWilk;KolmogorovSmirnov;Tstudent;Anova;kruskalWallis
PETR4;1;0.95;0.74;0.21;4.53;-2.46;-3.41;-4.58;-0.07;0.46;1.46;-1.07;2.03;0.32;-1.07;1.01;1;2;3;26;3;66.67;58.62;25.00;15.38;93.75;-0.44;-0.77;0.32;1.30;0.93;0.53;0.53;-1.07;1.50;2.57;1.68;03/07/2017;11/08/2017;30;12.28;12.95;53.33;46.67;16;14;3.28;1.89;17;0;10;5;1;2;0.73;0.81;0.68;0.97;0.95
PETR4;2;-1.35;-1.05;-0.30;4.53;-2.46;-1.11;2.24;-2.63;-2.53;-2.90;-6.90;5.55;-0.17;-1.15;2.78;6;2;8;21;8;25.00;41.38;19.05;15.38;62.50;-1.14;-1.99;-0.17;1.87;1.47;-0.99;-0.99;-1.65;3.18;4.83;3.48;03/07/2017;11/08/2017;30;12.28;12.95;53.33;46.67;16;14;3.28;1.89;17;0;10;5;1;2;0.01;0.06;0.90;0.98;0.95
PETR4;3;1.23;0.96;0.27;4.53;-2.46;-3.69;0.81;1.07;2.49;1.73;-2.80;4.03;0.20;-1.40;1.01;2;4;6;23;6;66.67;62.07;42.11;30.77;87.50;-0.36;-0.62;0.21;1.34;1.07;0.46;0.46;-1.43;1.61;3.04;1.79;03/07/2017;11/08/2017;30;12.28;12.95;53.33;46.67;16;14;3.28;1.89;17;0;10;5;1;2;0.19;0.48;0.69;0.94;0.87
PETR4;4;-1.37;-1.07;-0.30;4.53;-2.46;-1.09;-7.37;-2.46;-4.93;-2.05;-9.85;8.48;-0.11;-1.41;1.41;7;6;13;16;13;46.15;51.72;46.15;46.15;56.25;-1.15;-2.00;-0.11;1.73;1.41;-0.07;-0.07;-3.01;3.18;6.19;2.98;03/07/2017;11/08/2017;30;12.28;12.95;53.33;46.67;16;14;3.28;1.89;17;0;10;5;1;2;0.97;0.22;0.97;0.99;0.98
PETR4;5;-1.01;-0.78;-0.22;4.53;-2.46;-1.45;-0.88;-2.00;-1.50;-0.50;-2.50;1.50;-0.34;-1.25;1.50;2;1;3;26;3;33.33;51.72;12.50;7.69;87.50;-1.04;-1.81;-0.33;1.60;1.22;-1.07;-1.07;-1.43;1.50;2.93;2.55;03/07/2017;11/08/2017;30;12.28;12.95;53.33;46.67;16;14;3.28;1.89;17;0;10;5;1;2;0.22;0.28;0.80;1.00;1.00
PETR4;6;4.17;3.25;0.92;4.53;-2.46;-6.63;-9.71;-0.11;1.61;3.12;-6.88;11.05;0.32;-1.15;1.58;6;7;13;16;13;53.85;58.62;53.85;53.85;62.50;0.54;0.93;0.32;1.59;1.35;0.39;0.39;-1.65;3.18;4.83;2.53;03/07/2017;11/08/2017;30;12.28;12.95;53.33;46.67;16;14;3.28;1.89;17;0;10;5;1;2;0.34;0.21;0.46;0.32;0.25
PETR4;7;5.49;4.28;1.21;4.53;-2.46;-7.95;-5.72;1.50;3.00;5.61;0.00;5.49;1.83;0.00;1.83;0;3;3;26;3;100.00;65.52;37.50;23.08;100.00;0.94;1.63;1.83;0.47;0.36;1.61;1.61;1.50;2.37;0.87;0.22;03/07/2017;11/08/2017;30;12.28;12.95;53.33;46.67;16;14;3.28;1.89;17;0;10;5;1;2;0.22;0.00;0.05;0.03;0.02
PETR4;8;-0.75;-0.59;-0.17;4.53;-2.46;-1.71;2.24;-3.05;-2.02;-0.02;-4.55;3.80;-0.13;-1.52;1.27;3;3;6;23;6;50.00;55.17;31.58;23.08;81.25;-0.96;-1.67;-0.12;1.79;1.39;0.04;0.04;-3.01;1.77;4.78;3.20;03/07/2017;11/08/2017;30;12.28;12.95;53.33;46.67;16;14;3.28;1.89;17;0;10;5;1;2;0.68;0.73;0.96;0.98;0.99
PETR4;9;0.42;0.33;0.09;4.53;-2.46;-2.88;1.63;-0.57;-0.07;0.93;-1.07;1.50;0.21;-1.07;1.50;1;1;2;27;2;50.00;55.17;13.33;7.69;93.75;-0.60;-1.05;0.21;1.82;1.29;0.21;0.21;-1.07;1.50;2.57;3.30;03/07/2017;11/08/2017;30;12.28;12.95;53.33;46.67;16;14;3.28;1.89;17;0;10;5;1;2;0.00;0.00;0.00;0.00;0.00
PETR4;10;18.17;14.17;4.00;4.53;-2.46;-20.63;-2.78;6.50;10.42;16.45;0.00;18.17;1.40;0.00;1.40;0;13;13;16;13;100.00;100.00;100.00;100.00;100.00;4.80;8.34;1.40;0.96;0.76;1.27;1.27;0.07;3.18;3.11;0.92;03/07/2017;11/08/2017;30;12.28;12.95;53.33;46.67;16;14;3.28;1.89;17;0;10;5;1;2;0.55;0.00;0.00;0.00;0.00
