classificador;data;sinalcompra;acertou;openprice;closeprice;vlrcompra;vlrvenda;lucrobrutoR;impostorendaR;custotransacaoR;lucroliquidoR;lucrobrutoP;lucroliquidoP;custotransacaoP;custotransacaoAcumuladoP;lucrobrutoAcumuladoP;lucroliquidoAcumuladoP;evolucaoCapitalR;impostoRendaAcumuladoR
7;20170703;1;S;30.23;30.43;30230.00;30430.00;200.00;36.69;53.25;146.75;0.66;0.52;0.15;0.15;0.66;0.52;146.75;36.69
7;20170704;1;N;30.44;30.10;30440.00;30100.00;-340.00;0.00;0.00;-356.44;-1.12;-0.87;-0.25;-0.10;-0.46;-0.36;-209.68;36.69
7;20170705;1;N;30.10;29.02;30100.00;29020.00;-1080.00;0.00;0.00;-1096.03;-3.59;-2.80;-0.79;-0.89;-4.04;-3.15;-1305.71;36.69
7;20170706;1;N;29.00;28.88;29000.00;28880.00;-120.00;0.00;0.00;-135.98;-0.41;-0.32;-0.09;-0.98;-4.46;-3.48;-1441.70;36.69
7;20170707;1;S;29.30;29.33;29300.00;29330.00;30.00;0.00;16.15;13.85;0.10;0.08;0.02;-0.96;-4.35;-3.40;-1427.84;36.69
7;20170710;1;S;29.57;29.81;29570.00;29810.00;240.00;0.00;16.33;223.67;0.81;0.63;0.18;-0.78;-3.54;-2.76;-1204.17;36.69
7;20170711;1;S;29.92;30.37;29920.00;30370.00;450.00;0.00;16.54;433.46;1.50;1.17;0.33;-0.45;-2.04;-1.59;-770.71;36.69
7;20170713;1;S;30.77;31.38;30770.00;31380.00;610.00;0.00;16.91;593.09;1.98;1.55;0.44;-0.01;-0.06;-0.04;-177.62;36.69
7;20170714;1;S;31.15;31.59;31150.00;31590.00;440.00;82.60;99.59;340.41;1.41;1.10;0.31;0.30;1.36;1.06;162.79;119.29
7;20170717;1;S;31.45;31.90;31450.00;31900.00;450.00;86.58;103.68;346.32;1.43;1.12;0.31;0.61;2.79;2.17;509.10;205.87
7;20170718;1;N;31.73;31.00;31730.00;31000.00;-730.00;0.00;0.00;-746.77;-2.30;-1.79;-0.51;0.11;0.49;0.38;-237.67;205.87
7;20170719;1;S;30.93;31.02;30930.00;31020.00;90.00;14.64;31.42;58.58;0.29;0.23;0.06;0.17;0.78;0.61;-179.09;220.51
7;20170720;1;S;30.88;30.92;30880.00;30920.00;40.00;4.65;21.39;18.61;0.13;0.10;0.03;0.20;0.91;0.71;-160.48;225.17
7;20170721;1;S;30.89;31.02;30890.00;31020.00;130.00;22.64;39.42;90.58;0.42;0.33;0.09;0.29;1.33;1.04;-69.90;247.81
7;20170724;1;N;31.47;30.85;31470.00;30850.00;-620.00;0.00;0.00;-636.71;-1.97;-1.54;-0.43;-0.14;-0.64;-0.50;-706.62;247.81
7;20170725;1;N;30.91;30.22;30910.00;30220.00;-690.00;0.00;0.00;-706.48;-2.23;-1.74;-0.49;-0.63;-2.88;-2.24;-1413.10;247.81
7;20170727;1;S;30.25;31.15;30250.00;31150.00;900.00;0.00;16.83;883.17;2.98;2.32;0.65;0.02;0.10;0.08;-529.93;247.81
7;20170728;1;S;31.15;31.50;31150.00;31500.00;350.00;66.61;83.57;266.43;1.12;0.88;0.25;0.27;1.22;0.95;-263.49;314.42
7;20170731;1;N;31.54;31.45;31540.00;31450.00;-90.00;0.00;0.00;-106.94;-0.29;-0.22;-0.06;0.21;0.94;0.73;-370.43;314.42
7;20170801;1;S;31.55;32.02;31550.00;32020.00;470.00;90.57;107.72;362.28;1.49;1.16;0.33;0.53;2.43;1.89;-8.15;404.99
7;20170802;1;S;31.80;31.82;31800.00;31820.00;20.00;0.58;17.66;2.34;0.06;0.05;0.01;0.55;2.49;1.94;-5.81;405.57
7;20170803;1;S;31.70;32.00;31700.00;32000.00;300.00;56.57;73.71;226.29;0.95;0.74;0.21;0.76;3.44;2.68;220.47;462.14
7;20170804;1;S;32.05;32.48;32050.00;32480.00;430.00;82.54;99.86;330.14;1.34;1.05;0.30;1.05;4.78;3.73;550.62;544.68
7;20170807;1;S;32.18;32.81;32180.00;32810.00;630.00;122.51;139.96;490.04;1.96;1.53;0.43;1.48;6.74;5.25;1040.66;667.19
7;20170808;1;N;32.75;32.30;32750.00;32300.00;-450.00;0.00;0.00;-467.26;-1.37;-1.07;-0.30;1.18;5.36;4.18;573.41;667.19
7;20170809;1;N;32.12;31.80;32120.00;31800.00;-320.00;0.00;0.00;-337.07;-1.00;-0.78;-0.22;0.96;4.37;3.41;236.34;667.19
7;20170810;1;S;31.91;32.08;31910.00;32080.00;170.00;30.57;47.74;122.26;0.53;0.42;0.12;1.08;4.90;3.82;358.60;697.76
