classificador;data;sinalcompra;acertou;openprice;closeprice;vlrcompra;vlrvenda;lucrobrutoR;impostorendaR;custotransacaoR;lucroliquidoR;lucrobrutoP;lucroliquidoP;custotransacaoP;custotransacaoAcumuladoP;lucrobrutoAcumuladoP;lucroliquidoAcumuladoP;evolucaoCapitalR;impostoRendaAcumuladoR
7;20170705;1;S;45.39;45.41;45390.00;45410.00;20.00;-0.43;21.71;-1.71;0.04;0.03;0.01;0.01;0.04;0.03;-1.71;-0.43
7;20170706;1;N;45.64;45.62;45640.00;45620.00;-20.00;0.00;0.00;-42.22;-0.04;-0.03;-0.01;0.00;0.00;0.00;-43.93;-0.43
7;20170707;1;S;45.45;45.87;45450.00;45870.00;420.00;79.54;101.85;318.15;0.92;0.72;0.20;0.20;0.92;0.72;274.22;79.11
7;20170710;1;S;45.72;46.80;45720.00;46800.00;1080.00;211.47;234.13;845.87;2.36;1.84;0.52;0.72;3.29;2.56;1120.09;290.58
7;20170711;1;S;47.00;47.61;47000.00;47610.00;610.00;117.41;140.37;469.63;1.30;1.01;0.29;1.01;4.58;3.58;1589.73;407.99
7;20170712;1;S;47.90;49.51;47900.00;49510.00;1610.00;317.27;340.93;1269.07;3.36;2.62;0.74;1.75;7.95;6.20;2858.79;725.25
7;20170713;1;N;49.75;49.18;49750.00;49180.00;-570.00;0.00;0.00;-593.54;-1.15;-0.89;-0.25;1.50;6.80;5.30;2265.25;725.25
7;20170717;1;S;48.99;49.20;48990.00;49200.00;210.00;37.29;60.84;149.16;0.43;0.33;0.09;1.59;7.23;5.64;2414.41;762.54
7;20170718;1;N;49.31;49.00;49310.00;49000.00;-310.00;0.00;0.00;-333.48;-0.63;-0.49;-0.14;1.45;6.60;5.15;2080.93;762.54
7;20170719;1;S;49.20;49.31;49200.00;49310.00;110.00;17.28;40.87;69.13;0.22;0.17;0.05;1.50;6.82;5.32;2150.06;779.82
7;20170720;1;S;50.75;51.50;50750.00;51500.00;750.00;145.12;169.53;580.47;1.48;1.15;0.33;1.83;8.30;6.47;2730.53;924.94
7;20170721;1;N;52.40;51.95;52400.00;51950.00;-450.00;0.00;0.00;-474.58;-0.86;-0.67;-0.19;1.64;7.44;5.81;2255.95;924.94
7;20170726;1;S;51.93;51.99;51930.00;51990.00;60.00;7.08;31.67;28.33;0.12;0.09;0.03;1.66;7.56;5.90;2284.28;932.02
7;20170727;1;S;51.74;51.85;51740.00;51850.00;110.00;17.09;41.63;68.37;0.21;0.17;0.05;1.71;7.77;6.06;2352.65;949.12
7;20170728;1;S;51.83;51.90;51830.00;51900.00;70.00;9.09;33.65;36.35;0.14;0.11;0.03;1.74;7.91;6.17;2389.00;958.20
7;20170731;1;S;52.00;52.14;52000.00;52140.00;140.00;23.07;47.72;92.28;0.27;0.21;0.06;1.80;8.17;6.38;2481.28;981.27
7;20170801;1;S;51.97;52.80;51970.00;52800.00;830.00;161.02;185.91;644.09;1.60;1.25;0.35;2.15;9.77;7.62;3125.37;1142.30
7;20170802;1;N;52.65;51.55;52650.00;51550.00;-1100.00;0.00;0.00;-1124.43;-2.09;-1.63;-0.46;1.69;7.68;5.99;2000.94;1142.30
7;20170803;1;N;51.97;51.11;51970.00;51110.00;-860.00;0.00;0.00;-884.26;-1.65;-1.29;-0.36;1.33;6.03;4.70;1116.68;1142.30
7;20170804;1;N;51.57;51.30;51570.00;51300.00;-270.00;0.00;0.00;-294.33;-0.52;-0.41;-0.12;1.21;5.50;4.29;822.34;1142.30
7;20170807;1;S;51.30;51.33;51300.00;51330.00;30.00;1.13;25.48;4.52;0.06;0.05;0.01;1.22;5.56;4.34;826.87;1143.43
7;20170808;1;S;50.93;53.01;50930.00;53010.00;2080.00;411.01;435.98;1644.02;4.08;3.19;0.90;2.12;9.65;7.52;2470.89;1554.43
7;20170810;1;S;51.80;52.00;51800.00;52000.00;200.00;35.08;59.68;140.32;0.39;0.30;0.08;2.21;10.03;7.83;2611.21;1589.51
