ativo;classificador;RetornoBruto;RetornoLiquido;CustoOperacional;BuyAndHoldP;comprarSempreP;IndInversoP;IndAleatorioP;indAlvo05P;indAlvo1P;indAlvo2P;perdaP;ganhoP;retornoMedioP;perdaMediaP;ganhoMedioP ;qtdePerda;qtdeGanho ;qtdeTotal ;qtdeClasse0 ;qtdeClasse1 ;precisao;acuracia;f1score;recall;specificity;sharpe;sortino;media;desvioPadrao;desvioAbsoluto;mediana;quantil;minimo;maximo;amplitude;variancia; DataInicial; DataFinal; QtdeDias; PrecoInicial; PrecoFinal; Classe0; Classe1; QtdeClasse0;QtdeClasse1;volatilidade;volatilidadeDowsid;qtdeD3_caiu;qtdeD3_estavel;qtdeD3_subiu;qtdeRompimento;qtdeCorrecao;qtdeContraTendencia;ShapiroWilk;KolmogorovSmirnov;Tstudent;Anova;kruskalWallis
RENT3;1;5.56;4.34;1.22;12.11;5.56;0.00;-5.51;3.01;2.14;4.06;-12.02;17.58;0.19;-1.09;0.98;11;18;29;0;29;62.07;62.07;76.60;100.00;0.00;0.28;0.56;0.19;1.45;1.01;0.12;0.12;-2.45;4.08;6.53;2.10;03/07/2017;11/08/2017;30;45.38;52.00;36.67;63.33;11;19;11.39;5.69;16;0;10;10;4;5;0.14;0.59;1.00;0.78;0.10
RENT3;2;5.47;4.27;1.20;12.11;5.56;0.09;3.65;1.85;-0.12;3.97;-10.77;16.25;0.25;-1.08;1.35;10;12;22;7;22;54.55;44.83;60.00;66.67;9.09;0.27;0.54;0.25;1.64;1.24;0.05;0.05;-2.45;4.08;6.53;2.70;03/07/2017;11/08/2017;30;45.38;52.00;36.67;63.33;11;19;11.39;5.69;16;0;10;10;4;5;0.57;0.46;0.90;0.98;0.61
RENT3;3;6.06;4.73;1.33;12.11;5.56;-0.50;1.33;2.11;2.14;4.55;-10.27;16.33;0.26;-1.14;1.17;9;14;23;6;23;60.87;55.17;68.29;77.78;18.18;0.32;0.64;0.26;1.60;1.16;0.12;0.12;-2.45;4.08;6.53;2.55;03/07/2017;11/08/2017;30;45.38;52.00;36.67;63.33;11;19;11.39;5.69;16;0;10;10;4;5;0.43;0.52;0.87;0.99;0.49
RENT3;4;5.54;4.32;1.22;12.11;5.56;0.02;8.46;-0.04;2.96;4.87;-5.44;10.98;0.35;-0.91;1.10;6;10;16;13;16;62.50;51.72;58.82;55.56;45.45;0.28;0.55;0.35;1.50;1.07;0.10;0.10;-2.09;4.08;6.17;2.24;03/07/2017;11/08/2017;30;45.38;52.00;36.67;63.33;11;19;11.39;5.69;16;0;10;10;4;5;0.30;0.70;0.74;0.70;0.65
RENT3;5;5.56;4.34;1.22;12.11;5.56;0.00;1.71;2.01;1.64;4.05;-11.51;17.07;0.21;-1.15;1.00;10;17;27;2;27;62.96;62.07;75.56;94.44;9.09;0.28;0.55;0.21;1.50;1.05;0.12;0.12;-2.45;4.08;6.53;2.24;03/07/2017;11/08/2017;30;45.38;52.00;36.67;63.33;11;19;11.39;5.69;16;0;10;10;4;5;0.18;0.53;0.97;0.99;0.28
RENT3;6;6.45;5.03;1.42;12.11;5.56;-0.89;6.36;1.71;0.24;4.94;-9.41;15.86;0.34;-1.18;1.44;8;11;19;10;19;57.89;48.28;59.46;61.11;27.27;0.36;0.71;0.34;1.74;1.35;0.06;0.06;-2.45;4.08;6.53;3.04;03/07/2017;11/08/2017;30;45.38;52.00;36.67;63.33;11;19;11.39;5.69;16;0;10;10;4;5;0.83;0.28;0.75;0.86;0.55
RENT3;7;10.03;7.83;2.21;12.11;5.56;-4.47;-4.24;1.76;6.11;8.53;-6.94;16.98;0.44;-0.99;1.06;7;16;23;6;23;69.57;68.97;78.05;88.89;36.36;0.67;1.34;0.44;1.46;1.05;0.21;0.21;-2.09;4.08;6.17;2.13;03/07/2017;11/08/2017;30;45.38;52.00;36.67;63.33;11;19;11.39;5.69;16;0;10;10;4;5;0.17;0.17;0.55;0.29;0.03
RENT3;8;10.34;8.07;2.28;12.11;5.56;-4.78;5.64;2.24;6.23;8.84;-4.60;14.94;0.54;-0.77;1.15;6;13;19;10;19;68.42;62.07;70.27;72.22;45.45;0.70;1.40;0.55;1.46;1.08;0.14;0.14;-1.65;4.08;5.73;2.12;03/07/2017;11/08/2017;30;45.38;52.00;36.67;63.33;11;19;11.39;5.69;16;0;10;10;4;5;0.08;0.27;0.41;0.34;0.11
RENT3;9;10.34;8.07;2.27;12.11;5.56;-4.78;0.50;1.39;4.75;8.83;-6.09;16.43;0.54;-1.01;1.26;6;13;19;10;19;68.42;62.07;70.27;72.22;45.45;0.70;1.40;0.54;1.58;1.19;0.27;0.27;-2.09;4.08;6.17;2.48;03/07/2017;11/08/2017;30;45.38;52.00;36.67;63.33;11;19;11.39;5.69;16;0;10;10;4;5;0.61;0.27;0.43;0.45;0.09
RENT3;10;17.58;13.71;3.87;12.11;5.56;-12.02;10.08;8.06;14.15;16.07;0.00;17.58;0.98;0.00;0.98;0;18;18;11;18;100.00;100.00;100.00;100.00;100.00;1.33;2.67;0.98;1.20;0.92;0.41;0.41;0.04;4.08;4.04;1.44;03/07/2017;11/08/2017;30;45.38;52.00;36.67;63.33;11;19;11.39;5.69;16;0;10;10;4;5;0.00;0.00;0.06;0.00;0.00
