classificador;data;sinalcompra;acertou;openprice;closeprice;vlrcompra;vlrvenda;lucrobrutoR;impostorendaR;custotransacaoR;lucroliquidoR;lucrobrutoP;lucroliquidoP;custotransacaoP;custotransacaoAcumuladoP;lucrobrutoAcumuladoP;lucroliquidoAcumuladoP;evolucaoCapitalR;impostoRendaAcumuladoR
7;20170711;1;S;32.40;32.78;32400.00;32780.00;380.00;72.51;89.95;290.05;1.17;0.91;0.26;0.26;1.17;0.91;290.05;72.51
7;20170712;1;S;32.71;33.34;32710.00;33340.00;630.00;122.47;140.11;489.89;1.93;1.50;0.42;0.68;3.10;2.42;779.94;194.98
7;20170713;1;S;33.22;33.79;33220.00;33790.00;570.00;110.44;128.25;441.75;1.72;1.34;0.38;1.06;4.81;3.76;1221.69;305.42
7;20170714;1;S;34.00;34.50;34000.00;34500.00;500.00;96.39;114.46;385.54;1.47;1.15;0.32;1.38;6.29;4.90;1607.23;401.81
7;20170717;1;S;34.45;35.38;34450.00;35380.00;930.00;182.32;200.72;729.28;2.70;2.11;0.59;1.98;8.98;7.01;2336.51;584.13
7;20170718;1;N;35.68;35.15;35680.00;35150.00;-530.00;0.00;0.00;-548.32;-1.49;-1.16;-0.33;1.65;7.50;5.85;1788.19;584.13
7;20170719;1;N;35.15;34.95;35150.00;34950.00;-200.00;0.00;0.00;-218.24;-0.57;-0.44;-0.13;1.52;6.93;5.41;1569.95;584.13
7;20170720;1;S;34.68;35.03;34680.00;35030.00;350.00;66.35;84.62;265.38;1.01;0.79;0.22;1.75;7.94;6.19;1835.33;650.47
7;20170721;1;N;35.10;34.60;35100.00;34600.00;-500.00;0.00;0.00;-518.11;-1.42;-1.11;-0.31;1.43;6.52;5.08;1317.22;650.47
7;20170724;1;N;34.84;33.94;34840.00;33940.00;-900.00;0.00;0.00;-917.87;-2.58;-2.01;-0.57;0.87;3.93;3.07;399.35;650.47
7;20170725;1;S;33.95;34.26;33950.00;34260.00;310.00;58.40;76.39;233.61;0.91;0.71;0.20;1.07;4.85;3.78;632.97;708.88
7;20170726;1;S;34.56;35.20;34560.00;35200.00;640.00;124.33;142.67;497.33;1.85;1.44;0.41;1.47;6.70;5.22;1130.30;833.21
7;20170727;1;N;35.30;34.09;35300.00;34090.00;-1210.00;0.00;0.00;-1227.92;-3.43;-2.67;-0.75;0.72;3.27;2.55;-97.63;833.21
7;20170728;1;N;34.09;33.55;34090.00;33550.00;-540.00;0.00;0.00;-557.72;-1.58;-1.24;-0.35;0.37;1.69;1.31;-655.35;833.21
7;20170731;1;S;33.57;33.85;33570.00;33850.00;280.00;52.43;70.27;209.73;0.83;0.65;0.18;0.55;2.52;1.96;-445.61;885.64
7;20170801;1;S;34.00;34.21;34000.00;34210.00;210.00;38.41;56.37;153.63;0.62;0.48;0.14;0.69;3.14;2.45;-291.99;924.05
7;20170802;1;N;34.49;33.86;34490.00;33860.00;-630.00;0.00;0.00;-647.84;-1.83;-1.42;-0.40;0.29;1.31;1.02;-939.82;924.05
7;20170803;1;S;33.78;33.84;33780.00;33840.00;60.00;8.43;26.26;33.74;0.18;0.14;0.04;0.33;1.49;1.16;-906.08;932.48
7;20170808;1;S;32.80;33.07;32800.00;33070.00;270.00;50.49;68.03;201.97;0.82;0.64;0.18;0.51;2.31;1.80;-704.12;982.97
7;20170809;1;N;32.76;32.55;32760.00;32550.00;-210.00;0.00;0.00;-227.35;-0.64;-0.50;-0.14;0.37;1.67;1.30;-931.47;982.97
7;20170810;1;S;32.43;33.05;32430.00;33050.00;620.00;120.49;138.03;481.97;1.91;1.49;0.42;0.79;3.58;2.79;-449.49;1103.47
