ativo;classificador;RetornoBruto;RetornoLiquido;CustoOperacional;BuyAndHoldP;comprarSempreP;IndInversoP;IndAleatorioP;indAlvo05P;indAlvo1P;indAlvo2P;perdaP;ganhoP;retornoMedioP;perdaMediaP;ganhoMedioP ;qtdePerda;qtdeGanho ;qtdeTotal ;qtdeClasse0 ;qtdeClasse1 ;precisao;acuracia;f1score;recall;specificity;sharpe;sortino;media;desvioPadrao;desvioAbsoluto;mediana;quantil;minimo;maximo;amplitude;variancia; DataInicial; DataFinal; QtdeDias; PrecoInicial; PrecoFinal; Classe0; Classe1; QtdeClasse0;QtdeClasse1;volatilidade;volatilidadeDowsid;qtdeD3_caiu;qtdeD3_estavel;qtdeD3_subiu;qtdeRompimento;qtdeCorrecao;qtdeContraTendencia;ShapiroWilk;KolmogorovSmirnov;Tstudent;Anova;kruskalWallis
SBSP3;1;4.72;3.68;1.04;3.64;1.25;-3.47;-6.86;-3.96;1.08;5.15;-13.54;18.26;0.21;-1.69;1.22;8;15;23;6;23;65.22;65.52;75.00;88.24;33.33;0.27;0.42;0.21;1.62;1.33;0.82;0.82;-3.43;2.70;6.13;2.61;03/07/2017;11/08/2017;30;31.66;33.05;40.00;60.00;12;18;8.70;5.57;10;0;16;6;2;7;0.18;0.02;0.72;0.79;0.14
SBSP3;2;-1.39;-1.08;-0.31;3.64;1.25;2.64;-2.44;-5.89;-3.35;-0.34;-12.97;11.58;-0.08;-1.85;1.16;7;10;17;12;17;58.82;51.72;58.82;58.82;41.67;-0.44;-0.68;-0.08;1.68;1.46;0.62;0.62;-3.43;1.91;5.34;2.82;03/07/2017;11/08/2017;30;31.66;33.05;40.00;60.00;12;18;8.70;5.57;10;0;16;6;2;7;0.11;0.13;0.81;0.98;0.88
SBSP3;3;2.80;2.18;0.62;3.64;1.25;-1.54;3.37;-4.46;0.08;3.15;-13.54;16.34;0.13;-1.69;1.17;8;14;22;7;22;63.64;62.07;71.79;82.35;33.33;0.04;0.07;0.13;1.61;1.32;0.72;0.72;-3.43;2.70;6.13;2.59;03/07/2017;11/08/2017;30;31.66;33.05;40.00;60.00;12;18;8.70;5.57;10;0;16;6;2;7;0.27;0.04;0.85;0.97;0.41
SBSP3;4;-1.05;-0.82;-0.23;3.64;1.25;2.30;-1.53;-4.52;-1.99;-0.01;-11.60;10.56;-0.06;-1.66;1.06;7;10;17;12;17;58.82;51.72;58.82;58.82;41.67;-0.40;-0.62;-0.06;1.55;1.31;0.18;0.18;-3.43;1.92;5.35;2.42;03/07/2017;11/08/2017;30;31.66;33.05;40.00;60.00;12;18;8.70;5.57;10;0;16;6;2;7;0.24;0.23;0.83;1.00;0.95
SBSP3;5;4.54;3.54;1.00;3.64;1.25;-3.29;5.83;-4.35;0.07;4.96;-12.93;17.47;0.22;-1.62;1.34;8;13;21;8;21;61.90;58.62;68.42;76.47;33.33;0.24;0.38;0.22;1.66;1.40;0.83;0.83;-3.43;2.70;6.13;2.76;03/07/2017;11/08/2017;30;31.66;33.05;40.00;60.00;12;18;8.70;5.57;10;0;16;6;2;7;0.17;0.01;0.71;0.85;0.23
SBSP3;6;4.06;3.16;0.89;3.64;1.25;-2.80;-0.57;-3.05;1.45;4.26;-7.55;11.60;0.29;-1.51;1.29;5;9;14;15;14;64.29;55.17;58.06;52.94;58.33;0.19;0.30;0.29;1.64;1.30;0.82;0.82;-3.43;2.70;6.13;2.69;03/07/2017;11/08/2017;30;31.66;33.05;40.00;60.00;12;18;8.70;5.57;10;0;16;6;2;7;0.51;0.04;0.65;0.93;0.51
SBSP3;7;3.58;2.79;0.79;3.64;1.25;-2.33;-5.98;-4.96;-0.92;4.01;-13.54;17.12;0.17;-1.69;1.32;8;13;21;8;21;61.90;58.62;68.42;76.47;33.33;0.14;0.21;0.17;1.69;1.42;0.82;0.82;-3.43;2.70;6.13;2.84;03/07/2017;11/08/2017;30;31.66;33.05;40.00;60.00;12;18;8.70;5.57;10;0;16;6;2;7;0.20;0.02;0.79;0.87;0.35
SBSP3;8;-0.13;-0.10;-0.03;3.64;1.25;1.38;-3.61;-5.52;-1.99;0.90;-13.61;13.47;-0.01;-1.94;1.12;7;12;19;10;19;63.16;58.62;66.67;70.59;41.67;-0.29;-0.46;-0.01;1.68;1.43;0.82;0.82;-3.43;1.93;5.36;2.82;03/07/2017;11/08/2017;30;31.66;33.05;40.00;60.00;12;18;8.70;5.57;10;0;16;6;2;7;0.02;0.03;0.92;0.98;0.66
SBSP3;9;2.16;1.68;0.47;3.64;1.25;-0.91;3.28;-2.81;0.23;3.21;-10.39;12.55;0.13;-1.73;1.14;6;11;17;12;17;64.71;58.62;64.71;64.71;50.00;-0.03;-0.04;0.13;1.57;1.31;0.82;0.82;-3.43;1.91;5.34;2.46;03/07/2017;11/08/2017;30;31.66;33.05;40.00;60.00;12;18;8.70;5.57;10;0;16;6;2;7;0.05;0.04;0.87;0.98;0.47
SBSP3;10;20.34;15.87;4.48;3.64;1.25;-19.09;3.84;8.50;15.77;20.84;0.00;20.34;1.20;0.00;1.20;0;17;17;12;17;100.00;100.00;100.00;100.00;100.00;2.06;3.22;1.20;0.73;0.60;1.01;1.01;0.15;2.70;2.55;0.54;03/07/2017;11/08/2017;30;31.66;33.05;40.00;60.00;12;18;8.70;5.57;10;0;16;6;2;7;0.38;0.00;0.01;0.00;0.00
