classificador;data;sinalcompra;acertou;openprice;closeprice;vlrcompra;vlrvenda;lucrobrutoR;impostorendaR;custotransacaoR;lucroliquidoR;lucrobrutoP;lucroliquidoP;custotransacaoP;custotransacaoAcumuladoP;lucrobrutoAcumuladoP;lucroliquidoAcumuladoP;evolucaoCapitalR;impostoRendaAcumuladoR
7;20170703;1;N;4.68;4.67;4680.00;4670.00;-10.00;0.00;0.00;-16.96;-0.21;-0.17;-0.05;-0.05;-0.21;-0.17;-16.96;0.00
7;20170704;1;S;4.68;4.74;4680.00;4740.00;60.00;8.60;15.59;44.41;1.28;1.00;0.28;0.24;1.07;0.83;27.45;8.60
7;20170706;1;N;4.91;4.85;4910.00;4850.00;-60.00;0.00;0.00;-67.03;-1.22;-0.95;-0.27;-0.03;-0.15;-0.12;-39.58;8.60
7;20170707;1;S;4.86;4.92;4860.00;4920.00;60.00;8.59;15.64;44.36;1.23;0.96;0.27;0.24;1.08;0.84;4.78;17.19
7;20170710;1;S;4.93;5.00;4930.00;5000.00;70.00;12.58;19.67;50.33;1.42;1.11;0.31;0.55;2.50;1.95;55.11;29.78
7;20170712;1;N;5.09;5.02;5090.00;5020.00;-70.00;0.00;0.00;-77.09;-1.38;-1.07;-0.30;0.25;1.13;0.88;-21.98;29.78
7;20170713;1;N;5.02;5.00;5020.00;5000.00;-20.00;0.00;0.00;-27.08;-0.40;-0.31;-0.09;0.16;0.73;0.57;-49.06;29.78
7;20170718;1;S;4.95;5.00;4950.00;5000.00;50.00;8.58;15.67;34.33;1.01;0.79;0.22;0.38;1.74;1.36;-14.73;38.36
7;20170720;1;S;4.93;4.95;4930.00;4950.00;20.00;2.59;9.65;10.35;0.41;0.32;0.09;0.47;2.14;1.67;-4.38;40.95
7;20170721;1;S;5.00;5.05;5000.00;5050.00;50.00;8.58;15.68;34.32;1.00;0.78;0.22;0.69;3.14;2.45;29.94;49.53
7;20170725;1;N;5.12;4.97;5120.00;4970.00;-150.00;0.00;0.00;-157.07;-2.93;-2.29;-0.64;0.05;0.21;0.17;-127.13;49.53
7;20170803;1;N;5.54;5.51;5540.00;5510.00;-30.00;0.00;0.00;-37.27;-0.54;-0.42;-0.12;-0.07;-0.33;-0.26;-164.40;49.53
7;20170804;1;S;5.55;5.80;5550.00;5800.00;250.00;42.52;49.90;200.10;4.50;3.51;0.99;0.92;4.18;3.26;35.69;92.05
7;20170807;1;S;5.77;5.86;5770.00;5860.00;90.00;16.52;23.92;66.08;1.56;1.22;0.34;1.26;5.74;4.47;101.77;108.57
7;20170808;1;S;5.80;5.82;5800.00;5820.00;20.00;2.52;9.91;10.09;0.34;0.27;0.08;1.34;6.08;4.74;111.86;111.09
7;20170809;1;S;5.85;5.89;5850.00;5890.00;40.00;6.52;13.93;26.07;0.68;0.53;0.15;1.49;6.76;5.28;137.93;117.61
7;20170810;1;S;5.86;5.87;5860.00;5870.00;10.00;0.52;7.93;2.07;0.17;0.13;0.04;1.53;6.94;5.41;140.00;118.13
