classificador;data;sinalcompra;acertou;openprice;closeprice;vlrcompra;vlrvenda;lucrobrutoR;impostorendaR;custotransacaoR;lucroliquidoR;lucrobrutoP;lucroliquidoP;custotransacaoP;custotransacaoAcumuladoP;lucrobrutoAcumuladoP;lucroliquidoAcumuladoP;evolucaoCapitalR;impostoRendaAcumuladoR
7;20170703;1;S;29.46;29.62;29460.00;29620.00;160.00;28.75;45.01;114.99;0.54;0.42;0.12;0.12;0.54;0.42;114.99;28.75
7;20170704;1;N;29.63;28.93;29630.00;28930.00;-700.00;0.00;0.00;-716.00;-2.36;-1.84;-0.52;-0.40;-1.82;-1.42;-601.00;28.75
7;20170705;1;S;28.84;28.92;28840.00;28920.00;80.00;0.00;16.00;64.00;0.28;0.22;0.06;-0.34;-1.54;-1.20;-537.00;28.75
7;20170706;1;N;29.12;28.89;29120.00;28890.00;-230.00;0.00;0.00;-245.98;-0.79;-0.62;-0.17;-0.51;-2.33;-1.82;-782.98;28.75
7;20170707;1;S;28.90;29.71;28900.00;29710.00;810.00;20.74;37.03;772.97;2.80;2.19;0.62;0.10;0.47;0.37;-10.02;49.49
7;20170711;1;N;30.20;29.90;30200.00;29900.00;-300.00;0.00;0.00;-316.36;-0.99;-0.77;-0.22;-0.11;-0.52;-0.41;-326.38;49.49
7;20170713;1;S;29.45;29.52;29450.00;29520.00;70.00;0.00;16.22;53.78;0.24;0.19;0.05;-0.06;-0.28;-0.22;-272.60;49.49
7;20170714;1;N;29.85;29.72;29850.00;29720.00;-130.00;0.00;0.00;-146.29;-0.44;-0.34;-0.10;-0.16;-0.72;-0.56;-418.89;49.49
7;20170718;1;N;30.01;29.90;30010.00;29900.00;-110.00;0.00;0.00;-126.36;-0.37;-0.29;-0.08;-0.24;-1.09;-0.85;-545.25;49.49
7;20170720;1;N;28.70;28.50;28700.00;28500.00;-200.00;0.00;0.00;-215.84;-0.70;-0.54;-0.15;-0.39;-1.78;-1.39;-761.09;49.49
7;20170724;1;S;29.56;30.61;29560.00;30610.00;1050.00;96.67;113.30;936.70;3.55;2.77;0.78;0.39;1.77;1.38;175.61;146.17
7;20170725;1;N;30.90;29.66;30900.00;29660.00;-1240.00;0.00;0.00;-1256.27;-4.01;-3.13;-0.88;-0.49;-2.24;-1.75;-1080.66;146.17
7;20170727;1;S;29.53;30.34;29530.00;30340.00;810.00;10.70;27.22;782.78;2.74;2.14;0.60;0.11;0.50;0.39;-297.88;156.86
7;20170728;1;N;31.50;31.30;31500.00;31300.00;-200.00;0.00;0.00;-216.88;-0.63;-0.50;-0.14;-0.03;-0.14;-0.11;-514.76;156.86
7;20170804;1;S;31.60;32.42;31600.00;32420.00;820.00;134.54;151.84;668.16;2.59;2.02;0.57;0.54;2.46;1.92;153.40;291.40
